key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,作画監修,放送日(TXN)
episode/ad_1,1,スタア誕生！,赤尾でこ,青葉譲,,京極尚彦,,池田有、稲吉朝子、空流辺広子、しんぼたくろう,2011-04-09
episode/ad_2,2,りずむ、心のジャンプ！,赤尾でこ,青葉譲,,徳本善信,,森本由布希,2011-04-16
episode/ad_3,3,これがコーチ！？ラビチとベアチ,伊福部崇,藤原良二,,関田修,,窪敏、田中正之,2011-04-23
episode/ad_4,4,イースターは胸キュン体験,坪田文,殿勝秀樹,,殿勝秀樹,,空流辺広子,2011-04-30
episode/ad_5,5,パパにはナイショでファッションショー,田口智子,矢花馨,,矢花馨,,石井ゆみこ,2011-05-07
episode/ad_6,6,プリズムの輝きはいつもここに,井内秀治,井内秀治,,岩田義彦,,加野晃,2011-05-14
episode/ad_7,7,絶交！？あいらとりずむの大ゲンカ,村上桃子,青葉譲,,小林浩輔,,日高真由美、古池敏也,2011-05-21
episode/ad_8,8,りずむピンチ！お勉強大作戦,伊福部崇,藤原良二,,徳本善信,,しんぼたくろう,2011-05-28
episode/ad_9,9,学園祭と秘密の約束,坪田文,誌村宏明,,加藤顕,,池田有、村上やすひと、川島尚,2011-06-4
episode/ad_10,10,雨のちラブリーレインボー,田口智子,近藤信宏,,矢花馨,,森本由布希,2011-06-11
episode/ad_11,11,開幕！ティアラカップ,赤尾でこ,石踊宏,,関田修,,空流辺広子,2011-06-18
episode/ad_12,12,勝利の栄冠は誰の手に！？,赤尾でこ,京極尚彦,,京極尚彦,,石井ゆみこ,2011-06-25
episode/ad_13,13,アンディの涙,井内秀治,井内秀治,,関田修,,竹知仁美,2011-07-02
episode/ad_14,14,みおんスイッチオン,村上桃子,本田敬一、川島尚,,徳本善信,,本田敬一,2011-07-09
episode/ad_15,15,めらめらハートがあつくなる！,伊福部崇,藤原良二,,江島泰男,,村上やすひと、空流辺広子,2011-07-16
episode/ad_16,16,ネコチの試練,田口智子,近藤信宏,,岩田義彦,,加野晃,2011-07-23
episode/ad_17,17,ハピラキサマーはケーキで特訓！,坪田文,矢花馨,,小林浩輔,,日高真由美、古池敏也,2011-07-30
episode/ad_18,18,夜空に花咲く恋ゴコロ,村上桃子,徳本善信,,徳本善信,,しんぼたくろう,2011-08-06
episode/ad_19,19,デュオ決定！運命のガールズ・デート,伊福部崇,藤原良二,,加藤顕,,池田有、空流辺広子,2011-08-13
episode/ad_20,20,ライバルは関西っ娘！セレナとかのん登場！！,赤尾でこ,京極尚彦,,京極尚彦,,石井ゆみこ、本多みゆき、星野玲香,2011-08-20
episode/ad_21,21,嵐のサマークイーンカップ,赤尾でこ,青葉譲,,関田修,,空流辺広子,2011-08-27
episode/ad_22,22,スケート座の祝福を君に！,坪田文,矢花馨,,酒井和男,,糸島雅彦,2011-09-03
episode/ad_23,23,MARsドキドキ芸能デビュー,田口智子,近藤信宏,,江島泰男,,村上泰民、小林亮,2011-09-10
episode/ad_24,24,修学旅行でお笑い対決,村上桃子,石踊宏,,三好正人,,森本由布希,2011-09-17
episode/ad_25,25,友情の誓い！オーロラの翼,井内秀治,藤原良二,,徳本善信,,柳瀬譲二、空流辺広子,2011-09-24
episode/ad_26,26,こねてまとめる！勝負のプリティーレシピ,赤尾でこ,青葉譲,,青葉譲,,川島尚,2011-10-01
episode/ad_27,27,南国ビーチのドルフィンビーナス,伊福部崇,誌村宏明,,関田修,,空流辺広子、工藤利春,2011-10-08
episode/ad_28,28,頑固オヤジにはちみつキッス,坪田文,藤原良二,,根岸宏樹,,玉利和枝,2011-10-15
episode/ad_29,29,トリオでジャンプ！Hip Hop Win！,井内秀治,井内秀治,,徳本善信,,しんぼたくろう,2011-10-22
episode/ad_30,30,ドキドキハロウィンはときめきじゃナイト☆,坪田文,京極尚彦,,京極尚彦,,石井ゆみ子,2011-10-29
episode/ad_31,31,あいらとふれあ、コラボっちゃお♡,田口智子,藤原良二,,加藤顕,,池田有,2011-11-05
episode/ad_32,32,爆笑！せれのん浅草漫才修行,伊福部崇,徳本善信,,徳本善信,,伊藤大翼、稲吉朝子、空流辺広子,2011-11-12
episode/ad_33,33,あいら in ワンダーガール,赤尾でこ,近藤信宏,,関田修,,空流辺広子,2011-11-19
episode/ad_34,34,これって恋！？芸能界ラブバトル,村上桃子,矢花馨,,矢花馨,,糸島雅彦,2011-11-26
episode/ad_35,35,MARsドリームライブ！,坪田文,藤原良二,,小林浩輔,,日高真由美、古池敏也,2011-12-03
episode/ad_36,36,かなめは天使？それとも悪魔？,赤尾でこ,青葉譲,,徳本善信,,しんぼたくろう,2011-12-10
episode/ad_37,37,激闘！クリスタルハイヒールカップ,赤尾でこ,青葉譲,,京極尚彦,,ワタナベケンイチ、藤田明,2011-12-17
episode/ad_38,38,ミラクル・スノーの降る夜に,井内秀治,井内秀治,,根岸宏樹,,玉利和枝,2011-12-24
episode/ad_39,39,新春特番・プリズムショーの魅力に迫る！,坪田文,徳本善信,,徳本善信,,池田有,2012-01-07
episode/ad_40,40,それぞれの決意,伊福部崇,青葉譲,,徳本善信,,石井ゆみ子,2012-01-14
episode/ad_41,41,ピュアプレミアムウェディングの願い,赤尾でこ,矢花馨,,三好正人,,森本由布希,2012-01-21
episode/ad_42,42,りずむとそなた、運命の再開,田口智子,藤原良二、青葉譲,,関田修,,空流辺広子,2012-01-28
episode/ad_43,43,友情のピュアホワイトウェディング,村上桃子,誌村宏明,,加藤顕,,奥野浩行,2012-02-04
episode/ad_44,44,スイート＆ビターバレンタイン,赤尾でこ,青葉譲,,徳本善信,,しんぼたくろう,2012-02-11
episode/ad_45,45,光訪ねてブエノスアイレス,坪田文,京極尚彦,,京極尚彦,,ワタナベケンイチ,2012-02-18
episode/ad_46,46,対決！あいらvsりずむ,井内秀治,井内秀治、青葉譲,,徳本善信,,川島尚、伊藤大翼、糸島雅彦、しんぼたくろう,2012-02-25
episode/ad_47,47,ファイナリストをかけて,伊福部崇,藤原良二、青葉譲,,綿田慎也,,Park Chan-Young、Cha Sang-Hoon、池田有,2012-03-03
episode/ad_48,48,そなたの冬,坪田文,矢花馨、青葉譲,,関田修,,空流辺広子,2012-03-10
episode/ad_49,49,舞い上がれ、オーロラの翼,赤尾でこ,青葉譲,,加藤顕,,石井ゆみ子,2012-03-17
episode/ad_50,50,新プリズムクイーン誕生！,赤尾でこ,青葉譲,,徳本善信,,森本由布希,2012-03-24
episode/ad_51,51,Dream goes on...,坪田文,京極尚彦,,京極尚彦,,しんぼたくろう,2012-03-31
