key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,作画監修,放送日(TXN)
episode/dmf_1,1,ハローマイフューチャー,赤尾でこ,近藤信宏,Park Chi Man,青葉譲,Choi Hun Cheol,斉藤里枝、空流辺広子、池田有,2012-04-07
episode/dmf_2,2,あなたにきらめく王冠（クラウン）を,坪田文,ワタナベシンイチ,Sung Won Yong,青葉譲,Ahn Jai Ho,斉藤里枝、空流辺広子、池田有,2012-04-14
episode/dmf_3,3,ゲット!マイファンコール,赤尾でこ,香川豊,Song Geun Sik,青葉譲,Jeon Byung Cheol,斉藤里枝、空流辺広子、池田有,2012-04-21
episode/dmf_4,4,ハートの革命・プリズムアクト!,坪田文,近藤信宏,Kim Young Beom,加藤顕,Choi Hun Cheol,,2012-04-28
episode/dmf_5,5,初恋!? マイ☆プリンス,井内秀治,井内秀治,Park Chi Man,小林浩輔,Ahn Jai Ho,伊藤良太,2012-05-05
episode/dmf_6,6,メモメモ禁止は困るのです!,有賀ひかる,ワタナベシンイチ,Sung Won Yong,青葉譲,Sung Won Yong,斉藤里枝,2012-05-12
episode/dmf_7,7,リーダー争奪!Prizmmy☆総選挙,伊福部崇,大原実,Song Geun Sik,小林浩輔,Jeon Byung Cheol,伊藤良太,2012-05-19
episode/dmf_8,8,ラストメンバーはムダがお嫌い!,赤尾でこ,京極尚彦,Park Chi Man,徳本善信,Choi Hun Cheol,斉藤里枝,2012-05-26
episode/dmf_9,9,揺れるハート!イケメンデザイナー対決,井内秀治,井内秀治,Park Chi Man,小林浩輔,Ahn Jai Ho,戸田さやか,2012-06-02
episode/dmf_10,10,みあ脱退!?あいらとガチバトル,伊福部崇,ワタナベシンイチ,Sung Won Yong,高田淳,Park Chi Man,伊藤良太,2012-06-09
episode/dmf_11,11,MARsとドキドキ♥温泉合宿,坪田文,ワタナベシンイチ,Song Geun Sik,小林浩輔,Jeon Byung Cheol,斉藤里枝,2012-06-16
episode/dmf_12,12,スタンドアップ!マイガールズソウル!,赤尾でこ,青葉譲,Park Chi Man,高田淳,Choi Hun Cheol,戸田さやか,2012-06-23
episode/dmf_13,13,パフュームまとう運命の日!,赤尾でこ,京極尚彦,Choi Hun Cheol,小林浩輔,Park Chi Man,伊藤良太,2012-06-30
episode/dmf_14,14,PURETTY 波乱のP-nation,伊福部崇,徳本善信,Park Chi Man,徳本善信,Choi Hun Cheol,斉藤里枝,2012-07-07
episode/dmf_15,15,バラのときめき♥ヒミツの王子様,井内秀治,井内秀治,Song Geun Sik,高田淳,Ahn Jai Ho,戸田さやか,2012-07-14
episode/dmf_16,16,マジカルみおんDE自由研究!,坪田文,ワタナベシンイチ,Park Chi Man,小林浩輔,Jeon Byung Cheol,伊藤良太,2012-07-21
episode/dmf_17,17,動物園の王者、シユン,有賀ひかる,青葉譲,Choi Hun Cheol,高田淳,Na Ki Chual,斉藤里枝,2012-07-28
episode/dmf_18,18,サマーバカンス!夏色マーメイド,井内秀治,近藤信宏,Sung Won Yong,小林浩輔,Park Chi Man,戸田さやか,2012-08-04
episode/dmf_19,19,サマーフェス開幕!PURETTY Go! Go! Go!,伊福部崇,ワタナベシンイチ,Song Geun Sik,高田淳,Ahn Jai Ho,伊藤良太,2012-08-11
episode/dmf_20,20,ラストノートは情熱の香り,赤尾でこ,榎本守,Park Chi Man,榎本守,Jeon Byung Cheol,斉藤里枝,2012-08-18
