key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,プリパラライブ演出,作画監修,放送日(TXN)
episode/ipp_1,1,ゆめかわアイドル始めちゃいました！？,加藤還一,誌村宏明,Nam Sung Min、An Jai Ho,佐藤まさふみ,Nam Sung Min,菱田正和、安藤尚也,斉藤里枝、川島尚,2017-04-04
episode/ipp_2,2,ここ掘れ、アイドル,ふでやすかずゆき,山本三輪子藤澤俊幸,Choi Hun Cheol、Na Ki Chual,板庇迪,Na Ki Chual,菱田正和、安藤尚也,斉藤里枝、川島尚,2017-04-11
episode/ipp_3,3,ゆめかわ！メイキングドラマ！,金杉弘子,柊陽菜,Jeon Byung Cheol、Nam Sung Min,黒瀬大輔,Jeon Byung Cheol,菱田正和、安藤尚也江副仁美,斉藤里枝、川島尚,2017-04-18
episode/ipp_4,4,まいどぷり！みれぃやで！,大場小ゆり,川口敬一郎,Park Chi Man、Nam Sung Min,黒瀬大輔,Park Chi Man,菱田正和、安藤尚也,斉藤里枝、川島尚,2017-04-25
episode/ipp_5,5,プニコンのマネージャー修行クマ！,中村能子,江島泰男,Nam Sung Min、An Jai Ho,江島泰男,Nam Sung Min,菱田正和、安藤尚也,斉藤里枝、川島尚,2017-05-02
episode/ipp_6,6,ユメユメ！？男プリ潜入！,加藤還一,葛谷直行,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,菱田正和、安藤尚也,斉藤里枝、川島尚、戸田さやか,2017-05-09
episode/ipp_7,7,そふぃがやってクール！,田辺茂範,柊陽菜,Jeon Byung Cheol、Nam Sung Min,徐恵眞,Jeon Byung Cheol,菱田正和、安藤尚也,斉藤里枝、川島尚,2017-05-16
episode/ipp_8,8,ライスをねらえ！,ふでやすかずゆき,藤澤俊幸,Park Chi Man、Nam Sung Min,板庇迪,Park Chi Man,菱田正和、安藤尚也、江副仁美,斉藤里枝、川島尚,2017-05-23
episode/ipp_9,9,おしゃれスタジオ始めたっての,福田裕子,葛谷直行,Nam Sung Min、An Jai Ho,黒瀬大輔,Nam Sung Min,菱田正和、安藤尚也、江副仁美,斉藤里枝、川島尚,2017-05-30
episode/ipp_10,10,助っ人アイドル始めたっす！,加藤還一,小林浩輔,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,菱田正和、安藤尚也,斉藤里枝、川島尚、戸田さやか,2017-06-06
episode/ipp_11,11,投げろ！アイドルタイムグランプリ,金杉弘子,柊陽菜,Jeon Byung Cheol、Nam Sung Min,室谷靖,Jeon Byung Cheol,菱田正和、安藤尚也,斉藤里枝、川島尚,2017-06-13
episode/ipp_12,12,打て！アイドルタイムグランプリ,大場小ゆり,金崎貴臣山本三輪子,Park Chi Man、Nam Sung Min,板庇迪,Park Chi Man,菱田正和、安藤尚也、江副仁美,斉藤里枝、川島尚,2017-06-20
episode/ipp_13,13,レッツゴー！パラ宿,中村能子,渡辺健一郎,Nam Sung Min、An Jai Ho,渡辺健一郎,Nam Sung Min,菱田正和、安藤尚也,斉藤里枝、川島尚,2017-06-27
episode/ipp_14,14,ガァルマゲドンがきた！,ふでやすかずゆき,森脇真琴,Choi Hun Cheol、Na Ki Chual,黒瀬大輔,Na Ki Chual,菱田正和、安藤尚也,斉藤里枝、川島尚、戸田さやか,2017-07-04
episode/ipp_15,15,ミーチルみちる,田辺茂範,小林浩輔,Jeon Byung Cheol、Nam Sung Min,小林浩輔,Jeon Byung Cheol,安藤尚也、江副仁美,斉藤里枝、川島尚、戸田さやか,2017-07-11
episode/ipp_16,16,あの地獄にさよならを,ふでやすかずゆき,国崎友也,Park Chi Man、Nam Sung Min,国崎友也,Park Chi Man,安藤尚也、江副仁美,斉藤里枝、川島尚、本多恵美,2017-07-18
episode/ipp_17,17,アイドル借り物バトルっす！,福田裕子,大久保政雄,Nam Sung Min、An Jai Ho,黒瀬大輔,Nam Sung Min,安藤尚也、河野亜矢子,斉藤里枝、川島尚、本多恵美,2017-07-25
episode/ipp_18,18,グランプリ！勝利へのエスコート,加藤還一,藤澤俊幸,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,安藤尚也、江副仁美,戸田さやか,2017-08-01
episode/ipp_19,19,旅立てアイドル！レッツ・イゴー！,大場小ゆり,柊陽菜,Jeon Byung Cheol、Nam Sung Min,板庇迪,Jeon Byung Cheol,安藤尚也,斉藤里枝、川島尚、本多恵美,2017-08-08
episode/ipp_20,20,ハッピー米（まい）バースデイ,中村能子,葛谷直行,Park Chi Man、Nam Sung Min,板庇迪,Park Chi Man,安藤尚也、江副仁美,斉藤里枝、川島尚、本多恵美,2017-08-15
episode/ipp_21,21,ドキドキ！みちなる麺パラ,金杉弘子,森脇真琴,Nam Sung Min、An Jai Ho,江島泰男,Nam Sung Min,安藤尚也、江副仁美,斉藤里枝、川島尚,2017-08-22
episode/ipp_22,22,プール de（ド） プランス 大レース！,福田裕子,小林浩輔,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,安藤尚也、乙部善弘,斉藤里枝、川島尚、戸田さやか、諏訪壮大,2017-08-29
episode/ipp_23,23,地獄アイドル始めちゃいました！？,ふでやすかずゆき,山本三輪子金崎貴臣,Jeon Byung Cheol、Nam Sung Min,黒瀬大輔,Jeon Byung Cheol,安藤尚也、江副仁美,斉藤里枝、川島尚,2017-09-05
