key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,作画監修,放送日(TXN)
episode/rl_1,1,私はなる!店長にな〜る!,井内秀治,青葉譲,Park Chi Man,徳本善信,Ahn Jai Ho,松浦麻衣、伊藤良太,2013-04-06
episode/rl_2,2,あんにお任せ!ポップンスイーツ,井内秀治,近藤信宏,Choi Hun Cheol,小林浩輔,Jeon Byung Cheol,戸田さやか,2013-04-13
episode/rl_3,3,クロスがいと?COOL & HOT,井内秀治,青葉譲,Sung Won Yong,野木森達哉,Han Young Hoon,松浦麻衣,2013-04-20
episode/rl_4,4,プリズムストーン・イースターにようこそ!,坪田文,羽原久美子,Song Geun Sik,小林浩輔,Jeon Byung Cheol,伊藤良太,2013-04-27
episode/rl_5,5,私の歌は色♡トリドリーム,坪田文,川口敬一郎,Park Chi Man,大野和寿,Choi Hun Cheol,戸田さやか,2013-05-04
episode/rl_6,6,クールなハートがビートでヒート!,村上桃子,沖田宮奈,Choi Hun Cheol,小林浩輔,Kim Jin Gu,松浦麻衣,2013-05-11
episode/rl_7,7,ガンコ親父にスイートマジック,井内秀治,近藤信宏,Sung Won Yong,野木森達哉,Jeon Byung Cheol,伊藤良太,2013-05-18
episode/rl_8,8,男の勝負はダンスバトル,井内秀治,川口敬一郎,Song Geun Sik,小林浩輔,Han Young Hoon,戸田さやか,2013-05-25
episode/rl_9,9,プリズムライブは晴れのち嵐,本田雅也,柊陽菜,Park Chi Man,大野和寿,Choi Hun Cheol,松浦麻衣,2013-06-01
episode/rl_10,10,謎の生物 プリズムストーンに現る!,井内秀治,川口敬一郎,Choi Hun Cheol,小林浩輔,Ryu Bong Hyeo,伊藤良太,2013-06-08
episode/rl_11,11,Go for ドリーミングセッション!,村上桃子,青葉譲,Sung Won Yong,小林浩輔,Jeon Byung Cheol,戸田さやか,2013-06-15
episode/rl_12,12,はばたけ！勇気の羽（フェザー）,坪田文,京極尚彦、青葉譲,Sung Won Yong,綿田慎也,Han Young Hoon,松浦麻衣,2013-06-22
episode/rl_13,13,心をつなぐ虹のかけ橋,坪田文,青葉譲,Choi Hun Cheol,小林浩輔,Na Ki Chual,伊藤良太,2013-06-29
episode/rl_14,14,りんねの秘密,井内秀治,野木森達哉、青葉譲,Sung Won Yong,野木森達哉,Ahn Jai Ho,戸田さやか,2013-07-06
episode/rl_15,15,おとはのメルヘンティーパーティー,本田雅也,沖田宮奈,Sung Won Yong,小林浩輔,Jeon Byung Cheol,松浦麻衣、後藤圭佑、森友宏樹,2013-07-13
episode/rl_16,16,わかな、はっぴーフリーダム!にゃ,村上桃子,佐野隆史,Song Geun Sik,佐々木純人,Jeon Byung Cheol,伊藤良太、後藤圭佑、松浦麻衣、森友宏樹,2013-07-20
episode/rl_17,17,気高く強くべるは咲く,坪田文,柊陽菜,Song Geun Sik,小林浩輔,Park Chi Man,戸田さやか、伊藤良太、後藤圭佑、杉浦英之、森友宏樹,2013-07-27
episode/rl_18,18,俺はヒロ!絶対アイドル☆愛・N・G,井内秀治,柊陽菜,Park Chi Man,大野和寿,Choi Hun Cheol,松浦麻衣、斉藤里枝、森友宏樹,2013-08-03
episode/rl_19,19,心を結ぶいと,井内秀治,沖田宮奈,Choi Hun Cheol,小林浩輔,Ryu Bong Hyeon,伊藤良太、松浦麻衣、森友宏樹,2013-08-10
episode/rl_20,20,心重ねてときめきセッション!,坪田文,日歩冠星,Sung Won Yong,野木森達哉,Ahn Jai Ho,戸田さやか、伊藤良太、後藤圭佑、斉藤里枝、森友宏樹,2013-08-17
episode/rl_21,21,2度目のオーディション,本田雅也,柊陽菜,Song Geun Sik,小林浩輔,Park Chi Man,松浦麻衣、後藤圭佑、斉藤里枝、森友宏樹,2013-08-24
episode/rl_22,22,約束とスペシャルサンド,井内秀治,誌村宏明,Park Chi Man,綿田慎也,Choi Hun Cheol,伊藤良太、森友宏樹,2013-08-31
episode/rl_23,23,思い出運ぶプリズムの風,村上桃子,沖田宮奈,Park Chi Man,小林浩輔,Choi Hun Cheol,戸田さやか、伊藤良太、森友宏樹,2013-09-07
episode/rl_24,24,ひとりぼっちの女王,本田雅也、坪田文,柊陽菜,Sung Won Yong,大野和寿,Jeon Byung Cheol,松浦麻衣、森友宏樹,2013-09-14
episode/rl_25,25,さよなら、べる,坪田文,川口敬一郎,Song Geun Sik,小林浩輔,Han Young Hoon,伊藤良太、森友宏樹,2013-09-21
episode/rl_26,26,虹を呼ぶハッピーレイン,井内秀治,日歩冠星,Park Chi Man,小林浩輔,Choi Hun Cheol,戸田さやか、森友宏樹,2013-09-28
episode/rl_27,27,ピコック先生 怒る!,井内秀治,野木森達哉、日歩冠星,Choi Hun Cheol,野木森達哉,Ahn Jai Ho,斉藤里枝、森友宏樹,2013-10-05
episode/rl_28,28,ジュネ様と一緒にプリズムトーク!,村上桃子,柊陽菜,Sung Won Yong,小林浩輔,Kim Jin Gu,松浦麻衣、森友宏樹,2013-10-12
episode/rl_29,29,私はべる!店長にな〜る♪,坪田文,柊陽菜,Song Geun Sik,大野和寿,Ahn Jai Ho,伊藤良太、森友宏樹,2013-10-19
