key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,プリパラライブ演出,作画監修,放送日(TXN)
episodes/ipp_1,1,ゆめかわアイドル始めちゃいました！？,加藤還一,誌村宏明,Nam Sung Min、An Jai Ho,佐藤まさふみ,Nam Sung Min,菱田正和、安藤尚也,斉藤里枝、川島尚,2017年4月4日
episodes/ipp_2,2,ここ掘れ、アイドル,ふでやすかずゆき,山本三輪子藤澤俊幸,Choi Hun Cheol、Na Ki Chual,板庇迪,Na Ki Chual,菱田正和、安藤尚也,斉藤里枝、川島尚,4月11日
episodes/ipp_3,3,ゆめかわ！メイキングドラマ！,金杉弘子,柊陽菜,Jeon Byung Cheol、Nam Sung Min,黒瀬大輔,Jeon Byung Cheol,菱田正和、安藤尚也江副仁美,斉藤里枝、川島尚,4月18日
episodes/ipp_4,4,まいどぷり！みれぃやで！,大場小ゆり,川口敬一郎,Park Chi Man、Nam Sung Min,黒瀬大輔,Park Chi Man,菱田正和、安藤尚也,斉藤里枝、川島尚,4月25日
episodes/ipp_5,5,プニコンのマネージャー修行クマ！,中村能子,江島泰男,Nam Sung Min、An Jai Ho,江島泰男,Nam Sung Min,菱田正和、安藤尚也,斉藤里枝、川島尚,5月2日
episodes/ipp_6,6,ユメユメ！？男プリ潜入！,加藤還一,葛谷直行,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,菱田正和、安藤尚也,斉藤里枝、川島尚、戸田さやか,5月9日
episodes/ipp_7,7,そふぃがやってクール！,田辺茂範,柊陽菜,Jeon Byung Cheol、Nam Sung Min,徐恵眞,Jeon Byung Cheol,菱田正和、安藤尚也,斉藤里枝、川島尚,5月16日
episodes/ipp_8,8,ライスをねらえ！,ふでやすかずゆき,藤澤俊幸,Park Chi Man、Nam Sung Min,板庇迪,Park Chi Man,菱田正和、安藤尚也、江副仁美,斉藤里枝、川島尚,5月23日
episodes/ipp_9,9,おしゃれスタジオ始めたっての,福田裕子,葛谷直行,Nam Sung Min、An Jai Ho,黒瀬大輔,Nam Sung Min,菱田正和、安藤尚也、江副仁美,斉藤里枝、川島尚,5月30日
episodes/ipp_10,10,助っ人アイドル始めたっす！,加藤還一,小林浩輔,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,菱田正和、安藤尚也,斉藤里枝、川島尚、戸田さやか,6月6日
episodes/ipp_11,11,投げろ！アイドルタイムグランプリ,金杉弘子,柊陽菜,Jeon Byung Cheol、Nam Sung Min,室谷靖,Jeon Byung Cheol,菱田正和、安藤尚也,斉藤里枝、川島尚,6月13日
episodes/ipp_12,12,打て！アイドルタイムグランプリ,大場小ゆり,金崎貴臣山本三輪子,Park Chi Man、Nam Sung Min,板庇迪,Park Chi Man,菱田正和、安藤尚也、江副仁美,斉藤里枝、川島尚,6月20日
episodes/ipp_13,13,レッツゴー！パラ宿,中村能子,渡辺健一郎,Nam Sung Min、An Jai Ho,渡辺健一郎,Nam Sung Min,菱田正和、安藤尚也,斉藤里枝、川島尚,6月27日
episodes/ipp_14,14,ガァルマゲドンがきた！,ふでやすかずゆき,森脇真琴,Choi Hun Cheol、Na Ki Chual,黒瀬大輔,Na Ki Chual,菱田正和、安藤尚也,斉藤里枝、川島尚、戸田さやか,7月4日
episodes/ipp_15,15,ミーチルみちる,田辺茂範,小林浩輔,Jeon Byung Cheol、Nam Sung Min,小林浩輔,Jeon Byung Cheol,安藤尚也、江副仁美,斉藤里枝、川島尚、戸田さやか,7月11日
episodes/ipp_16,16,あの地獄にさよならを,ふでやすかずゆき,国崎友也,Park Chi Man、Nam Sung Min,国崎友也,Park Chi Man,安藤尚也、江副仁美,斉藤里枝、川島尚、本多恵美,7月18日
episodes/ipp_17,17,アイドル借り物バトルっす！,福田裕子,大久保政雄,Nam Sung Min、An Jai Ho,黒瀬大輔,Nam Sung Min,安藤尚也、河野亜矢子,斉藤里枝、川島尚、本多恵美,7月25日
episodes/ipp_18,18,グランプリ！勝利へのエスコート,加藤還一,藤澤俊幸,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,安藤尚也、江副仁美,戸田さやか,8月1日
episodes/ipp_19,19,旅立てアイドル！レッツ・イゴー！,大場小ゆり,柊陽菜,Jeon Byung Cheol、Nam Sung Min,板庇迪,Jeon Byung Cheol,安藤尚也,斉藤里枝、川島尚、本多恵美,8月8日
episodes/ipp_20,20,ハッピー米（まい）バースデイ,中村能子,葛谷直行,Park Chi Man、Nam Sung Min,板庇迪,Park Chi Man,安藤尚也、江副仁美,斉藤里枝、川島尚、本多恵美,8月15日
episodes/ipp_21,21,ドキドキ！みちなる麺パラ,金杉弘子,森脇真琴,Nam Sung Min、An Jai Ho,江島泰男,Nam Sung Min,安藤尚也、江副仁美,斉藤里枝、川島尚,8月22日
episodes/ipp_22,22,プール de（ド） プランス 大レース！,福田裕子,小林浩輔,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,安藤尚也、乙部善弘,斉藤里枝、川島尚、戸田さやか、諏訪壮大,8月29日
episodes/ipp_23,23,地獄アイドル始めちゃいました！？,ふでやすかずゆき,山本三輪子金崎貴臣,Jeon Byung Cheol、Nam Sung Min,黒瀬大輔,Jeon Byung Cheol,安藤尚也、江副仁美,斉藤里枝、川島尚,9月5日
episodes/ipp_24,24,勝負っす！シオン先輩！,加藤還一,柊陽菜,Park Chi Man、Nam Sung Min,黒瀬大輔,Park Chi Man,安藤尚也,斉藤里枝、川島尚,9月12日
episodes/ipp_25,25,ユメユメ！タイムスリップ,田辺茂範,森脇真琴,Nam Sung Min、An Jai Ho,小林浩輔,Nam Sung Min,安藤尚也、江副仁美,斉藤里枝、川島尚,9月19日
episodes/ipp_26,26,がんばれみちる！！,ふでやすかずゆき,大久保政雄,Choi Hun Cheol、Na Ki Chual,江島泰男,Na Ki Chual,安藤尚也、江副仁美,斉藤里枝、川島尚,9月26日
episodes/ipp_27,27,華園しゅうかでございます,金杉弘子,葛谷直行,Jeon Byung Cheol、Nam Sung Min,江副仁美,Jeon Byung Cheol,安藤尚也、江副仁美,斉藤里枝、川島尚,10月3日
episodes/ipp_28,28,いっちばーんがやってきた！,大場小ゆり,小林浩輔,Park Chi Man、Nam Sung Min,小林浩輔,Park Chi Man,安藤尚也、江副仁美,斉藤里枝、川島尚、戸田さやか,10月10日
episodes/ipp_29,29,グランプリ大決戦！,加藤還一,渡辺健一郎,Nam Sung Min、An Jai Ho,渡辺健一郎,Nam Sung Min,安藤尚也、江副仁美,斉藤里枝、川島尚,10月17日
episodes/ipp_30,30,ガァララとパックが夢パックン！,土屋理敬,藤澤俊幸,Choi Hun Cheol、Na Ki Chual,黒瀬大輔,Na Ki Chual,安藤尚也,斉藤里枝、川島尚、戸田さやか、伊藤浩、宮川知子、原将治,10月24日
episodes/ipp_31,31,復活！ファララ・ア・ラーム,田辺茂範,柊陽菜,Jeon Byung Cheol、Nam Sung Min,小林浩輔,Jeon Byung Cheol,安藤尚也、江副仁美、乙部善弘,斉藤里枝、川島尚,10月31日
episodes/ipp_32,32,WITHとプリ×プリフェスティバル！,加藤還一,江島泰男,Park Chi Man、Nam Sung Min,江島泰男,Park Chi Man,安藤尚也、江副仁美、小林浩輔、乙部善弘,斉藤里枝、川島尚、戸田さやか,11月7日
episodes/ipp_33,33,ガァララ塔のひみつっす,ふでやすかずゆき,葛谷直行,Nam Sung Min、An Jai Ho,黒瀬大輔,Nam Sung Min,安藤尚也,斉藤里枝、川島尚,11月14日
episodes/ipp_34,34,ガァララの森,大場小ゆり,誌村宏明,Choi Hun Cheol、Na Ki Chual,野木森達哉,Na Ki Chual,安藤尚也、江副仁美,斉藤里枝、川島尚,11月21日
episodes/ipp_35,35,未知とのミーチル,田辺茂範,山本三輪子金崎貴臣,Jeon Byung Cheol、Nam Sung Min,江島泰男,Jeon Byung Cheol,安藤尚也、江副仁美,斉藤里枝、川島尚、戸田さやか,11月28日
episodes/ipp_36,36,ユメ目合宿大ピンチ！,金杉弘子,藤澤俊幸,Park Chi Man、Nam Sung Min,黒瀬大輔,Park Chi Man,安藤尚也、佐藤まさふみ,斉藤里枝、川島尚,12月5日
episodes/ipp_37,37,ホップ・ステップ・グランプリ！,加藤還一,小林浩輔,Nam Sung Min、An Jai Ho,小林浩輔,Nam Sung Min,安藤尚也、江副仁美、佐藤まさふみ,斉藤里枝、川島尚、戸田さやか,12月12日
episodes/ipp_38,38,ユメリー・メガネマス★,ふでやすかずゆき,柊陽菜,Choi Hun Cheol、Na Ki Chual,黒瀬大輔,Na Ki Chual,安藤尚也、佐藤まさふみ,斉藤里枝、川島尚,12月19日
episodes/ipp_39,39,年末！ババ大そうじでっすわ！,田辺茂範,大久保政雄,Jeon Byung Cheol、Nam Sung Min,安藤良,Jeon Byung Cheol,安藤尚也、江副仁美、小林浩輔,斉藤里枝、川島尚、戸田さやか,12月26日
episodes/ipp_40,40,パラ宿プルトラクイズ！,金杉弘子,渡辺健一郎,Park Chi Man、Nam Sung Min,渡辺健一郎,Park Chi Man,安藤尚也、佐藤まさふみ、江副仁美,斉藤里枝、川島尚,2018年1月9日
episodes/ipp_41,41,しゅうかとガァララ,大場小ゆり,山本三輪子金崎貴臣,Nam Sung Min、An Jai Ho,黒瀬大輔,Nam Sung Min,安藤尚也、江副仁美,斉藤里枝、川島尚、戸田さやか,1月16日
episodes/ipp_42,42,ディア・マイ・トモダチ！,加藤還一,藤澤俊幸,Choi Hun Cheol、Na Ki Chual,小林浩輔,Na Ki Chual,安藤尚也,斉藤里枝、川島尚、児玉和子,1月23日
episodes/ipp_43,43,燃えよにの,ふでやすかずゆき,柊陽菜,Jeon Byung Cheol、Nam Sung Min,黒瀬大輔,Jeon Byung Cheol,安藤尚也,-,1月30日
episodes/ipp_44,44,みちるさまとお呼びなさい,田辺茂範,誌村宏明,Park Chi Man、Nam Sung Min,室谷靖,Park Chi Man,安藤尚也、江副仁美,斉藤里枝、川島尚、原将治,2月6日
episodes/ipp_45,45,決戦！ゆいvsしゅうか,大場小ゆり,藤澤俊幸,Nam Sung Min、An Jai Ho,江副仁美,Nam Sung Min,安藤尚也、江副仁美,斉藤里枝、川島尚,2月13日
episodes/ipp_46,46,時をこえてマイドリーム！,福田裕子,柊陽菜,Choi Hun Cheol、Na Ki Chual,黒瀬大輔,Na Ki Chual,安藤尚也、佐藤まさふみ,斉藤里枝、川島尚、原将治,2月20日
episodes/ipp_47,47,パックでパニック！大暴れ！,金杉弘子,山本三輪子金崎貴臣,Jeon Byung Cheol、Nam Sung Min,小林浩輔,Jeon Byung Cheol,安藤尚也,斉藤里枝、川島尚、原将治、戸田さやか,2月27日
episodes/ipp_48,48,らぁらに届け、カムバックライブ！,加藤還一,誌村宏明,Park Chi Man、Nam Sung Min,安藤良,Park Chi Man,安藤尚也、江副仁美,斉藤里枝、川島尚、原将治,3月6日
episodes/ipp_49,49,誕生しちゃうぜ！神アイドル!?,ふでやすかずゆき,佐藤まさふみ森脇真琴,Nam Sung Min、An Jai Ho,佐藤まさふみ,Nam Sung Min,安藤尚也、佐藤まさふみ,斉藤里枝、川島尚、原将治,3月13日
episodes/ipp_50,50,夢のツバサで飛べマイドリーム！,土屋理敬,森脇真琴,Choi Hun Cheol、Na Ki Chual,森脇真琴,Na Ki Chual,安藤尚也,斉藤里枝、川島尚、原将治、戸田さやか、柚山麻美、宮川知子,3月20日
episodes/ipp_51,51,み～んなあつまれ！アイドル始める時間だよ！,福田裕子,渡辺健一郎,Jeon Byung Cheol、Nam Sung Min,渡辺健一郎,Jeon Byung Cheol,安藤尚也,斉藤里枝、川島尚、原将治,3月27日
