key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
am_001,AM-001,SR,フラワープリンセストップス,トップス,27998,ピンク,sweet_honey,ラブリー,800,フラワープリンセス,プロモコーデ,みらい＆えも プリチケセット,,
am_002,AM-002,SR,フラワープリンセスボトムス,ボトムス,27999,ピンク,sweet_honey,ラブリー,700,フラワープリンセス,プロモコーデ,みらい＆えも プリチケセット,,
am_003,AM-003,SR,フラワープリンセスあみあげシューズ,シューズ,28000,ピンク,sweet_honey,ラブリー,750,フラワープリンセス,プロモコーデ,みらい＆えも プリチケセット,,
am_004,AM-004,SR,フラワープリンセスレースカチューシャ,ヘアアクセ,28001,ピンク,sweet_honey,ラブリー,700,フラワープリンセス,プロモコーデ,みらい＆えも プリチケセット,,
am_005,AM-005,SR,フラワープリンセスブーケ,パシャッとアイテム,28031,紫,sweet_honey,ラブリー,700,パシャッとアイテム,プロモコーデ,みらい＆えも プリチケセット,,
am_006,AM-006,R,ポップスターレッドTシャツ,トップス,28002,赤,girls_yell,ポップ,550,ポップスターレッド,プロモコーデ,みらい＆えも プリチケセット,,
am_007,AM-007,R,ポップスターグリーンキャップスカート,ボトムス,28003,黒,girls_yell,ポップ,650,ポップスターレッド,プロモコーデ,みらい＆えも プリチケセット,,
am_008,AM-008,R,ポップスターレッドスニーカー,シューズ,28004,シルバー,girls_yell,ポップ,600,ポップスターレッド,プロモコーデ,みらい＆えも プリチケセット,,
am_009,AM-009,R,ポップスターヘアアクセ,ヘアアクセ,28005,赤,girls_yell,ポップ,550,ポップスターレッド,プロモコーデ,みらい＆えも プリチケセット,,
am_010,AM-010,R,スプリングリボンブルーワンピ,ワンピース,27968,水色,sweet_honey,ラブリー,1000,パシャッとアイテム,プロモコーデ,プリ☆チャンファイル みらい＆えも,,
am_011,AM-011,SR,ラビットカメオトップス,トップス,28062,水色,dolly_waltz,ラブリー,800,ラビットカメオ,プロモコーデ,あんな＆さらプリチケセット,,
am_012,AM-012,SR,ラビットカメオボトムス,ボトムス,28063,水色,dolly_waltz,ラブリー,750,ラビットカメオ,プロモコーデ,あんな＆さらプリチケセット,,
am_013,AM-013,SR,ラビットカメオシューズ,シューズ,28064,水色,dolly_waltz,ラブリー,700,ラビットカメオ,プロモコーデ,あんな＆さらプリチケセット,,
am_014,AM-014,SR,ラビットカメオヘアアクセ,ヘアアクセ,28065,水色,dolly_waltz,ラブリー,700,ラビットカメオ,プロモコーデ,あんな＆さらプリチケセット,,
am_015,AM-015,SR,ベージュのうさぎさんぬいぐるみ,パシャッとアイテム,28066,黄,dolly_waltz,ラブリー,700,パシャッとアイテム,プロモコーデ,あんな＆さらプリチケセット,,
am_016,AM-016,R,ロッカーグリーンベスト＆Tシャツ,トップス,28067,緑,romance_beat,クール,650,ロッカーグリーン,プロモコーデ,あんな＆さらプリチケセット,,
am_017,AM-017,R,ロッカーダメージデニムショーパン,ボトムス,28068,青,romance_beat,クール,550,ロッカーグリーン,プロモコーデ,あんな＆さらプリチケセット,,
am_018,AM-018,R,ロッカーグリーンローファー,シューズ,28069,緑,romance_beat,クール,600,ロッカーグリーン,プロモコーデ,あんな＆さらプリチケセット,,
am_019,AM-019,R,ロッカーブラックハット,ヘアアクセ,28070,黒,romance_beat,クール,550,ロッカーグリーン,プロモコーデ,あんな＆さらプリチケセット,,
am_020,AM-020,R,ストライプローズパープルワンピ,ワンピース,28083,紫,dolly_waltz,ラブリー,1000,ストライプローズパープル,プロモコーデ,プリ☆チャンファイル あんな＆さら,,
am_021,AM-021,SR,フラワーショップアネモネトップス,トップス,28071,赤,sweet_honey,ラブリー,800,フラワーショップアネモネ,プロモコーデ,プリ☆チャンやってみたDXセット,,
am_022,AM-022,SR,フラワーショップアネモネスカート,ボトムス,28072,赤,sweet_honey,ラブリー,700,フラワーショップアネモネ,プロモコーデ,プリ☆チャンやってみたDXセット,,
am_023,AM-023,SR,フラワーショップアネモネシューズ,シューズ,28073,赤,sweet_honey,ラブリー,750,フラワーショップアネモネ,プロモコーデ,プリ☆チャンやってみたDXセット,,
am_024,AM-024,SR,フラワーショップアネモネヘアアクセ,ヘアアクセ,28074,赤,sweet_honey,ラブリー,700,フラワーショップアネモネ,プロモコーデ,プリ☆チャンやってみたDXセット,,
am_025,AM-025,SR,チアリーダーホワイトトップス,トップス,28075,白,girls_yell,ポップ,750,チアリーダーホワイト,プロモコーデ,プリ☆チャンやってみたDXセット,,
am_026,AM-026,SR,チアリーダーホワイトスカート,ボトムス,28076,白,girls_yell,ポップ,800,チアリーダーホワイト,プロモコーデ,プリ☆チャンやってみたDXセット,,
am_027,AM-027,SR,チアリーダーホワイトシューズ,シューズ,28077,青,girls_yell,ポップ,700,チアリーダーホワイト,プロモコーデ,プリ☆チャンやってみたDXセット,,
am_028,AM-028,SR,チアリーダーホワイトヘアアクセ,ヘアアクセ,28078,赤,girls_yell,ポップ,700,チアリーダーホワイト,プロモコーデ,プリ☆チャンやってみたDXセット,,
am_029,AM-029,SR,ゴシックフリルナイトレッドトップス,トップス,28079,赤,secret_alice,クール,700,ゴシックフリルナイトレッド,プロモコーデ,プリ☆チャンやってみたDXセット,,
