key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
sh_01,SH-01,SR,ギンガムハートサンレッドトップス,トップス,70019,赤,sweet_honey,ラブリー,700,ギンガムハートサンレッド,,ブランドランク,,
sh_02,SH-02,SR,ギンガムハートサンレッドスカート,ボトムス,70020,赤,sweet_honey,ラブリー,600,ギンガムハートサンレッド,,ブランドランク,,
sh_03,SH-03,SR,ギンガムハートサンレッドシューズ,シューズ,70021,赤,sweet_honey,ラブリー,650,ギンガムハートサンレッド,,ブランドランク,,
sh_04,SH-04,SR,ギンガムハートサンレッドヘアアクセ,ヘアアクセ,70022,赤,sweet_honey,ラブリー,600,ギンガムハートサンレッド,,ブランドランク,,
sh_05,SH-05,SR,アイスクリームグレープワンピ,ワンピース,27980,紫,sweet_honey,ラブリー,1200,アイスクリームグレープ,,ブランドランク,,
sh_06,SH-06,SR,アイスクリームグレープシューズ,シューズ,27981,紫,sweet_honey,ラブリー,600,アイスクリームグレープ,,ブランドランク,,
sh_07,SH-07,SR,アイスクリームグレープヘアアクセ,ヘアアクセ,27982,紫,sweet_honey,ラブリー,600,アイスクリームグレープ,,ブランドランク,,
sh_08,SH-08,SR,ミントギンガムサマーワンピ,ワンピース,70335,緑,sweet_honey,ラブリー,700,ミントギンガム,,ブランドランク,,
sh_09,SH-09,SR,ミントギンガムサマーシューズ,シューズ,70336,緑,sweet_honey,ラブリー,650,ミントギンガム,,ブランドランク,,
sh_10,SH-10,SR,ミントギンガムむぎわらハット,ヘアアクセ,70337,緑,sweet_honey,ラブリー,600,ミントギンガム,,ブランドランク,,
sh_11,SH-11,SR,さくらひめさんごトップス,トップス,71107,オレンジ,sweet_honey,ラブリー,750,さくらひめさんご,,ブランドランク,,
sh_12,SH-12,SR,さくらひめさんごスカート,ボトムス,71108,オレンジ,sweet_honey,ラブリー,700,さくらひめさんご,,ブランドランク,,
sh_13,SH-13,SR,さくらひめさんごシューズ,シューズ,71109,オレンジ,sweet_honey,ラブリー,650,さくらひめさんご,,ブランドランク,,
sh_14,SH-14,SR,さくらひめさんごヘアアクセ,ヘアアクセ,71110,オレンジ,sweet_honey,ラブリー,650,さくらひめさんご,,ブランドランク,,
gy_01,GY-01,SR,バルーンブルーデニムサロペット,ワンピース,70069,青,girls_yell,ポップ,1200,バルーンブルーデニム,,ブランドランク,,
gy_02,GY-02,SR,バルーンブルーデニムシューズ,シューズ,70070,ピンク,girls_yell,ポップ,600,バルーンブルーデニム,,ブランドランク,,
gy_03,GY-03,SR,バルーンブルーデニムヘアアクセ,ヘアアクセ,70071,ピンク,girls_yell,ポップ,600,バルーンブルーデニム,,ブランドランク,,
gy_04,GY-04,SR,ポップコーンショップグリーントップス,トップス,28012,緑,girls_yell,ポップ,650,ポップコーンショップグリーン,,ブランドランク,,
gy_05,GY-05,SR,ポップコーンショップグリーンパンツ,ボトムス,28013,緑,girls_yell,ポップ,600,ポップコーンショップグリーン,,ブランドランク,,
gy_06,GY-06,SR,ポップコーンショップグリーンシューズ,シューズ,28014,緑,girls_yell,ポップ,700,ポップコーンショップグリーン,,ブランドランク,,
gy_07,GY-07,SR,ポップコーンショップグリーンヘアアクセ,ヘアアクセ,28015,緑,girls_yell,ポップ,600,ポップコーンショップグリーン,,ブランドランク,,
gy_08,GY-08,SR,ストライプスターライトブルートップス,トップス,70338,青,girls_yell,ポップ,700,ストライプスターライトブルー,,ブランドランク,,
gy_09,GY-09,SR,ストライプスターライトブルースカート,ボトムス,70339,青,girls_yell,ポップ,650,ストライプスターライトブルー,,ブランドランク,,
gy_10,GY-10,SR,ストライプスターライトブルーシューズ,シューズ,70340,青,girls_yell,ポップ,600,ストライプスターライトブルー,,ブランドランク,,
gy_11,GY-11,SR,ストライプスターライトブルーヘアアクセ,ヘアアクセ,70341,青,girls_yell,ポップ,600,ストライプスターライトブルー,,ブランドランク,,
dw_01,DW-01,SR,セーラーマリンパステルピンクトップス,トップス,70166,ピンク,dolly_waltz,ラブリー,700,セーラーマリンパステルピンク,,ブランドランク,,
dw_02,DW-02,SR,セーラーマリンパステルピンクスカート,ボトムス,70167,ピンク,dolly_waltz,ラブリー,650,セーラーマリンパステルピンク,,ブランドランク,,
dw_03,DW-03,SR,セーラーマリンパステルピンクシューズ,シューズ,70168,ピンク,dolly_waltz,ラブリー,600,セーラーマリンパステルピンク,,ブランドランク,,
dw_04,DW-04,SR,セーラーマリンパステルピンクヘアアクセ,ヘアアクセ,70186,ピンク,dolly_waltz,ラブリー,600,セーラーマリンパステルピンク,,ブランドランク,,
dw_05,DW-05,SR,ピクニックギンガムブルーケープワンピ,ワンピース,70169,青,dolly_waltz,ラブリー,1200,ピクニックギンガムブルー,,ブランドランク,,
dw_06,DW-06,SR,ピクニックギンガムブルーシューズ,シューズ,70170,青,dolly_waltz,ラブリー,600,ピクニックギンガムブルー,,ブランドランク,,
dw_07,DW-07,SR,ピクニックギンガムブルーヘアアクセ,ヘアアクセ,70171,青,dolly_waltz,ラブリー,600,ピクニックギンガムブルー,,ブランドランク,,
dw_08,DW-08,SR,レトロストライプピンクトップス,トップス,70450,ピンク,dolly_waltz,ラブリー,600,レトロストライプピンク,,ブランドランク,,
dw_09,DW-09,SR,レトロストライプピンクスカート,ボトムス,70451,ピンク,dolly_waltz,ラブリー,650,レトロストライプピンク,,ブランドランク,,
dw_10,DW-10,SR,レトロストライプピンクシューズ,シューズ,70452,ピンク,dolly_waltz,ラブリー,700,レトロストライプピンク,,ブランドランク,,
dw_11,DW-11,SR,レトロストライプピンクヘアアクセ,ヘアアクセ,70453,ピンク,dolly_waltz,ラブリー,600,レトロストライプピンク,,ブランドランク,,
rb_01,RB-01,SR,スターダストレザーピンクトップス,トップス,70172,ピンク,romance_beat,クール,700,スターダストレザーピンク,,ブランドランク,,
rb_02,RB-02,SR,スターダストレザーピンクスカート,ボトムス,70173,ピンク,romance_beat,クール,600,スターダストレザーピンク,,ブランドランク,,
rb_03,RB-03,SR,スターダストレザーピンクブーツ,シューズ,70174,ピンク,romance_beat,クール,650,スターダストレザーピンク,,ブランドランク,,
rb_04,RB-04,SR,スターダストレザーピンクヘアアクセ,ヘアアクセ,70175,ピンク,romance_beat,クール,600,スターダストレザーピンク,,ブランドランク,,
rb_05,RB-05,SR,ミュージシャンイエロージャケット,トップス,70176,黄,romance_beat,クール,700,ミュージシャンイエロー,,ブランドランク,,
rb_06,RB-06,SR,ミュージシャンイエローデニム,ボトムス,70177,黄,romance_beat,クール,600,ミュージシャンイエロー,,ブランドランク,,
rb_07,RB-07,SR,ミュージシャンイエローシューズ,シューズ,70178,黄,romance_beat,クール,650,ミュージシャンイエロー,,ブランドランク,,
rb_08,RB-08,SR,ミュージシャンイエローハット,ヘアアクセ,70179,黄,romance_beat,クール,600,ミュージシャンイエロー,,ブランドランク,,
rb_09,RB-09,SR,ペイントパターンブルートップス,トップス,70391,青,romance_beat,クール,600,ペイントパターンブルー,,ブランドランク,,
rb_10,RB-10,SR,ペイントパターンブルースカート,ボトムス,70392,青,romance_beat,クール,650,ペイントパターンブルー,,ブランドランク,,
rb_11,RB-11,SR,ペイントパターンブルーシューズ,シューズ,70393,黒,romance_beat,クール,700,ペイントパターンブルー,,ブランドランク,,
rb_12,RB-12,SR,ペイントパターンブルーヘアアクセ,ヘアアクセ,70394,青,romance_beat,クール,600,ペイントパターンブルー,,ブランドランク,,
rb_13,RB-13,R,ポリスガールグリーントップス,トップス,71692,緑,romance_beat,クール,600,ポリスガールグリーン,,ブランドランク,,
rb_14,RB-14,R,ポリスガールグリーンパンツ,ボトムス,71693,緑,romance_beat,クール,550,ポリスガールグリーン,,ブランドランク,,
rb_15,RB-15,R,ポリスガールグリーンシューズ,シューズ,71694,緑,romance_beat,クール,500,ポリスガールグリーン,,ブランドランク,,
rb_16,RB-16,R,ポリスガールグリーンヘアアクセ,ヘアアクセ,71695,緑,romance_beat,クール,500,ポリスガールグリーン,,ブランドランク,,
sa_01,SA-01,SR,ワイズガールインディゴトップス,トップス,70327,青,secret_alice,クール,700,ワイズガールインディゴ,,ブランドランク,,
sa_02,SA-02,SR,ワイズガールインディゴスカート,ボトムス,70328,青,secret_alice,クール,650,ワイズガールインディゴ,,ブランドランク,,
sa_03,SA-03,SR,ワイズガールインディゴシューズ,シューズ,70329,青,secret_alice,クール,600,ワイズガールインディゴ,,ブランドランク,,
sa_04,SA-04,SR,ワイズガールインディゴヘアアクセ,ヘアアクセ,70330,青,secret_alice,クール,600,ワイズガールインディゴ,,ブランドランク,,
sa_05,SA-05,SR,クラシックハートパープルトップス,トップス,70331,紫,secret_alice,クール,700,クラシックハートパープル,,ブランドランク,,
sa_06,SA-06,SR,クラシックハートパープルスカート,ボトムス,70332,紫,secret_alice,クール,650,クラシックハートパープル,,ブランドランク,,
sa_07,SA-07,SR,クラシックハートパープルシューズ,シューズ,70333,紫,secret_alice,クール,600,クラシックハートパープル,,ブランドランク,,
sa_08,SA-08,SR,クラシックハートパープルヘアアクセ,ヘアアクセ,70334,紫,secret_alice,クール,600,クラシックハートパープル,,ブランドランク,,
sa_09,SA-09,SR,クロックモダンパープルトップス,トップス,70606,紫,secret_alice,クール,700,クロックモダンパープル,,ブランドランク,,
sa_10,SA-10,SR,クロックモダンパープルスカート,ボトムス,70607,紫,secret_alice,クール,650,クロックモダンパープル,,ブランドランク,,
sa_11,SA-11,SR,クロックモダンパープルシューズ,シューズ,70608,紫,secret_alice,クール,600,クロックモダンパープル,,ブランドランク,,
sa_12,SA-12,SR,クロックモダンパープルヘアアクセ,ヘアアクセ,70609,紫,secret_alice,クール,600,クロックモダンパープル,,ブランドランク,,
sa_13,SA-13,SR,ロータスチャイナレッドブラウス,トップス,71287,赤,secret_alice,クール,750,ロータスチャイナレッド,,ブランドランク,,
sa_14,SA-14,SR,ロータスチャイナレッドスカート,ボトムス,71288,赤,secret_alice,クール,700,ロータスチャイナレッド,,ブランドランク,,
sa_15,SA-15,SR,ロータスチャイナレッドパンプス,シューズ,71289,赤,secret_alice,クール,650,ロータスチャイナレッド,,ブランドランク,,
uq_01,UQ-01,SR,ねこうらないしフレッシュワンピ,ワンピース,70443,緑,universe_queen,クール,1200,ねこうらないしフレッシュ,,ブランドランク,,
uq_02,UQ-02,SR,ねこうらないしフレッシュシューズ,シューズ,70444,緑,universe_queen,クール,600,ねこうらないしフレッシュ,,ブランドランク,,
uq_03,UQ-03,SR,ねこうらないしフレッシュヘアアクセ,ヘアアクセ,70445,白,universe_queen,クール,600,ねこうらないしフレッシュ,,ブランドランク,,
uq_04,UQ-04,SR,キラキラフィーバーピンクトップス,トップス,70439,ピンク,universe_queen,クール,700,キラキラフィーバーピンク,,ブランドランク,,
uq_05,UQ-05,SR,キラキラフィーバーピンクスカート,ボトムス,70440,ピンク,universe_queen,クール,650,キラキラフィーバーピンク,,ブランドランク,,
uq_06,UQ-06,SR,キラキラフィーバーピンクシューズ,シューズ,70441,ピンク,universe_queen,クール,600,キラキラフィーバーピンク,,ブランドランク,,
uq_07,UQ-07,SR,キラキラフィーバーピンクヘアアクセ,ヘアアクセ,70442,ピンク,universe_queen,クール,600,キラキラフィーバーピンク,,ブランドランク,,
uq_08,UQ-08,SR,ファンキーファーグリーントップス,トップス,70610,赤,universe_queen,クール,700,ファンキーファーグリーン,,ブランドランク,,
uq_09,UQ-09,SR,ファンキーファーグリーンパンツ,ボトムス,70611,緑,universe_queen,クール,650,ファンキーファーグリーン,,ブランドランク,,
uq_10,UQ-10,SR,ファンキーファーグリーンシューズ,シューズ,70612,緑,universe_queen,クール,600,ファンキーファーグリーン,,ブランドランク,,
uq_11,UQ-11,SR,ファンキーファーグリーンヘアアクセ,ヘアアクセ,70613,緑,universe_queen,クール,600,ファンキーファーグリーン,,ブランドランク,,
uq_12,UQ-12,SR,マジックレインどしゃぶりトップス,トップス,71291,青,universe_queen,クール,750,マジックレインどしゃぶり,,ブランドランク,,
uq_13,UQ-13,SR,マジックレインどしゃぶりパンツ,ボトムス,71292,青,universe_queen,クール,700,マジックレインどしゃぶり,,ブランドランク,,
uq_14,UQ-14,SR,マジックレインどしゃぶりシューズ,シューズ,71293,青,universe_queen,クール,650,マジックレインどしゃぶり,,ブランドランク,,
uq_15,UQ-15,SR,マジックレインどしゃぶりヘアアクセ,ヘアアクセ,71294,青,universe_queen,クール,650,マジックレインどしゃぶり,,ブランドランク,,
pm_01,PM-01,SR,エレガントパーティーイエロートップス,トップス,70598,黄,precious_muse,プレミアム,700,エレガントパーティーイエロー,,ブランドランク,,
pm_02,PM-02,SR,エレガントパーティーイエロースカート,ボトムス,70599,黄,precious_muse,プレミアム,650,エレガントパーティーイエロー,,ブランドランク,,
pm_03,PM-03,SR,エレガントパーティーイエローシューズ,シューズ,70600,黄,precious_muse,プレミアム,600,エレガントパーティーイエロー,,ブランドランク,,
pm_04,PM-04,SR,エレガントパーティーイエローヘアアクセ,ヘアアクセ,70601,黄,precious_muse,プレミアム,600,エレガントパーティーイエロー,,ブランドランク,,
pm_05,PM-05,SR,ドレッシーストライプブルートップス,トップス,70602,青,precious_muse,プレミアム,700,ドレッシーストライプブルー,,ブランドランク,,
pm_06,PM-06,SR,ドレッシーストライプブルースカート,ボトムス,70603,青,precious_muse,プレミアム,650,ドレッシーストライプブルー,,ブランドランク,,
pm_07,PM-07,SR,ドレッシーストライプブルーシューズ,シューズ,70604,青,precious_muse,プレミアム,600,ドレッシーストライプブルー,,ブランドランク,,
pm_08,PM-08,SR,ドレッシーストライプブルーヘアアクセ,ヘアアクセ,70605,青,precious_muse,プレミアム,600,ドレッシーストライプブルー,,ブランドランク,,
pm_09,PM-09,R,グレイスレースピンクトップス,トップス,71696,ピンク,precious_muse,プレミアム,600,グレイスレースピンク,,ブランドランク,,
pm_10,PM-10,R,グレイスレースピンクスカート,ボトムス,71697,白,precious_muse,プレミアム,550,グレイスレースピンク,,ブランドランク,,
