key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
c_001,C-001,SR,わんわんポリスブルートップス,トップス,28048,水色,girls_yell,ポップ,800,わんわんポリスブルー,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_002,C-002,SR,わんわんポリスブルースカート,ボトムス,28049,水色,girls_yell,ポップ,750,わんわんポリスブルー,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_003,C-003,SR,わんわんポリスブルーシューズ,シューズ,28050,黒,girls_yell,ポップ,700,わんわんポリスブルー,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_004,C-004,SR,わんわんポリスブルーヘアアクセ,ヘアアクセ,28051,黒,girls_yell,ポップ,700,わんわんポリスブルー,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_005,C-005,SR,わんわんポリスピンクトップス,トップス,28052,ピンク,girls_yell,ポップ,800,わんわんポリスピンク,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_006,C-006,SR,わんわんポリスピンクスカート,ボトムス,28053,ピンク,girls_yell,ポップ,750,わんわんポリスピンク,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_007,C-007,R,ダンシングマーチグリーントップス,トップス,28058,緑,girls_yell,ポップ,550,ダンシングマーチグリーン,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_008,C-008,R,ダンシングマーチグリーンスカート,ボトムス,28059,緑,girls_yell,ポップ,600,ダンシングマーチグリーン,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_009,C-009,R,ダンシングマーチグリーンシューズ,シューズ,28060,緑,girls_yell,ポップ,650,ダンシングマーチグリーン,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_010,C-010,R,ダンシングマーチヘアアクセ,ヘアアクセ,28061,緑,girls_yell,ポップ,550,ダンシングマーチグリーン,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_011,C-011,R,クリームピーチソーダトップス,トップス,28054,ピンク,sweet_honey,ラブリー,650,クリームピーチソーダ,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_012,C-012,R,クリームピーチソーダスカート,ボトムス,28055,ピンク,sweet_honey,ラブリー,550,クリームピーチソーダ,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_013,C-013,R,クリームピーチソーダシューズ,シューズ,28056,ピンク,sweet_honey,ラブリー,600,クリームピーチソーダ,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_014,C-014,R,クリームソーダヘアアクセ,ヘアアクセ,28057,黄色,sweet_honey,ラブリー,550,クリームピーチソーダ,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.1,,
c_015,C-015,R,プリ☆チャンユニフォームライトブルートップス,トップス,27987,水色,prismstone,ラブリー,650,プリ☆チャンユニフォームライトブルー,プロモコーデ,プリチケMiniファイルコレクション vol.1,,
c_016,C-016,R,プリ☆チャンユニフォームライトブルースカート,ボトムス,27988,水色,prismstone,ラブリー,600,プリ☆チャンユニフォームライトブルー,プロモコーデ,プリチケMiniファイルコレクション vol.1,,
c_017,C-017,R,プリ☆チャンユニフォームライトブルーシューズ,シューズ,27989,水色,prismstone,ラブリー,550,プリ☆チャンユニフォームライトブルー,プロモコーデ,プリチケMiniファイルコレクション vol.1,,
c_018,C-018,R,プリ☆チャンユニフォームライトブルーヘアアクセ,ヘアアクセ,27990,水色,prismstone,ラブリー,550,プリ☆チャンユニフォームライトブルー,プロモコーデ,プリチケMiniファイルコレクション vol.1,,
c_019,C-019,R,ストロベリーガールパープルワンピ,ワンピース,28016,紫,sweet_honey,ラブリー,1000,ストロベリーガールパープル,プロモコーデ,プリチケMiniファイルコレクション vol.1,,
c_020,C-020,R,ストロベリーガールパープルシューズ,シューズ,28017,紫,sweet_honey,ラブリー,550,ストロベリーガールパープル,プロモコーデ,プリチケMiniファイルコレクション vol.1,,
c_021,C-021,R,ストロベリーガールパープルヘアアクセ,ヘアアクセ,28018,紫,sweet_honey,ラブリー,550,ストロベリーガールパープル,プロモコーデ,プリチケMiniファイルコレクション vol.1,,
c_022,C-022,SR,にゃんにゃんにゃ～すピンクトップス,トップス,28258,ピンク,sweet_honey,ラブリー,800,にゃんにゃんにゃ～すピンク,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.2,,
c_023,C-023,SR,にゃんにゃんにゃ～すピンクスカート,ボトムス,28259,ピンク,sweet_honey,ラブリー,750,にゃんにゃんにゃ～すピンク,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.2,,
c_024,C-024,SR,にゃんにゃんにゃ～すピンクブーツ,シューズ,28260,ピンク,sweet_honey,ラブリー,700,にゃんにゃんにゃ～すピンク,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.2,,
c_025,C-025,SR,にゃんにゃんにゃ～すピンクヘアアクセ,ヘアアクセ,28261,ピンク,sweet_honey,ラブリー,700,にゃんにゃんにゃ～すピンク,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.2,,
c_026,C-026,SR,にゃんにゃんにゃ～すブルースカート,ボトムス,28262,水色,sweet_honey,ラブリー,750,にゃんにゃんにゃ～すブルー,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.2,,
c_027,C-027,SR,にゃんにゃんにゃ～すブルートップス,トップス,28263,水色,sweet_honey,ラブリー,800,にゃんにゃんにゃ～すブルー,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.2,,
c_028,C-028,R,セーラーチアイエローリボントップス,トップス,27994,黄,girls_yell,ポップ,600,セーラーチアイエローリボン,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.2,,
c_029,C-029,R,セーラーチアイエローリボンスカート,ボトムス,27995,水色,girls_yell,ポップ,650,セーラーチアイエローリボン,プロモコーデ,キラッとプリ☆チャン プリチケコレクショングミ vol.2,,
