key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
go_001,GO-001,SR,プリンセスブーケイエロードレス,ワンピース,29576,黄,little_princess_egg,ポップ,1300,プリンセスブーケイエロー,プロモコーデ,プリたまGO共通特典,,
go_002,GO-002,SR,プリンセスブーケイエローシューズ,シューズ,29577,黄,little_princess_egg,ポップ,700,プリンセスブーケイエロー,プロモコーデ,プリたまGO共通特典,,
go_003,GO-003,SR,プリンセスブーケイエローヘアアクセ,ヘアアクセ,29578,黄,little_princess_egg,ポップ,700,プリンセスブーケイエロー,プロモコーデ,プリたまGO共通特典,,
go_004,GO-004,SR,プリンセスブーケグリーンドレス,ワンピース,29579,緑,little_princess_egg,クール,1300,プリンセスブーケグリーン,プロモコーデ,プリたまGO共通特別コーデ,,
go_005,GO-005,SR,プリンセスブーケグリーンシューズ,シューズ,29580,緑,little_princess_egg,クール,700,プリンセスブーケグリーン,プロモコーデ,プリたまGO共通特別コーデ,,
go_006,GO-006,SR,プリンセスブーケグリーンヘアアクセ,ヘアアクセ,29581,緑,little_princess_egg,クール,700,プリンセスブーケグリーン,プロモコーデ,プリたまGO共通特別コーデ,,
go_007,GO-007,SR,プリンセスブーケレッドドレス,ワンピース,29582,赤,little_princess_egg,ラブリー,1300,プリンセスブーケレッド,プロモコーデ,プリたまGO共通特別コーデ,,
go_008,GO-008,SR,プリンセスブーケレッドシューズ,シューズ,29583,赤,little_princess_egg,ラブリー,700,プリンセスブーケレッド,プロモコーデ,プリたまGO共通特別コーデ,,
go_009,GO-009,SR,プリンセスブーケレッドヘアアクセ,ヘアアクセ,29584,赤,little_princess_egg,ラブリー,700,プリンセスブーケレッド,プロモコーデ,プリたまGO共通特別コーデ,,
go_010,GO-010,SR,プリンセスブーケホワイトドレス,ワンピース,29585,白,little_princess_egg,プレミアム,1300,プリンセスブーケホワイト,プロモコーデ,プリたまGO共通特別コーデ,,
go_011,GO-011,SR,プリンセスブーケホワイトシューズ,シューズ,29586,白,little_princess_egg,プレミアム,700,プリンセスブーケホワイト,プロモコーデ,プリたまGO共通特別コーデ,,
go_012,GO-012,SR,プリンセスブーケホワイトヘアアクセ,ヘアアクセ,29587,白,little_princess_egg,プレミアム,700,プリンセスブーケホワイト,プロモコーデ,プリたまGO共通特別コーデ,,
go_013,GO-013,SR,プリンセスブーケブラックドレス,ワンピース,29588,黒,little_princess_egg,クール,1300,プリンセスブーケブラック,プロモコーデ,プリたまGO共通特別コーデ,,
go_014,GO-014,SR,プリンセスブーケブラックシューズ,シューズ,29589,黒,little_princess_egg,クール,700,プリンセスブーケブラック,プロモコーデ,プリたまGO共通特別コーデ,,
go_015,GO-015,SR,プリンセスブーケブラックヘアアクセ,ヘアアクセ,29590,黒,little_princess_egg,クール,700,プリンセスブーケブラック,プロモコーデ,プリたまGO共通特別コーデ,,
go_016,GO-016,SR,プリンセスブーケピンクドレス,ワンピース,29591,ピンク,little_princess_egg,ラブリー,1300,プリンセスブーケピンク,プロモコーデ,プリたまGOパウダーピンク特別コーデ,,
go_017,GO-017,SR,プリンセスブーケピンクシューズ,シューズ,29592,ピンク,little_princess_egg,ラブリー,700,プリンセスブーケピンク,プロモコーデ,プリたまGOパウダーピンク特別コーデ,,
go_018,GO-018,SR,プリンセスブーケピンクヘアアクセ,ヘアアクセ,29593,ピンク,little_princess_egg,ラブリー,700,プリンセスブーケピンク,プロモコーデ,プリたまGOパウダーピンク特別コーデ,,
go_019,GO-019,SR,プリンセスブーケブルードレス,ワンピース,29594,青,little_princess_egg,ポップ,1300,プリンセスブーケブルー,プロモコーデ,プリたまGOミントブルー特別コーデ,,
go_020,GO-020,SR,プリンセスブーケブルーシューズ,シューズ,29595,青,little_princess_egg,ポップ,700,プリンセスブーケブルー,プロモコーデ,プリたまGOミントブルー特別コーデ,,
go_021,GO-021,SR,プリンセスブーケブルーヘアアクセ,ヘアアクセ,29596,青,little_princess_egg,ポップ,700,プリンセスブーケブルー,プロモコーデ,プリたまGOミントブルー特別コーデ,,
go_022,GO-022,SR,プリンセスブーケパープルドレス,ワンピース,29597,紫,little_princess_egg,クール,1300,プリンセスブーケパープル,プロモコーデ,プリたまGOミスティパープル特別コーデ,,
go_023,GO-023,SR,プリンセスブーケパープルシューズ,シューズ,29598,紫,little_princess_egg,クール,700,プリンセスブーケパープル,プロモコーデ,プリたまGOミスティパープル特別コーデ,,
go_024,GO-024,SR,プリンセスブーケパープルヘアアクセ,ヘアアクセ,29599,紫,little_princess_egg,クール,700,プリンセスブーケパープル,プロモコーデ,プリたまGOミスティパープル特別コーデ,,
go_025,GO-025,SR,ヒップホップダンストップス,トップス,29600,水色,dance_and_street,クール,800,ヒップホップダンス,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_026,GO-026,SR,ヒップホップダンスパンツ,ボトムス,29601,青,dance_and_street,クール,750,ヒップホップダンス,プロモコーデ,プリたまGO共通登場コーデ,,
go_027,GO-027,SR,ヒップホップダンスシューズ,シューズ,29602,黒,dance_and_street,クール,700,ヒップホップダンス,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_028,GO-028,SR,ヒップホップダンスヘアアクセ,ヘアアクセ,29603,水色,dance_and_street,クール,700,ヒップホップダンス,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_029,GO-029,SR,ポッピンキャンディトップス,トップス,29604,白,milky_rainbow,ポップ,800,ポッピンキャンディ,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_030,GO-030,SR,ポッピンキャンディパンツ,ボトムス,29605,黄,milky_rainbow,ポップ,750,ポッピンキャンディ,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_031,GO-031,SR,ポッピンキャンディシューズ,シューズ,29606,白,milky_rainbow,ポップ,700,ポッピンキャンディ,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_032,GO-032,SR,ポッピンキャンディヘアアクセ,ヘアアクセ,29607,水色,milky_rainbow,ポップ,700,ポッピンキャンディ,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_033,GO-033,SR,エンジェルナースパープルトップス,トップス,29608,紫,sweet_honey,ラブリー,800,エンジェルナースパープル,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_034,GO-034,SR,エンジェルナースパープルスカート,ボトムス,29609,紫,sweet_honey,ラブリー,750,エンジェルナースパープル,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_035,GO-035,SR,エンジェルナースパープルシューズ,シューズ,29610,紫,sweet_honey,ラブリー,700,エンジェルナースパープル,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_036,GO-036,SR,エンジェルナースパープルヘアアクセ,ヘアアクセ,29611,紫,sweet_honey,ラブリー,700,エンジェルナースパープル,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_037,GO-037,SR,ロマーノアーティストインディゴトップス,トップス,29612,青,secret_alice,クール,800,ロマーノアーティストインディゴ,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_038,GO-038,SR,ロマーノアーティストインディゴスカート,ボトムス,29613,青,secret_alice,クール,750,ロマーノアーティストインディゴ,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_039,GO-039,SR,ロマーノアーティストインディゴシューズ,シューズ,29614,青,secret_alice,クール,700,ロマーノアーティストインディゴ,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_040,GO-040,SR,ロマーノアーティストインディゴヘアアクセ,ヘアアクセ,29615,青,secret_alice,クール,700,ロマーノアーティストインディゴ,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_041,GO-041,SR,パンクキャットレッドトップス,トップス,29616,黒,romance_beat,クール,800,パンクキャットレッド,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_042,GO-042,SR,パンクキャットレッドスカート,ボトムス,29617,黒,romance_beat,クール,750,パンクキャットレッド,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_043,GO-043,SR,パンクキャットレッドシューズ,シューズ,29618,黒,romance_beat,クール,700,パンクキャットレッド,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_044,GO-044,SR,パンクキャットレッドヘアアクセ,ヘアアクセ,29619,黒,romance_beat,クール,700,パンクキャットレッド,プロモコーデ,プリたまGO共通登場コーデ,"",""
go_045,GO-045,SR,プリたまGOパウダーピンク,パシャッとアイテム,29620,ピンク,little_princess_egg,プレミアム,700,パシャッとアイテム,プロモコーデ,プリたまGOパウダーピンク特別コーデ,"",""
go_046,GO-046,SR,プリたまGOミントブルー,パシャッとアイテム,29621,水色,little_princess_egg,プレミアム,700,パシャッとアイテム,プロモコーデ,プリたまGOミントブルー特別コーデ,"",""
go_047,GO-047,SR,プリたまGOミスティパープル,パシャッとアイテム,29622,紫,little_princess_egg,プレミアム,700,パシャッとアイテム,プロモコーデ,プリたまGOミスティパープル特別コーデ,"",""
go_048,GO-048,SR,カラフルアンブレラ,パシャッとアイテム,29623,水色,universe_queen,クール,700,パシャッとアイテム,プロモコーデ,プリたまGO共通登場コーデ パシャッとアイテム,"",""
go_049,GO-049,SR,ハッピーステッキ,パシャッとアイテム,29624,ピンク,sweet_honey,ラブリー,700,パシャッとアイテム,プロモコーデ,プリたまGO共通登場コーデ パシャッとアイテム,"",""
go_050,GO-050,SR,レッドローズ,パシャッとアイテム,29625,赤,romance_beat,クール,700,パシャッとアイテム,プロモコーデ,プリたまGO共通登場コーデ パシャッとアイテム,"",""
go_051,GO-051,SR,しろいもりのトランペット,パシャッとアイテム,29626,白,dolly_waltz,ラブリー,700,パシャッとアイテム,プロモコーデ,プリたまGO共通登場コーデ パシャッとアイテム,"",""
