key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
rr3_01,RR3-01,RR,レインボーシンデレラワンピ,ワンピース,71530,レインボー,プレシャスミューズ,プレミアム,2000,J3-1,すずコレクション,7月11日（木）～9月18日（水）
rr3_02,RR3-02,RR,レインボーシンデレラシューズ,シューズ,71531,レインボー,プレシャスミューズ,プレミアム,950,J3-1,すずコレクション,7月11日（木）～9月18日（水）
rr3_03,RR3-03,RR,レインボーシンデレラヘアアクセ,ヘアアクセ,71532,レインボー,プレシャスミューズ,プレミアム,950,J3-1,すずコレクション,7月11日（木）～9月18日（水）
rr3_04,RR3-04,RR,レインボープリンスワンピ,ワンピース,71533,レインボー,プレシャスミューズ,プレミアム,2000,J3-2,すずコレクション,7月11日（木）～9月18日（水）
rr3_05,RR3-05,RR,レインボープリンスシューズ,シューズ,71534,レインボー,プレシャスミューズ,プレミアム,950,J3-2,すずコレクション,7月11日（木）～9月18日（水）
rr3_06,RR3-06,RR,レインボープリンスヘアアクセ,ヘアアクセ,71535,レインボー,プレシャスミューズ,プレミアム,950,J3-2,すずコレクション,7月11日（木）～9月18日（水）
rr3_07,RR3-07,RR,レインボースイートハニーワンピ,ワンピース,71524,レインボー,スイートハニー,ラブリー,2000,J3-3,すずコレクション,7月11日（木）～9月18日（水）
rr3_08,RR3-08,RR,レインボースイートハニーシューズ,シューズ,71525,レインボー,スイートハニー,ラブリー,950,J3-3,すずコレクション,7月11日（木）～9月18日（水）
rr3_09,RR3-09,RR,レインボースイートハニーヘアアクセ,ヘアアクセ,71526,レインボー,スイートハニー,ラブリー,950,J3-3,すずコレクション,7月11日（木）～9月18日（水）
rr3_10,RR3-10,RR,レインボーガールズエールワンピ,ワンピース,71527,レインボー,ガールズエール,ポップ,2000,J3-27,リングマリィコレクション,8月8日（木）～10月23日（水）
rr3_11,RR3-11,RR,レインボーガールズエールシューズ,シューズ,71528,レインボー,ガールズエール,ポップ,950,J3-27,リングマリィコレクション,8月8日（木）～10月23日（水）
