key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
rr4_01,RR4-01,RR,レインボーかぐやひめワンピ,ワンピース,71542,レインボー,cutie_happiness,ラブリー,2000,レインボーかぐやひめ,ジュエル4弾,さらコレクション,2019-09-19,2019-11-27
rr4_02,RR4-02,RR,レインボーかぐやひめシューズ,シューズ,71543,レインボー,cutie_happiness,ラブリー,950,レインボーかぐやひめ,ジュエル4弾,さらコレクション,2019-09-19,2019-11-27
rr4_03,RR4-03,RR,レインボーかぐやひめヘアアクセ,ヘアアクセ,71544,レインボー,cutie_happiness,ラブリー,950,レインボーかぐやひめ,ジュエル4弾,さらコレクション,2019-09-19,2019-11-27
rr4_04,RR4-04,RR,レインボーシークレットアリスワンピ,ワンピース,71545,レインボー,secret_alice,クール,2000,レインボーシークレットアリス,ジュエル4弾,さらコレクション,2019-09-19,2019-11-27
rr4_05,RR4-05,RR,レインボーシークレットアリスシューズ,シューズ,71546,レインボー,secret_alice,クール,950,レインボーシークレットアリス,ジュエル4弾,さらコレクション,2019-09-19,2019-11-27
rr4_06,RR4-06,RR,レインボーシークレットアリスヘアアクセ,ヘアアクセ,71547,レインボー,secret_alice,クール,950,レインボーシークレットアリス,ジュエル4弾,さらコレクション,2019-09-19,2019-11-27
rr4_07,RR4-07,RR,レインボーロマンスビートワンピ,ワンピース,71548,レインボー,romance_beat,クール,2000,レインボーロマンスビート,ジュエル4弾,さらコレクション,2019-09-19,2019-11-27
rr4_08,RR4-08,RR,レインボーロマンスビートシューズ,シューズ,71549,レインボー,romance_beat,クール,950,レインボーロマンスビート,ジュエル4弾,さらコレクション,2019-09-19,2019-11-27
rr4_09,RR4-09,RR,レインボーロマンスビートヘアアクセ,ヘアアクセ,71550,レインボー,romance_beat,クール,950,レインボーロマンスビート,ジュエル4弾,さらコレクション,2019-09-19,2019-11-27
rr4_10,RR4-10,RR,レインボーおとのさまワンピ,ワンピース,71616,レインボー,dance_and_street,クール,2000,レインボーおとのさま,ジュエル4弾,アンジュコレクション,2019-10-24,2019-12-25
rr4_11,RR4-11,RR,レインボーおとのさまシューズ,シューズ,71617,レインボー,dance_and_street,クール,950,レインボーおとのさま,ジュエル4弾,アンジュコレクション,2019-10-24,2019-12-25
rr4_12,RR4-12,RR,レインボーおとのさまヘアアクセ,ヘアアクセ,71618,レインボー,dance_and_street,クール,950,レインボーおとのさま,ジュエル4弾,アンジュコレクション,2019-10-24,2019-12-25
rr4_13,RR4-13,RR,レインボードーリーワルツワンピ,ワンピース,71619,レインボー,dolly_waltz,ラブリー,2000,レインボードーリーワルツ,ジュエル4弾,アンジュコレクション,2019-10-24,2019-12-25
rr4_14,RR4-14,RR,レインボードーリーワルツシューズ,シューズ,71620,レインボー,dolly_waltz,ラブリー,950,レインボードーリーワルツ,ジュエル4弾,アンジュコレクション,2019-10-24,2019-12-25
rr4_15,RR4-15,RR,レインボードーリーワルツヘアアクセ,ヘアアクセ,71621,レインボー,dolly_waltz,ラブリー,950,レインボードーリーワルツ,ジュエル4弾,アンジュコレクション,2019-10-24,2019-12-25
rr4_16,RR4-16,RR,レインボーユニバースクイーンワンピ,ワンピース,71625,レインボー,universe_queen,クール,2000,レインボーユニバースクイーン,ジュエル4弾,アンジュコレクション,2019-10-24,2019-12-25
rr4_17,RR4-17,RR,レインボーユニバースクイーンシューズ,シューズ,71626,レインボー,universe_queen,クール,950,レインボーユニバースクイーン,ジュエル4弾,アンジュコレクション,2019-10-24,2019-12-25
