key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
jp_001,JP-001,SR,ジュエルパクトピンクワンピ,ワンピース,28498,ピンク,プリズムストーン,プレミアム,1300,ジュエルパクトピンク,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_002,JP-002,SR,ジュエルパクトピンクシューズ,シューズ,28499,ピンク,プリズムストーン,プレミアム,700,ジュエルパクトピンク,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_003,JP-003,SR,ジュエルパクトピンクヘアアクセ,ヘアアクセ,28500,ピンク,プリズムストーン,プレミアム,700,ジュエルパクトピンク,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_004,JP-004,SR,ジュエルパクトイエローワンピ,ワンピース,28501,黄,プリズムストーン,プレミアム,1300,ジュエルパクトイエロー,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_005,JP-005,SR,ジュエルパクトイエローシューズ,シューズ,28502,黄,プリズムストーン,プレミアム,700,ジュエルパクトイエロー,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_006,JP-006,SR,ジュエルパクトイエローヘアアクセ,ヘアアクセ,28503,黄,プリズムストーン,プレミアム,700,ジュエルパクトイエロー,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_007,JP-007,SR,ジュエルパクトブルーワンピ,ワンピース,28504,青,プリズムストーン,プレミアム,1300,ジュエルパクトブルー,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_008,JP-008,SR,ジュエルパクトブルーシューズ,シューズ,28505,青,プリズムストーン,プレミアム,700,ジュエルパクトブルー,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_009,JP-009,SR,ジュエルパクトブルーヘアアクセ,ヘアアクセ,28506,青,プリズムストーン,プレミアム,700,ジュエルパクトブルー,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_010,JP-010,SR,ジュエルパクトゴールドワンピ,ワンピース,28507,ゴールド,プリズムストーン,プレミアム,1300,ジュエルパクトゴールド,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_011,JP-011,SR,ジュエルパクトゴールドシューズ,シューズ,28508,ゴールド,プリズムストーン,プレミアム,700,ジュエルパクトゴールド,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
jp_012,JP-012,SR,ジュエルパクトゴールドヘアアクセ,ヘアアクセ,28509,ゴールド,プリズムストーン,プレミアム,700,ジュエルパクトゴールド,プロモコーデ,ジュエルパクト 同梱プリチケスキャン時,,
