key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
mc_001,MC-001,SR,しらゆりプリンセスドレス,ワンピース,,白,,プレミアム,1300,しらゆりプリンセス,,ハッピーセット リカちゃん,,
mc_002,MC-002,SR,しらゆりプリンセスシューズ,シューズ,,シルバー,,プレミアム,700,しらゆりプリンセス,,ハッピーセット リカちゃん,,
mc_003,MC-003,SR,しらゆりプリンセスヘアアクセ,ヘアアクセ,,ピンク,,プレミアム,700,しらゆりプリンセス,,ハッピーセット リカちゃん,,
mc_004,MC-004,SR,シンデレラリカちゃんドレス,ワンピース,29725,ピンク,,プレミアム,1300,シンデレラリカちゃん,,ハッピーセットリカちゃん,,
mc_005,MC-005,SR,シンデレラリカちゃんシューズ,シューズ,29726,白,,プレミアム,700,シンデレラリカちゃん,,ハッピーセットリカちゃん,,
mc_006,MC-006,SR,シンデレラリカちゃんヘアアクセ,ヘアアクセ,29727,シルバー,,プレミアム,700,シンデレラリカちゃん,,ハッピーセットリカちゃん,,
mc_007,MC-007,R,ジュエリーコスメパープルトップス,トップス,29728,白,precious_muse,プレミアム,650,ジュエリーコスメパープル,,ハッピーセットリカちゃん,,
mc_008,MC-008,R,ジュエリーコスメパープルスカート,ボトムス,29729,白,precious_muse,プレミアム,600,ジュエリーコスメパープル,,ハッピーセットリカちゃん,,
mc_009,MC-009,R,ジュエリーコスメパープルシューズ,シューズ,29730,白,precious_muse,プレミアム,550,ジュエリーコスメパープル,,ハッピーセットリカちゃん,,
mc_010,MC-010,R,ジュエリーコスメパープルヘアアクセ,ヘアアクセ,29731,紫,precious_muse,プレミアム,550,ジュエリーコスメパープル,,ハッピーセットリカちゃん,,
