key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
nc_j3-01,NC-J3-01,PR,チームスーパーサイリウムシオンアナザーワンピ,ワンピース,47300,赤,,クール,1600,チームスーパーサイリウムシオンアナザー,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-02,NC-J3-02,PR,チームスーパーサイリウムシオンアナザーシューズ,シューズ,47301,赤,,クール,800,チームスーパーサイリウムシオンアナザー,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-03,NC-J3-03,PR,チームスーパーサイリウムシオンアナザーヘアアクセ,ヘアアクセ,47302,赤,,クール,800,チームスーパーサイリウムシオンアナザー,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-04,NC-J3-04,SR,キャンディアラモードピンクサイリウムワンピ,ワンピース,47303,ピンク,,ポップ,1300,キャンディアラモードピンクサイリウム,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-05,NC-J3-05,SR,キャンディアラモードピンクサイリウムシューズ,シューズ,47304,ピンク,,ポップ,650,キャンディアラモードピンクサイリウム,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-06,NC-J3-06,SR,キャンディアラモードピンクサイリウムヘアアクセ,ヘアアクセ,47305,ピンク,,ポップ,650,キャンディアラモードピンクサイリウム,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-07,NC-J3-07,SR,フォーチュンパーティーグリーンサイリウムワンピ,ワンピース,47306,緑,,ポップ,1300,フォーチュンパーティーグリーンサイリウム,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-08,NC-J3-08,SR,フォーチュンパーティーグリーンサイリウムシューズ,シューズ,47307,緑,,ポップ,650,フォーチュンパーティーグリーンサイリウム,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-09,NC-J3-09,SR,フォーチュンパーティーグリーンサイリウムヘアアクセ,ヘアアクセ,47308,白,,ポップ,650,フォーチュンパーティーグリーンサイリウム,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-10,NC-J3-10,R,チェリーチェリーワンピ,ワンピース,47309,赤,,ラブリー,1000,チェリーチェリー,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-11,NC-J3-11,R,チェリーチェリーシューズ,シューズ,47310,赤,,ラブリー,500,チェリーチェリー,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-12,NC-J3-12,R,チェリーチェリーヘアアクセ,ヘアアクセ,47311,ピンク,,ラブリー,500,チェリーチェリー,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-13,NC-J3-13,R,チェリーチェリーウェルカムワンピ,ワンピース,47312,赤,sweet_honey,ラブリー,1000,チェリーチェリーウェルカム,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-14,NC-J3-14,R,チェリーチェリーウェルカムシューズ,シューズ,47313,赤,sweet_honey,ラブリー,500,チェリーチェリーウェルカム,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-15,NC-J3-15,R,チェリーチェリーウェルカムヘアアクセ,ヘアアクセ,47314,赤,sweet_honey,ラブリー,500,チェリーチェリーウェルカム,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-16,NC-J3-16,R,チェリーチェリーレディートップス,トップス,47315,赤,dolly_waltz,ラブリー,600,チェリーチェリーレディー,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-17,NC-J3-17,R,チェリーチェリーレディースカート,ボトムス,47316,白,dolly_waltz,ラブリー,550,チェリーチェリーレディー,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-18,NC-J3-18,R,チェリーチェリーレディーシューズ,シューズ,47317,赤,dolly_waltz,ラブリー,500,チェリーチェリーレディー,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-19,NC-J3-19,R,チェリーチェリーレディーヘアアクセ,ヘアアクセ,47318,白,dolly_waltz,ラブリー,500,チェリーチェリーレディー,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-20,NC-J3-20,R,ガァルマゲドンピンクハートトップス,トップス,47319,ピンク,,クール,550,ガァルマゲドンピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-21,NC-J3-21,R,ガァルマゲドンピンクハートスカート,ボトムス,47320,ピンク,,クール,600,ガァルマゲドンピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-22,NC-J3-22,R,ガァルマゲドンピンクハートシューズ,シューズ,47321,黒,,クール,500,ガァルマゲドンピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-23,NC-J3-23,R,ガァルマゲドンピンクハートヘアアクセ,ヘアアクセ,47322,黒,,クール,500,ガァルマゲドンピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-24,NC-J3-24,R,ワイズガールピンクハートトップス,トップス,47323,黒,secret_alice,クール,600,ワイズガールピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-25,NC-J3-25,R,ワイズガールピンクハートスカート,ボトムス,47324,ピンク,secret_alice,クール,550,ワイズガールピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-26,NC-J3-26,R,ワイズガールピンクハートシューズ,シューズ,47325,黒,secret_alice,クール,500,ワイズガールピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-27,NC-J3-27,R,ワイズガールピンクハートヘアアクセ,ヘアアクセ,47326,黒,secret_alice,クール,500,ワイズガールピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-28,NC-J3-28,R,マジカる☆スターピンクハートトップス,トップス,47327,黒,secret_alice,クール,600,マジカる☆スターピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-29,NC-J3-29,R,マジカる☆スターピンクハートスカート,ボトムス,47328,黒,secret_alice,クール,550,マジカる☆スターピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-30,NC-J3-30,R,マジカる☆スターピンクハートシューズ,シューズ,47329,黒,secret_alice,クール,500,マジカる☆スターピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-31,NC-J3-31,R,マジカる☆スターピンクハートヘアアクセ,ヘアアクセ,47330,ピンク,secret_alice,クール,500,マジカる☆スターピンクハート,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-32,NC-J3-32,R,マジカる☆スターブルークラブトップス,トップス,47331,黒,secret_alice,クール,600,マジカる☆スターブルークラブ,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-33,NC-J3-33,R,マジカる☆スターブルークラブスカート,ボトムス,47332,黒,secret_alice,クール,550,マジカる☆スターブルークラブ,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-34,NC-J3-34,R,マジカる☆スターブルークラブシューズ,シューズ,47333,黒,secret_alice,クール,500,マジカる☆スターブルークラブ,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
nc_j3-35,NC-J3-35,R,マジカる☆スターブルークラブヘアアクセ,ヘアアクセ,47334,水色,secret_alice,クール,500,マジカる☆スターブルークラブ,ジュエル4弾,ニコチケをゲット！,2019-09-19,2019-11-27
