key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
p_nc_001,P-NC-001,R,ローズ＆レースゴールドコーデ,ニコチケ,,ゴールド,precious_muse,プレミアム,1800,ローズ＆レースゴールド,プロモコーデ,フェニックス杯,,
p_nc_002,P-NC-002,KR,ピュアプリンセスプラチナキラッとコーデ,ニコチケ,,シルバー,precious_muse,プレミアム,3070,ピュアプリンセスプラチナキラッと,プロモコーデ,プラチナクラス認定会,,
p_nc_003,P-NC-003,PR,ミルキーレインボーだいあピンクコーデ,ニコチケ,,ピンク,milky_rainbow,ポップ,3900,ミルキーレインボーだいあピンク,プロモコーデ,ジュエル5弾「あたり」でもらおう！スペシャルキラニコチケキャンペーン！,,
p_nc_004,P-NC-004,SR,ルミナスプラネットオレンジコーデ,ニコチケ,,白,girls_yell,ポップ,2950,ルミナスプラネットオレンジ,プロモコーデ,プリ☆チャンニコチケリフィル,,
p_nc_004_t,P-NC-004,SR,ルミナスプラネットオレンジトップス,トップス,29446,白,girls_yell,ポップ,800,ルミナスプラネットオレンジ,プロモコーデ,プリ☆チャンニコチケリフィル,,
p_nc_004_b,P-NC-004,SR,ルミナスプラネットオレンジスカート,ボトムス,29447,オレンジ,girls_yell,ポップ,750,ルミナスプラネットオレンジ,プロモコーデ,プリ☆チャンニコチケリフィル,,
p_nc_004_s,P-NC-004,SR,ルミナスプラネットオレンジシューズ,シューズ,29448,白,girls_yell,ポップ,700,ルミナスプラネットオレンジ,プロモコーデ,プリ☆チャンニコチケリフィル,,
p_nc_004_h,P-NC-004,SR,ルミナスプラネットオレンジヘアアクセ,ヘアアクセ,29449,オレンジ,girls_yell,ポップ,700,ルミナスプラネットオレンジ,プロモコーデ,プリ☆チャンニコチケリフィル,,
p_nc_005,P-NC-005,JR,ブラックダイヤモンドジュエルコーデ,ニコチケ,,レインボー,milky_rainbow,ポップ,3900,ブラックダイヤモンドジュエル,プロモコーデ,ジュエル6弾「あたり」でもらおう！スペシャルキラニコチケキャンペーン！,,
p_nc_006,P-NC-006,HR,しらゆきひめピンクコーデ,ニコチケ,,ピンク,sweet_honey,ラブリー,3000,しらゆきひめピンクコーデ,プロモコーデ,しらゆきひめピンクコーデプレゼントキャンペーン,,
p_nc_006_w,P-NC-006,HR,しらゆきひめピンクワンピ,ワンピース,29454,ピンク,sweet_honey,ラブリー,1500,しらゆきひめピンク,プロモコーデ,しらゆきひめピンクコーデプレゼントキャンペーン,,
p_nc_006_s,P-NC-006,HR,しらゆきひめピンクシューズ,シューズ,29455,黄,sweet_honey,ラブリー,750,しらゆきひめピンク,プロモコーデ,しらゆきひめピンクコーデプレゼントキャンペーン,,
p_nc_006_h,P-NC-006,HR,しらゆきひめピンクヘアアクセ,ヘアアクセ,29456,緑,sweet_honey,ラブリー,750,しらゆきひめピンク,プロモコーデ,しらゆきひめピンクコーデプレゼントキャンペーン,,
p_nc-008,P-NC-008,SR,サマーメイドホワイトラベンダートップス,トップス,29647,白,secret_alice,クール,800,サマーメイドホワイトラベンダー,プロモコーデ,プリたまGO共通 Amazon特典,"",""
p_nc-008,P-NC-008,SR,サマーメイドホワイトラベンダースカート,ボトムス,29648,白,secret_alice,クール,750,サマーメイドホワイトラベンダー,プロモコーデ,プリたまGO共通 Amazon特典,"",""
p_nc-008,P-NC-008,SR,サマーメイドホワイトラベンダーシューズ,シューズ,29649,白,secret_alice,クール,700,サマーメイドホワイトラベンダー,プロモコーデ,プリたまGO共通 Amazon特典,"",""
p_nc-008,P-NC-008,SR,サマーメイドホワイトラベンダーヘアアクセ,ヘアアクセ,29650,白,secret_alice,クール,700,サマーメイドホワイトラベンダー,プロモコーデ,プリたまGO共通 Amazon特典,"",""
p_nc-009,P-NC-009,SR,うさもふパティシエールパープルトップス,トップス,29651,紫,sweet_honey,ラブリー,800,うさもふパティシエールパープル,プロモコーデ,プリたまGO共通 タカラトミーモール・プリズムストーン特典,"",""
p_nc-009,P-NC-009,SR,うさもふパティシエールパープルスカート,ボトムス,29652,紫,sweet_honey,ラブリー,750,うさもふパティシエールパープル,プロモコーデ,プリたまGO共通 タカラトミーモール・プリズムストーン特典,"",""
p_nc-009,P-NC-009,SR,うさもふパティシエールパープルシューズ,シューズ,29653,紫,sweet_honey,ラブリー,700,うさもふパティシエールパープル,プロモコーデ,プリたまGO共通 タカラトミーモール・プリズムストーン特典,"",""
p_nc-009,P-NC-009,SR,うさもふパティシエールパープルヘアアクセ,ヘアアクセ,29654,紫,sweet_honey,ラブリー,700,うさもふパティシエールパープル,プロモコーデ,プリたまGO共通 タカラトミーモール・プリズムストーン特典,"",""
