key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
p_s_001,P-S-001,R,ストロベリーガールミルキーワンピ,ワンピース,28006,水色,sweet_honey,ラブリー,1000,ストロベリーガールミルキー,プロモコーデ,ちゃお 2018年6月号,,
p_s_002,P-S-002,R,ストロベリーガールミルキーシューズ,シューズ,28007,水色,sweet_honey,ラブリー,550,ストロベリーガールミルキー,プロモコーデ,ちゃお 2018年6月号,,
p_s_003,P-S-003,R,ストロベリーガールミルキーヘアアクセ,ヘアアクセ,28008,水色,sweet_honey,ラブリー,550,ストロベリーガールミルキー,プロモコーデ,ちゃお 2018年6月号,,
p_s_004,P-S-004,R,ストロベリーガールジャムワンピ,ワンピース,27991,赤,sweet_honey,ラブリー,1000,ストロベリーガールジャム,プロモコーデ,ぷっちぐみ 2018年6月号,,
p_s_005,P-S-005,R,ストロベリーガールジャムシューズ,シューズ,27992,赤,sweet_honey,ラブリー,550,ストロベリーガールジャム,プロモコーデ,ぷっちぐみ 2018年6月号,,
p_s_006,P-S-006,R,ストロベリーガールジャムヘアアクセ,ヘアアクセ,27993,赤,sweet_honey,ラブリー,550,ストロベリーガールジャム,プロモコーデ,ぷっちぐみ 2018年6月号,,
p_s_007,P-S-007,R,ストロベリーガールクリームワンピ,ワンピース,70078,黄,sweet_honey,ラブリー,1000,ストロベリーガールクリーム,プロモコーデ,小学一年生 2018年6月号,,
p_s_008,P-S-008,R,ストロベリーガールクリームシューズ,シューズ,70079,黄,sweet_honey,ラブリー,550,ストロベリーガールクリーム,プロモコーデ,小学一年生 2018年6月号,,
p_s_009,P-S-009,R,ストロベリーガールクリームヘアアクセ,ヘアアクセ,70080,黄,sweet_honey,ラブリー,550,ストロベリーガールクリーム,プロモコーデ,小学一年生 2018年6月号,,
p_s_010,P-S-010,SR,チアリーダーピンクトップス,トップス,27973,ピンク,girls_yell,ポップ,800,チアリーダーピンク,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON1,,
p_s_011,P-S-011,SR,チアリーダーピンクスカート,ボトムス,27974,ピンク,girls_yell,ポップ,750,チアリーダーピンク,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON1,,
p_s_012,P-S-012,SR,チアリーダーピンクシューズ,シューズ,27975,ピンク,girls_yell,ポップ,700,チアリーダーピンク,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON1,,
p_s_013,P-S-013,SR,チアリーダーピンクヘアアクセ,ヘアアクセ,27976,ピンク,girls_yell,ポップ,700,チアリーダーピンク,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON1,,
p_s_014,P-S-014,SR,ノーブルドールアクアトップス,トップス,28084,水色,dolly_waltz,ラブリー,750,ノーブルドールアクア,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON2,,
p_s_015,P-S-015,SR,ノーブルドールアクアスカート,ボトムス,28085,水色,dolly_waltz,ラブリー,700,ノーブルドールアクア,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON2,,
p_s_016,P-S-016,SR,ノーブルドールアクアシューズ,シューズ,28086,水色,dolly_waltz,ラブリー,800,ノーブルドールアクア,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON2,,
p_s_017,P-S-017,SR,ノーブルドールアクアヘアアクセ,ヘアアクセ,28087,水色,dolly_waltz,ラブリー,700,ノーブルドールアクア,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON2,,
p_s_018,P-S-018,SR,パンクキャットホワイトレッドトップス,トップス,28088,白,romance_beat,クール,700,パンクキャットホワイトレッド,プロモコーデ,ちゃお 2018年8月号、ちゃおデラックス9月号応募者全員サービス,,
p_s_019,P-S-019,SR,パンクキャットホワイトレッドスカート,ボトムス,28089,赤,romance_beat,クール,800,パンクキャットホワイトレッド,プロモコーデ,ちゃお 2018年8月号、ちゃおデラックス9月号応募者全員サービス,,
p_s_020,P-S-020,SR,パンクキャットホワイトレッドシューズ,シューズ,28090,赤,romance_beat,クール,750,パンクキャットホワイトレッド,プロモコーデ,ちゃお 2018年8月号、ちゃおデラックス9月号応募者全員サービス,,
p_s_021,P-S-021,SR,パンクキャットホワイトレッドヘアアクセ,ヘアアクセ,28091,白,romance_beat,クール,700,パンクキャットホワイトレッド,プロモコーデ,ちゃお 2018年8月号、ちゃおデラックス9月号応募者全員サービス,,
p_s_022,P-S-022,SR,サマーメイドブラックオレンジトップス,トップス,28159,オレンジ,secret_alice,クール,800,サマーメイドブラックオレンジ,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON3,,
p_s_023,P-S-023,SR,サマーメイドブラックオレンジスカート,ボトムス,28160,オレンジ,secret_alice,クール,750,サマーメイドブラックオレンジ,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON3,,
p_s_024,P-S-024,SR,サマーメイドブラックオレンジシューズ,シューズ,28161,黒,secret_alice,クール,700,サマーメイドブラックオレンジ,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON3,,
p_s_025,P-S-025,SR,サマーメイドブラックオレンジヘアアクセ,ヘアアクセ,28162,オレンジ,secret_alice,クール,700,サマーメイドブラックオレンジ,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON3,,
p_s_026,P-S-026,R,シルバークイーンステッキ,パシャッとアイテム,28187,シルバー,secret_alice,クール,550,パシャッとアイテム,プロモコーデ,キラッとプリ☆チャン公式ファンブックSEASON3,,
