key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
p_001,P-001,R,プリ☆チャンユニフォームピンクトップス,トップス,27983,ピンク,プリズムストーン,ラブリー,550,プリ☆チャンユニフォームピンク,,キラッとプリ☆チャン デビューやってみた！キャンペーン！,,
p_002,P-002,R,プリ☆チャンユニフォームピンクスカート,ボトムス,27984,ピンク,プリズムストーン,ラブリー,500,プリ☆チャンユニフォームピンク,,キラッとプリ☆チャン デビューやってみた！キャンペーン！,,
p_003,P-003,R,プリ☆チャンユニフォームピンクシューズ,シューズ,27985,ピンク,プリズムストーン,ラブリー,450,プリ☆チャンユニフォームピンク,,キラッとプリ☆チャン デビューやってみた！キャンペーン！,,
p_004,P-004,R,プリ☆チャンユニフォームピンクヘアアクセ,ヘアアクセ,27986,ピンク,プリズムストーン,ラブリー,450,プリ☆チャンユニフォームピンク,,キラッとプリ☆チャン デビューやってみた！キャンペーン！,,
p_005,P-005,R,フルレースブロッサムトップス,トップス,,ピンク,スイートハニー,ラブリー,650,フルレースブロッサム,,プリチャン会員証無料配布キャンペーン,,
p_006,P-006,R,フルレースブロッサムスカート,ボトムス,,ピンク,スイートハニー,ラブリー,600,フルレースブロッサム,,プリチャン会員証無料配布キャンペーン,,
p_007,P-007,R,フルレースブロッサムシューズ,シューズ,,ピンク,スイートハニー,ラブリー,550,フルレースブロッサム,,プリチャン会員証無料配布キャンペーン,,
p_008,P-008,SR,フラワーショップバーベナトップス,トップス,28032,紫,スイートハニー,ラブリー,800,フラワーショップバーベナ,,劇場版プリパラ＆キラッとプリ☆チャン きらきらメモリアルライブ,,
p_009,P-009,SR,フラワーショップバーベナスカート,ボトムス,28033,紫,スイートハニー,ラブリー,700,フラワーショップバーベナ,,劇場版プリパラ＆キラッとプリ☆チャン きらきらメモリアルライブ,,
p_010,P-010,SR,フラワーショップバーベナシューズ,シューズ,28034,紫,スイートハニー,ラブリー,750,フラワーショップバーベナ,,劇場版プリパラ＆キラッとプリ☆チャン きらきらメモリアルライブ,,
p_011,P-011,SR,フラワーショップバーベナヘアアクセ,ヘアアクセ,28035,紫,スイートハニー,ラブリー,700,フラワーショップバーベナ,,劇場版プリパラ＆キラッとプリ☆チャン きらきらメモリアルライブ,,
p_012,P-012,SR,バルーングリーンデニムサロペット,ワンピース,,緑,ガールズエール,ポップ,1300,バルーングリーンデニム,,ちゃおフェス配布,,
p_013,P-013,SR,バルーングリーンデニムシューズ,シューズ,,緑,ガールズエール,ポップ,700,バルーングリーンデニム,,ちゃおフェス配布,,
p_014,P-014,SR,バルーングリーンデニム,ヘアアクセ,,緑,ガールズエール,ポップ,700,バルーングリーンデニム,,ちゃおフェス配布,,
p_015,P-015,KR,スイートハニーキラッとワンピ,ワンピース,28194,ピンク,スイートハニー,ラブリー,1000,スイートハニーキラッと,,サマーメイドスペシャル大会 参加賞品,,
p_016,P-016,R,イエローローズ,パシャッとアイテム,28186,黄,ロマンスビート,クール,550,パシャッとアイテム,,キラッとプリ☆チャン♪ソングコレクション～1stチャンネル～DX,,
p_017,P-017,R,スターダストスカーレットグラデワンピ,ワンピース,28183,紫,シークレットアリス,クール,1000,スターダストスカーレットグラデ,,ちゃおサマーフェスティバル2018横浜会場,,
p_018,P-018,R,スターダストスカーレットグラデシューズ,シューズ,28184,紫,シークレットアリス,クール,550,スターダストスカーレットグラデ,,ちゃおサマーフェスティバル2018横浜会場,,
p_019,P-019,R,スターダストスカーレットグラデヘアアクセ,ヘアアクセ,28185,紫,シークレットアリス,クール,550,スターダストスカーレットグラデ,,ちゃおサマーフェスティバル2018横浜会場,,
p_020,P-020,SR,チョコホイップクリームトップス,トップス,28272,茶,スイートハニー,ラブリー,800,チョコホイップクリーム,,キラッとプリ☆チャン Blu-ray＆DVD BOX第1巻,,
p_021,P-021,SR,チョコホイップクリームスカート,ボトムス,28273,茶,スイートハニー,ラブリー,750,チョコホイップクリーム,,キラッとプリ☆チャン Blu-ray＆DVD BOX第1巻,,
p_022,P-022,SR,チョコホイップクリームシューズ,シューズ,28274,白,スイートハニー,ラブリー,700,チョコホイップクリーム,,キラッとプリ☆チャン Blu-ray＆DVD BOX第2巻,,
p_023,P-023,SR,チョコホイップクリームヘアアクセ,ヘアアクセ,28275,白,スイートハニー,ラブリー,700,チョコホイップクリーム,,キラッとプリ☆チャン Blu-ray＆DVD BOX第2巻,,
p_024,P-024,SR,アイスクリームベリーワンピ,ワンピース,,ピンク,スイートハニー,ラブリー,1300,アイスクリームベリー,,ローソン限定コラボ,,
p_025,P-025,SR,アイスクリームベリーシューズ,シューズ,,ピンク,スイートハニー,ラブリー,700,アイスクリームベリー,,ローソン限定コラボ,,
p_026,P-026,SR,アイスクリームベリーヘアアクセ,ヘアアクセ,,ピンク,スイートハニー,ラブリー,700,アイスクリームベリー,,ローソン限定コラボ,,
p_027,P-027,PR,ゴシックフリルナイトグリーントップス,トップス,28305,緑,シークレットアリス,クール,950,ゴシックフリルナイトグリーン,,2018年11月「限定キラチケ＆ポケットプリチケファイル」プレゼントキャンペーン,,
p_028,P-028,KR,ポップミラクル☆キラッツグループキラッとワンピ,ワンピース,28298,水色,ガールズエール,ポップ,1900,ポップミラクル☆キラッツグループキラッと,,2018年11月「あたり」でもらおう！限定キラチケキャンペーン！,,
p_029,P-029,KR,ポップミラクル☆キラッツグループキラッとシューズ,シューズ,28299,水色,ガールズエール,ポップ,900,ポップミラクル☆キラッツグループキラッと,,第4弾11月チャンネル限定,,
