key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
paf2_01,PAF2-01,R,プリティーオールフレンズあいらトップス,トップス,70191,ピンク,prismstone,ラブリー,550,プリティーオールフレンズあいら,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_02,PAF2-02,R,プリティーオールフレンズあいらスカート,ボトムス,70192,ピンク,prismstone,ラブリー,500,プリティーオールフレンズあいら,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_03,PAF2-03,R,プリティーオールフレンズあいらシューズ,シューズ,70193,白,prismstone,ラブリー,450,プリティーオールフレンズあいら,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_04,PAF2-04,R,プリティーオールフレンズあいらヘアアクセ,ヘアアクセ,70194,ピンク,prismstone,ラブリー,450,プリティーオールフレンズあいら,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_05,PAF2-05,R,プリティーオールフレンズりずむトップス,トップス,70195,水色,prismstone,ポップ,550,リティーオールフレンズりずむ,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_06,PAF2-06,R,プリティーオールフレンズりずむパンツ,ボトムス,70196,水色,prismstone,ポップ,450,リティーオールフレンズりずむ,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_07,PAF2-07,R,プリティーオールフレンズりずむシューズ,シューズ,70197,白,prismstone,ポップ,500,リティーオールフレンズりずむ,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_08,PAF2-08,R,プリティーオールフレンズりずむヘアアクセ,ヘアアクセ,70198,水色,prismstone,ポップ,450,リティーオールフレンズりずむ,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_09,PAF2-09,R,プリティーオールフレンズみおんトップス,トップス,70199,白,prismstone,クール,450,プリティーオールフレンズみおん,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_10,PAF2-10,R,プリティーオールフレンズみおんスカート,ボトムス,70200,白,prismstone,クール,500,プリティーオールフレンズみおん,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_11,PAF2-11,R,プリティーオールフレンズみおんシューズ,シューズ,70201,紫,prismstone,クール,550,プリティーオールフレンズみおん,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf2_12,PAF2-12,R,プリティーオールフレンズみおんヘアアクセ,ヘアアクセ,70202,紫,prismstone,クール,450,プリティーオールフレンズみおん,,プリティーオールフレンズチャンネル,2018-07-05,2018-10-03
paf_j3_01,PAF-J3-01,SR,プリティーオールフレンズなるトップス,トップス,71666,ピンク,,ラブリー,750,プリティーオールフレンズなる,ジュエル4弾,プリティーオールフレンズチャンネル,2019-11-07,2019-11-27
paf_j3_02,PAF-J3-02,SR,プリティーオールフレンズなるスカート,ボトムス,71667,ピンク,,ラブリー,700,プリティーオールフレンズなる,ジュエル4弾,プリティーオールフレンズチャンネル,2019-11-07,2019-11-27
paf_j3_03,PAF-J3-03,SR,プリティーオールフレンズなるシューズ,シューズ,71668,白,,ラブリー,650,プリティーオールフレンズなる,ジュエル4弾,プリティーオールフレンズチャンネル,2019-11-07,2019-11-27
paf_j3_04,PAF-J3-04,SR,プリティーオールフレンズハッピーレイン♪ヘアアクセ,ヘアアクセ,71669,白,,ラブリー,650,プリティーオールフレンズなる,ジュエル4弾,プリティーオールフレンズチャンネル,2019-11-07,2019-11-27
paf_j3_05,PAF-J3-05,SR,プリティーオールフレンズあんトップス,トップス,71670,水色,,ポップ,750,プリティーオールフレンズあん,ジュエル4弾,プリティーオールフレンズチャンネル,2019-11-07,2019-11-27
paf_j3_06,PAF-J3-06,SR,プリティーオールフレンズあんパンツ,ボトムス,71671,水色,,ポップ,700,プリティーオールフレンズあん,ジュエル4弾,プリティーオールフレンズチャンネル,2019-11-07,2019-11-27
paf_j3_07,PAF-J3-07,SR,プリティーオールフレンズあんシューズ,シューズ,71672,白,,ポップ,650,プリティーオールフレンズあん,ジュエル4弾,プリティーオールフレンズチャンネル,2019-11-07,2019-11-27
paf_j3_08,PAF-J3-08,SR,プリティーオールフレンズいとトップス,トップス,71673,紫,,クール,750,プリティーオールフレンズいと,ジュエル4弾,プリティーオールフレンズチャンネル,2019-11-07,2019-11-27
paf_j3_09,PAF-J3-09,SR,プリティーオールフレンズいとパンツ,ボトムス,71674,紫,,クール,700,プリティーオールフレンズいと,ジュエル4弾,プリティーオールフレンズチャンネル,2019-11-07,2019-11-27
paf_j3_10,PAF-J3-10,SR,プリティーオールフレンズいとシューズ,シューズ,71675,白,,クール,650,プリティーオールフレンズいと,ジュエル4弾,プリティーオールフレンズチャンネル,2019-11-07,2019-11-27
paf_j4-01,PAF-J4-01,SR,プリティーオールフレンズべるトップス,トップス,71856,赤,,クール,750,プリティーオールフレンズべる,ジュエル5弾,プリティーオールフレンズチャンネル～ベルローズ～,2020-01-02,2020-01-22
paf_j4-02,PAF-J4-02,SR,プリティーオールフレンズべるスカート,ボトムス,71857,赤,,クール,700,プリティーオールフレンズべる,ジュエル5弾,プリティーオールフレンズチャンネル～ベルローズ～,2020-01-02,2020-01-22
paf_j4-03,PAF-J4-03,SR,プリティーオールフレンズべるシューズ,シューズ,71858,白,,クール,650,プリティーオールフレンズべる,ジュエル5弾,プリティーオールフレンズチャンネル～ベルローズ～,2020-01-02,2020-01-22
paf_j4-04,PAF-J4-04,SR,プリティーオールフレンズべるヘアアクセ,ヘアアクセ,71859,赤,,クール,650,プリティーオールフレンズべる,ジュエル5弾,プリティーオールフレンズチャンネル～ベルローズ～,2020-01-02,2020-01-22
paf_j4-05,PAF-J4-05,SR,プリティーオールフレンズおとはトップス,トップス,71860,黄,,ラブリー,750,プリティーオールフレンズおとは,ジュエル5弾,プリティーオールフレンズチャンネル～ベルローズ～,2020-01-02,2020-01-22
paf_j4-06,PAF-J4-06,SR,プリティーオールフレンズおとはスカート,ボトムス,71861,黄,,ラブリー,700,プリティーオールフレンズおとは,ジュエル5弾,プリティーオールフレンズチャンネル～ベルローズ～,2020-01-02,2020-01-22
paf_j4-07,PAF-J4-07,SR,プリティーオールフレンズベルローズシューズ,シューズ,71862,白,,ラブリー,650,プリティーオールフレンズおとは,ジュエル5弾,プリティーオールフレンズチャンネル～ベルローズ～,2020-01-02,2020-01-22
paf_j4-08,PAF-J4-08,SR,プリティーオールフレンズベルローズヘアアクセ,ヘアアクセ,71863,赤,,ラブリー,650,プリティーオールフレンズおとは,ジュエル5弾,プリティーオールフレンズチャンネル～ベルローズ～,2020-01-02,2020-01-22
paf_j4-09,PAF-J4-09,SR,プリティーオールフレンズわかなトップス,トップス,71864,緑,,ポップ,750,プリティーオールフレンズわかな,ジュエル5弾,プリティーオールフレンズチャンネル～ベルローズ～,2020-01-02,2020-01-22
paf_j4-10,PAF-J4-10,SR,プリティーオールフレンズわかなパンツ,ボトムス,71865,緑,,ポップ,700,プリティーオールフレンズわかな,ジュエル5弾,プリティーオールフレンズチャンネル～ベルローズ～,2020-01-02,2020-01-22
