key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
pch2_01,PCH2-01,KR,ガールズエールキラッとワンピ,ワンピース,70100,水色,girls_yell,ポップ,1900,ガールズエールキラッと,第2弾,第2弾,2018-06-07,2018-10-03
pch2_02,PCH2-02,KR,ガールズエールキラッとシューズ,シューズ,70101,白,girls_yell,ポップ,900,ガールズエールキラッと,第2弾,第2弾,2018-06-07,2018-10-03
pch2_03,PCH2-03,KR,ガールズエールキラッとヘアアクセ,ヘアアクセ,70102,白,girls_yell,ポップ,900,ガールズエールキラッと,第2弾,第2弾,2018-06-07,2018-10-03
pch2_04,PCH2-04,KR,ドーリーワルツキラッとワンピ,ワンピース,70103,赤,dolly_waltz,ラブリー,1900,ドーリーワルツキラッと,第2弾,第2弾,2018-06-07,2018-10-03
pch2_05,PCH2-05,KR,ドーリーワルツキラッとシューズ,シューズ,70104,赤,dolly_waltz,ラブリー,900,ドーリーワルツキラッと,第2弾,第2弾,2018-06-07,2018-10-03
pch2_06,PCH2-06,KR,ドーリーワルツキラッとヘアアクセ,ヘアアクセ,70105,赤,dolly_waltz,ラブリー,900,ドーリーワルツキラッと,第2弾,第2弾,2018-06-07,2018-10-03
pch2_07,PCH2-07,PR,ノーブルドールトップス,トップス,70106,青,dolly_waltz,ラブリー,750,ノーブルドール,第2弾,第2弾,2018-06-07,2018-10-03
pch2_08,PCH2-08,PR,ノーブルドールボトムス,ボトムス,70107,青,dolly_waltz,ラブリー,800,ノーブルドール,第2弾,第2弾,2018-06-07,2018-10-03
pch2_09,PCH2-09,PR,ノーブルドールシューズ,シューズ,70108,青,dolly_waltz,ラブリー,850,ノーブルドール,第2弾,第2弾,2018-06-07,2018-10-03
pch2_10,PCH2-10,PR,ノーブルドールヘアアクセ,ヘアアクセ,70109,青,dolly_waltz,ラブリー,750,ノーブルドール,第2弾,第2弾,2018-06-07,2018-10-03
pch2_11,PCH2-11,PR,ノーブルドールハーフパンツ,ボトムス,70110,青,dolly_waltz,ラブリー,800,ノーブルドール,第2弾,第2弾,2018-06-07,2018-10-03
pch2_12,PCH2-12,PR,パンクキャットレッドトップス,トップス,70111,黒,romance_beat,クール,850,パンクキャットレッド,第2弾,第2弾,2018-06-07,2018-10-03
pch2_13,PCH2-13,PR,パンクキャットレッドスカート,ボトムス,70112,黒,romance_beat,クール,800,パンクキャットレッド,第2弾,第2弾,2018-06-07,2018-10-03
pch2_14,PCH2-14,PR,パンクキャットレッドシューズ,シューズ,70113,黒,romance_beat,クール,750,パンクキャットレッド,第2弾,第2弾,2018-06-07,2018-10-03
pch2_15,PCH2-15,PR,パンクキャットレッドヘアアクセ,ヘアアクセ,70114,黒,romance_beat,クール,750,パンクキャットレッド,第2弾,第2弾,2018-06-07,2018-10-03
pch2_16,PCH2-16,PR,パンクキャットホワイトイエロートップス,トップス,70115,白,romance_beat,クール,850,パンクキャットホワイトイエロー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_17,PCH2-17,PR,パンクキャットホワイトイエロースカート,ボトムス,70116,白,romance_beat,クール,800,パンクキャットホワイトイエロー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_18,PCH2-18,PR,パンクキャットホワイトイエローシューズ,シューズ,70117,白,romance_beat,クール,750,パンクキャットホワイトイエロー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_19,PCH2-19,PR,パンクキャットホワイトイエローヘアアクセ,ヘアアクセ,70118,白,romance_beat,クール,750,パンクキャットホワイトイエロー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_20,PCH2-20,SR,セーラーマリンライトブルートップス,トップス,70119,水色,dolly_waltz,ラブリー,700,セーラーマリンライトブルー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_21,PCH2-21,SR,セーラーマリンライトブルースカート,ボトムス,70120,水色,dolly_waltz,ラブリー,650,セーラーマリンライトブルー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_22,PCH2-22,SR,セーラーマリンライトブルーシューズ,シューズ,70121,青,dolly_waltz,ラブリー,600,セーラーマリンライトブルー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_23,PCH2-23,SR,セーラーマリンライトブルーヘアアクセ,ヘアアクセ,70185,青,dolly_waltz,ラブリー,600,セーラーマリンライトブルー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_24,PCH2-24,SR,スターダストレザーブルートップス,トップス,70122,青,romance_beat,クール,600,スターダストレザーブルー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_25,PCH2-25,SR,スターダストレザーブルースカート,ボトムス,70123,青,romance_beat,クール,700,スターダストレザーブルー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_26,PCH2-26,SR,スターダストレザーブルーブーツ,シューズ,70124,青,romance_beat,クール,650,スターダストレザーブルー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_27,PCH2-27,SR,スターダストレザーブルーヘアアクセ,ヘアアクセ,70125,青,romance_beat,クール,600,スターダストレザーブルー,第2弾,第2弾,2018-06-07,2018-10-03
pch2_28,PCH2-28,SR,ピクニックギンガムレッドケープワンピ,ワンピース,70126,赤,dolly_waltz,ラブリー,1200,ピクニックギンガムレッド,第2弾,第2弾,2018-06-07,2018-10-03
pch2_29,PCH2-29,SR,ピクニックギンガムレッドシューズ,シューズ,70127,赤,dolly_waltz,ラブリー,600,ピクニックギンガムレッド,第2弾,第2弾,2018-06-07,2018-10-03
