key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
pp5_01,PP5-01,SR,プリパラ５しゅうねんらぁらワンピ,ワンピース,28846,白,,ラブリー,1300,プリパラ５しゅうねんらぁら,,プリパラ５しゅうねんチャンネル,2019-08-01,2019-09-18
pp5_02,PP5-02,SR,プリパラ５しゅうねんらぁらシューズ,シューズ,28849,白,,ラブリー,650,プリパラ５しゅうねんらぁら,,プリパラ５しゅうねんチャンネル,2019-08-01,2019-09-18
pp5_03,PP5-03,SR,プリパラ５しゅうねんらぁらヘアアクセ,ヘアアクセ,28850,ピンク,,ラブリー,650,プリパラ５しゅうねんらぁら,,プリパラ５しゅうねんチャンネル,2019-08-01,2019-09-18
pp5_04,PP5-04,SR,プリパラ5しゅうねんみれぃワンピ,ワンピース,28847,水色,,ポップ,1300,プリパラ５しゅうねんみれぃ,ジュエル3弾,すずコレクション,2019-07-11,2019-09-18
pp5_05,PP5-05,SR,プリパラ5しゅうねんみれぃシューズ,シューズ,28851,水色,,ポップ,650,プリパラ５しゅうねんみれぃ,ジュエル3弾,すずコレクション,2019-07-11,2019-09-18
pp5_06,PP5-06,SR,プリパラ5しゅうねんみれぃヘアアクセ,ヘアアクセ,28852,青,,ポップ,650,プリパラ５しゅうねんみれぃ,ジュエル3弾,すずコレクション,2019-07-11,2019-09-18
pp5_07,PP5-07,SR,プリパラ５しゅうねんそふぃワンピ,ワンピース,28848,黒,,クール,1300,プリパラ５しゅうねんそふぃ,ジュエル3弾,リングマリィコレクション,2019-08-08,2019-10-23
pp5_08,PP5-08,SR,プリパラ５しゅうねんそふぃシューズ,シューズ,28853,黒,,クール,650,プリパラ５しゅうねんそふぃ,ジュエル3弾,リングマリィコレクション,2019-08-08,2019-10-23
pp5_09,PP5-09,SR,プリパラ５しゅうねんそふぃヘアアクセ,ヘアアクセ,28854,黒,,クール,650,プリパラ５しゅうねんそふぃ,ジュエル3弾,リングマリィコレクション,2019-08-08,2019-10-23
slj3_01,SLJ3-01,PR,スーパーサイリウムらぁらアナザーワンピ,ワンピース,71441,紫,,ラブリー,1600,スーパーサイリウムらぁらアナザー,,プリパラ5しゅうねん福袋その1,2019-08-01,2019-08-14
slj3_02,SLJ3-02,PR,スーパーサイリウムらぁらアナザーシューズ,シューズ,71442,白,,ラブリー,800,スーパーサイリウムらぁらアナザー,,プリパラ5しゅうねん福袋その1,2019-08-01,2019-08-14
slj3_03,SLJ3-03,PR,スーパーサイリウムらぁらアナザーヘアアクセ,ヘアアクセ,71443,紫,,ラブリー,800,スーパーサイリウムらぁらアナザー,,プリパラ5しゅうねん福袋その1,2019-08-01,2019-08-14
slj3_04,SLJ3-04,SR,らぁらふゆせいふく,ワンピース,71474,ピンク,,プレミアム,1300,らぁらふゆせいふく,,プリパラ5しゅうねん福袋その1,2019-08-01,2019-08-14
slj3_05,SLJ3-05,SR,らぁらふゆローファー,シューズ,71475,茶,,プレミアム,650,らぁらふゆせいふく,,プリパラ5しゅうねん福袋その1,2019-08-01,2019-08-14
slj3_06,SLJ3-06,SR,トゥインクルリボンサイリウムヘアアクセ,ヘアアクセ,71476,ピンク,,ラブリー,650,らぁらふゆせいふく,,プリパラ5しゅうねん福袋その1,2019-08-01,2019-08-14
slj3_07,SLJ3-07,SR,わたあめふわふわトップス,トップス,71513,白,,ラブリー,750,わたあめふわふわ,,プリパラ5しゅうねん福袋その1,2019-08-01,2019-08-14
slj3_08,SLJ3-08,SR,わたあめふわふわシューズ,シューズ,71514,水色,,ラブリー,700,わたあめふわふわ,,プリパラ5しゅうねん福袋その1,2019-08-01,2019-08-14
slj3_09,SLJ3-09,SR,わたあめふわふわスカート,ボトムス,71515,水色,,ラブリー,650,わたあめふわふわ,,プリパラ5しゅうねん福袋その1,2019-08-01,2019-08-14
slj3_10,SLJ3-10,SR,カップケーキヘアアクセ,ヘアアクセ,71516,茶,,ラブリー,650,わたあめふわふわ,,プリパラ5しゅうねん福袋その1,2019-08-01,2019-08-14
