key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
er4_01,ER4-01,ER,クラシックはあと♡パールワンピ,ワンピース,72663,黒,cutie_happiness,ラブリー,2000,クラシックはあと♡パール,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_02,ER4-02,ER,クラシックはあと♡パールシューズ,シューズ,72664,黒,cutie_happiness,ラブリー,950,クラシックはあと♡パール,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_03,ER4-03,ER,クラシックはあと♡パールヘアアクセ,ヘアアクセ,72665,ゴールド,cutie_happiness,ラブリー,950,クラシックはあと♡パール,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_04,ER4-04,ER,クラシックプレシャスミューズワンピ,ワンピース,72666,黒,precious_muse,プレミアム,2000,クラシックプレシャスミューズ,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_05,ER4-05,ER,クラシックプレシャスミューズシューズ,シューズ,72667,黒,precious_muse,プレミアム,950,クラシックプレシャスミューズ,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_06,ER4-06,ER,クラシックプレシャスミューズヘアアクセ,ヘアアクセ,72668,黒,precious_muse,プレミアム,950,クラシックプレシャスミューズ,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_07,ER4-07,ER,キラッとチェックドーリーワルツワンピ,ワンピース,72669,水色,dolly_waltz,ラブリー,2000,キラッとチェックドーリーワルツ,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_08,ER4-08,ER,キラッとチェックドーリーワルツシューズ,シューズ,72670,水色,dolly_waltz,ラブリー,950,キラッとチェックドーリーワルツ,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_09,ER4-09,ER,キラッとチェックドーリーワルツヘアアクセ,ヘアアクセ,72671,ピンク,dolly_waltz,ラブリー,950,キラッとチェックドーリーワルツ,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_10,ER4-10,ER,キラッとチェックメルティックスターワンピ,ワンピース,72672,水色,dolly_waltz,ラブリー,2000,キラッとチェックメルティックスター,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_11,ER4-11,ER,キラッとチェックメルティックスターシューズ,シューズ,72673,水色,dolly_waltz,ラブリー,950,キラッとチェックメルティックスター,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
er4_12,ER4-12,ER,キラッとチェックメルティックスターヘアアクセ,ヘアアクセ,72674,水色,dolly_waltz,ラブリー,950,キラッとチェックメルティックスター,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
pch2_80_R1,PCH2-80,SR,パープルローズ,パシャッとアイテム,70190,紫,romance_beat,クール,600,パシャッとアイテム,プリたま4弾,プリ☆チャンストア,2020-12-03,1970-01-01
pch4_95_R1,PCH4-95,SR,レッドフェザーせんす,パシャッとアイテム,70458,赤,universe_queen,クール,600,パシャッとアイテム,プリたま4弾,プリ☆チャンストア,2020-12-03,1970-01-01
pt3_26,PT3-26,SR,あかねロックシューズ,シューズ,72700,黒,romance_beat,クール,650,あかねロック,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
pt4_01,PT4-01,FR,プリ☆ファンゆみつかいトップス,トップス,72675,緑,milky_rainbow,ポップ,1100,プリ☆ファンゆみつかい,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
pt4_02,PT4-02,FR,プリ☆ファンゆみつかいパンツ,ボトムス,72676,緑,milky_rainbow,ポップ,1050,プリ☆ファンゆみつかい,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
pt4_03,PT4-03,FR,プリ☆ファンゆみつかいシューズ,シューズ,72677,緑,milky_rainbow,ポップ,950,プリ☆ファンゆみつかい,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
pt4_04,PT4-04,FR,プリ☆ファンゆみつかいヘアアクセ,ヘアアクセ,72678,緑,milky_rainbow,ポップ,950,プリ☆ファンゆみつかい,プリたま4弾,プリたま4弾チャンネル,2020-12-03,2021-02-03
