key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
sw_001,SW-001,SR,そらみ♡スマイルゴールドサイリウムワンピ,ワンピース,27950,ゴールド,,,1300,そらみ♡スマイルゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_002,SW-002,SR,そらみ♡スマイルゴールドサイリウムシューズ,シューズ,27951,ゴールド,,,700,そらみ♡スマイルゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_003,SW-003,SR,そらみ♡スマイルゴールドサイリウムヘアアクセ,ヘアアクセ,27952,ゴールド,,,700,そらみ♡スマイルゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_004,SW-004,SR,ガァルマゲドンゴールドサイリウムワンピ,ワンピース,27956,ゴールド,,,1300,ガァルマゲドンゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_005,SW-005,SR,ガァルマゲドンゴールドサイリウムシューズ,シューズ,27957,ゴールド,,,700,ガァルマゲドンゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_006,SW-006,SR,ガァルマゲドンゴールドサイリウムヘアアクセ,ヘアアクセ,27958,ゴールド,,,700,ガァルマゲドンゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_007,SW-007,SR,ドレッシングパフェゴールドサイリウムワンピ,ワンピース,27953,ゴールド,,,1300,ドレッシングパフェゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_008,SW-008,SR,ドレッシングパフェゴールドサイリウムシューズ,シューズ,27954,ゴールド,,,700,ドレッシングパフェゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_009,SW-009,SR,ドレッシングパフェゴールドサイリウムヘアアクセ,ヘアアクセ,27955,ゴールド,,,700,ドレッシングパフェゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_010,SW-010,SR,トリコロールゴールドサイリウムワンピ,ワンピース,27959,ゴールド,,,1300,トリコロールゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_011,SW-011,SR,トリコロールゴールドサイリウムシューズ,シューズ,27960,ゴールド,,,700,トリコロールゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
sw_012,SW-012,SR,トリコロールゴールドサイリウムヘアアクセ,ヘアアクセ,27961,ゴールド,,,700,トリコロールゴールドサイリウム,,Nintendo Switchソフト「プリパラオールアイドルパーフェクトステージ！」同梱特典,,
