key,name
solami_smile,SoLaMi♡SMILE
dressing_pafe,DressingPafé
aromageddon,アロマゲドン
pripara_police,プリパラポリス
garumageddon,ガァルマゲドン
triangle,TRiANGLE
tricolore,Tricolore
non_sugar,NonSugar
ucchari_big_bangs,UCCHARI BIG-BANGS
solami_dressing,SoLaMiDressing
solami_dressing_and_falulu,SoLaMiDressing&Falulu
laala_and_mirei,らぁら&みれぃ
solamageddon_mi,そらマゲドン・み
dressing_flower,ドレッシングふらわー
cosmic_omelet_rice_da_vinci,コズミックオムライスダ・ヴィンチ
serepara_kagekidan,セレパラ歌劇団
dorothy_and_leona,ドロシー&レオナ
friend_all,ふれんど～る
huwari_and_hibiki,ふわり&ひびき
pripara_dream_all_stars,プリパラドリーム☆オールスターズ
friend_all_and_serepara_kagekidan,ふれんど～る&セレパラ歌劇団
laala_and_non,らぁら&のん
falulu_and_hibiki,ファルル&ひびき
laala_and_gaaruru,らぁら&ガァルル
laala_with_triangle,らぁら with トライアングル
laala_with_junon,らぁら with じゅのん
laala_with_pinon,らぁら with ぴのん
laala_with_kanon,らぁら with かのん
chanko_with_sophie_sinneitai,ちゃん子 with そふぃ親衛隊
jewlie_and_janice,ジュリィ&ジャニス
solami_smile_and_jewlie_and_janice,SoLaMi SMILE&ジュリィ&ジャニス
dressing_pafe_and_non_sugar_and_tricolore_and_garumageddon_and_ucchari_big_bangs,DressingPafé & NonSugar & Tricolore & ガァルマゲドン & UCCHARI BIG-BANGS
solami_smile_and_dressing_pafe_and_non_sugar_and_tricolore_and_garumageddon_and_ucchari_big_bangs,SoLaMi SMILE & DressingPafé & NonSugar & Tricolore & ガァルマゲドン & UCCHARI BIG-BANGS
manaka_laala,真中 らぁら
minami_mirei,南 みれぃ
hojo_sophie,北条 そふぃ
todo_shion,東堂 シオン
dorothy_west,ドロシー・ウェスト
leona_west,レオナ・ウェスト
kurosu_aroma,黒須 あろま
shiratama_mikan,白玉 みかん
gaaruru,ガァルル
shikyoin_hibiki,紫京院 ひびき
falulu,ファルル
midorikaze_fuwari,緑風 ふわり
manaka_non,真中 のん
tsukikawa_chiri,月川 ちり
taiyo_pepper,太陽 ペッパー
junon,じゅのん
pinon,ぴのん
kanon,かのん
hojo_cosmo,北条 コスモ
kiki_ajimi,黄木 あじみ
nabesima_chanko,鍋島 ちゃん子
jewlie,ジュリィ
janice,ジャニス
akai_meganee,赤井 めが姉ぇ
