key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,作画監修,放送日(TXN),あにてれ
episodes/prichan_1,1,キラッとプリ☆チャンやってみた！,,,,,,,,https://ch.ani.tv/episodes/13143
episodes/prichan_2,2,フラワーショップでプリ☆チャンやってみた！,,,,,,,,https://ch.ani.tv/episodes/13486
episodes/prichan_3,3,アイドルソングつくってみた！,,,,,,,,https://ch.ani.tv/episodes/13708
episodes/prichan_4,4,スイーツをアピールしてみた！,,,,,,,,https://ch.ani.tv/episodes/13709
episodes/prichan_5,5,ガッツでアツくなってみた！,,,,,,,,https://ch.ani.tv/episodes/13710
episodes/prichan_6,6,エール、送ってみた！,,,,,,,,https://ch.ani.tv/episodes/14089
episodes/prichan_7,7,ねこ動画を撮ってみた！,,,,,,,,https://ch.ani.tv/episodes/14135
episodes/prichan_8,8,ヘア＆メイクでおしゃれしてみた！,,,,,,,,https://ch.ani.tv/episodes/14196
episodes/prichan_9,9,ワタクシ、チャレンジしてみましたわ！,,,,,,,,https://ch.ani.tv/episodes/14282
episodes/prichan_10,10,ライバルとデートしてみた！,,,,,,,,https://ch.ani.tv/episodes/14299
episodes/prichan_11,11,はじめてスペシャルやってみた！,,,,,,,,https://ch.ani.tv/episodes/14300
episodes/prichan_12,12,ハートを燃やしてみた！,,,,,,,,https://ch.ani.tv/episodes/14301
episodes/prichan_13,13,桃山みらいが、とんでみた！,,,,,,,,https://ch.ani.tv/episodes/14302
episodes/prichan_14,14,ファンだって盛り上がってみた！,,,,,,,,https://ch.ani.tv/episodes/14303
episodes/prichan_15,15,りんか、やってみた！,,,,,,,,https://ch.ani.tv/episodes/14304
episodes/prichan_16,16,心の迷いを抜けてみた！,,,,,,,,https://ch.ani.tv/episodes/14305
episodes/prichan_17,17,笑顔でさよならしてみた！,,,,,,,,https://ch.ani.tv/episodes/14306
episodes/prichan_18,18,サマーなスペシャルやってみた！,,,,,,,,https://ch.ani.tv/episodes/14307
episodes/prichan_19,19,夏だ！ビーチだ！行ってみた！,,,,,,,,https://ch.ani.tv/episodes/14308
episodes/prichan_20,20,ヤッホー！山のぼってみた！,,,,,,,,https://ch.ani.tv/episodes/14309
