key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
am_001,AM-001,SR,フラワープリンセストップス,トップス,27998,ピンク,スイートハニー,ラブリー,800,AM01,みらい＆えも プリチケセット,
am_002,AM-002,SR,フラワープリンセスボトムス,ボトムス,27999,ピンク,スイートハニー,ラブリー,700,AM01,みらい＆えも プリチケセット,
am_003,AM-003,SR,フラワープリンセスあみあげシューズ,シューズ,28000,ピンク,スイートハニー,ラブリー,750,AM01,みらい＆えも プリチケセット,
am_004,AM-004,SR,フラワープリンセスレースカチューシャ,ヘアアクセ,28001,ピンク,スイートハニー,ラブリー,700,AM01,みらい＆えも プリチケセット,
am_005,AM-005,SR,フラワープリンセスブーケ,パシャッとアイテム,28031,紫,スイートハニー,ラブリー,700,AM01,みらい＆えも プリチケセット,
am_006,AM-006,R,ポップスターレッドTシャツ,トップス,28002,赤,ガールズエール,ポップ,550,AM02,みらい＆えも プリチケセット,
am_007,AM-007,R,ポップスターグリーンキャップスカート,ボトムス,28003,黒,ガールズエール,ポップ,650,AM02,みらい＆えも プリチケセット,
am_008,AM-008,R,ポップスターレッドスニーカー,シューズ,28004,シルバー,ガールズエール,ポップ,600,AM02,みらい＆えも プリチケセット,
am_009,AM-009,R,ポップスターヘアアクセ,ヘアアクセ,28005,赤,ガールズエール,ポップ,550,AM02,みらい＆えも プリチケセット,
am_010,AM-010,R,スプリングリボンブルーワンピ,ワンピース,27968,水色,スイートハニー,ラブリー,1000,AM03,プリ☆チャンファイル みらい＆えも,
am_011,AM-011,SR,ラビットカメオトップス,トップス,28062,水色,ドーリーワルツ,ラブリー,800,AM04,あんな＆さらプリチケセット,
am_012,AM-012,SR,ラビットカメオボトムス,ボトムス,28063,水色,ドーリーワルツ,ラブリー,750,AM04,あんな＆さらプリチケセット,
am_013,AM-013,SR,ラビットカメオシューズ,シューズ,28064,水色,ドーリーワルツ,ラブリー,700,AM04,あんな＆さらプリチケセット,
am_014,AM-014,SR,ラビットカメオヘアアクセ,ヘアアクセ,28065,水色,ドーリーワルツ,ラブリー,700,AM04,あんな＆さらプリチケセット,
am_015,AM-015,SR,ベージュのうさぎさんぬいぐるみ,パシャッとアイテム,28066,黄,ドーリーワルツ,ラブリー,700,AM04,あんな＆さらプリチケセット,
am_016,AM-016,R,ロッカーグリーンベスト＆Tシャツ,トップス,28067,緑,ロマンスビート,クール,650,AM05,あんな＆さらプリチケセット,
am_017,AM-017,R,ロッカーダメージデニムショーパン,ボトムス,28068,青,ロマンスビート,クール,550,AM05,あんな＆さらプリチケセット,
am_018,AM-018,R,ロッカーグリーンローファー,シューズ,28069,緑,ロマンスビート,クール,600,AM05,あんな＆さらプリチケセット,
