key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
sh_01,SH-01,SR,ギンガムハートサンレッドトップス,トップス,70019,赤,スイートハニー,ラブリー,700,sh_01,ブランドランク,
sh_02,SH-02,SR,ギンガムハートサンレッドスカート,ボトムス,70020,赤,スイートハニー,ラブリー,600,sh_01,ブランドランク,
sh_03,SH-03,SR,ギンガムハートサンレッドシューズ,シューズ,70021,赤,スイートハニー,ラブリー,650,sh_01,ブランドランク,
sh_04,SH-04,SR,ギンガムハートサンレッドヘアアクセ,ヘアアクセ,70022,赤,スイートハニー,ラブリー,600,sh_01,ブランドランク,
sh_05,SH-05,SR,アイスクリームグレープワンピ,ワンピース,27980,紫,スイートハニー,ラブリー,1200,sh_02,ブランドランク,
sh_06,SH-06,SR,アイスクリームグレープシューズ,シューズ,27981,紫,スイートハニー,ラブリー,600,sh_02,ブランドランク,
sh_07,SH-07,SR,アイスクリームグレープヘアアクセ,ヘアアクセ,27982,紫,スイートハニー,ラブリー,600,sh_02,ブランドランク,
sh_08,SH-08,SR,ミントギンガムサマーワンピ,ワンピース,70335,緑,スイートハニー,ラブリー,700,sh_03,ブランドランク,
sh_09,SH-09,SR,ミントギンガムサマーシューズ,シューズ,70336,緑,スイートハニー,ラブリー,650,sh_03,ブランドランク,
sh_10,SH-10,SR,ミントギンガムむぎわらハット,ヘアアクセ,70337,緑,スイートハニー,ラブリー,600,sh_03,ブランドランク,
sh_11,SH-11,SR,さくらひめさんごトップス,トップス,71107,オレンジ,スイートハニー,ラブリー,750,sh_04,ブランドランク,
sh_12,SH-12,SR,さくらひめさんごスカート,ボトムス,71108,オレンジ,スイートハニー,ラブリー,700,sh_04,ブランドランク,
sh_13,SH-13,SR,さくらひめさんごシューズ,シューズ,71109,オレンジ,スイートハニー,ラブリー,650,sh_04,ブランドランク,
sh_14,SH-14,SR,さくらひめさんごヘアアクセ,ヘアアクセ,71110,オレンジ,スイートハニー,ラブリー,650,sh_04,ブランドランク,
gy_01,GY-01,SR,バルーンブルーデニムサロペット,ワンピース,70069,青,ガールズエール,ポップ,1200,gy_01,ブランドランク,
gy_02,GY-02,SR,バルーンブルーデニムシューズ,シューズ,70070,ピンク,ガールズエール,ポップ,600,gy_01,ブランドランク,
gy_03,GY-03,SR,バルーンブルーデニムヘアアクセ,ヘアアクセ,70071,ピンク,ガールズエール,ポップ,600,gy_01,ブランドランク,
gy_04,GY-04,SR,ポップコーンショップグリーントップス,トップス,28012,緑,ガールズエール,ポップ,650,gy_02,ブランドランク,
gy_05,GY-05,SR,ポップコーンショップグリーンパンツ,ボトムス,28013,緑,ガールズエール,ポップ,600,gy_02,ブランドランク,
gy_06,GY-06,SR,ポップコーンショップグリーンシューズ,シューズ,28014,緑,ガールズエール,ポップ,700,gy_02,ブランドランク,
