key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
j2_01,J2-01,HR,アラビアンナイトサンセットワンピ,ワンピース,71200,オレンジ,ユニバースクイーン,クール,2000,J2-2,りんかコレクション,5月23日（木）～7月10日（水）
j2_02,J2-02,HR,アラビアンナイトサンセットシューズ,シューズ,71201,オレンジ,ユニバースクイーン,クール,950,J2-2,りんかコレクション,5月23日（木）～7月10日（水）
j2_03,J2-03,HR,アラビアンナイトサンセットヘアアクセ,ヘアアクセ,71202,オレンジ,ユニバースクイーン,クール,950,J2-2,りんかコレクション,5月23日（木）～7月10日（水）
j2_04,J2-04,PR,ミラクルアイドルクールトップス,トップス,71203,紫,シークレットアリス,クール,900,J2-3,りんかコレクション,5月23日（木）～7月10日（水）
j2_05,J2-05,PR,ミラクルアイドルクールスカート,ボトムス,71204,紫,シークレットアリス,クール,850,J2-3,りんかコレクション,5月23日（木）～7月10日（水）
j2_06,J2-06,PR,ミラクルアイドルクールシューズ,シューズ,71205,紫,シークレットアリス,クール,800,J2-3,りんかコレクション,5月23日（木）～7月10日（水）
j2_07,J2-07,PR,ミラクルアイドルクールヘアアクセ,ヘアアクセ,71206,紫,シークレットアリス,クール,800,J2-3,りんかコレクション,5月23日（木）～7月10日（水）
j2_08,J2-08,PR,サーカスヒロイントップス,トップス,71207,赤,ドーリーワルツ,ラブリー,850,J2-4,りんかコレクション,5月23日（木）～7月10日（水）
j2_09,J2-09,PR,サーカスヒロインスカート,ボトムス,71208,赤,ドーリーワルツ,ラブリー,900,J2-4,りんかコレクション,5月23日（木）～7月10日（水）
j2_10,J2-10,PR,サーカスヒロインシューズ,シューズ,71209,白,ドーリーワルツ,ラブリー,800,J2-4,りんかコレクション,5月23日（木）～7月10日（水）
j2_11,J2-11,PR,サーカスヒロインヘアアクセ,ヘアアクセ,71210,白,ドーリーワルツ,ラブリー,800,J2-4,りんかコレクション,5月23日（木）～7月10日（水）
j2_12,J2-12,SR,もりのおんがくたいフォレストトップス,トップス,71211,緑,ドーリーワルツ,ラブリー,750,J2-5,りんかコレクション,5月23日（木）～7月10日（水）
j2_13,J2-13,SR,もりのおんがくたいフォレストスカート,ボトムス,71212,緑,ドーリーワルツ,ラブリー,700,J2-5,りんかコレクション,5月23日（木）～7月10日（水）
j2_14,J2-14,SR,もりのおんがくたいフォレストシューズ,シューズ,71213,白,ドーリーワルツ,ラブリー,650,J2-5,りんかコレクション,5月23日（木）～7月10日（水）
