key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
mf_01,MF-01,PR,ハロウィンマジカルグリーントップス,トップス,,緑,スイートハニー,ラブリー,850,MF01,モーリーファンタジー・PALOパロ限定,
mf_02,MF-02,PR,ハロウィンマジカルグリーンスカート,ボトムス,,緑,スイートハニー,ラブリー,800,MF01,モーリーファンタジー・PALOパロ限定,
mf_03,MF-03,PR,ハロウィンマジカルグリーンシューズ,シューズ,,緑,スイートハニー,ラブリー,750,MF01,モーリーファンタジー・PALOパロ限定,
mf_04,MF-04,PR,ハロウィンマジカルグリーンヘアアクセ,ヘアアクセ,,黄,スイートハニー,ラブリー,750,MF01,モーリーファンタジー・PALOパロ限定,
mf_05,MF-05,PR,クリスマスサンタグリーントップス,トップス,,緑,スイートハニー,ラブリー,850,MF02,モーリーファンタジー・PALOパロ限定,
mf_06,MF-06,PR,クリスマスサンタグリーンスカート,ボトムス,,緑,スイートハニー,ラブリー,800,MF02,モーリーファンタジー・PALOパロ限定,
mf_07,MF-07,PR,クリスマスサンタグリーンシューズ,シューズ,,緑,スイートハニー,ラブリー,750,MF02,モーリーファンタジー・PALOパロ限定,
mf_08,MF-08,PR,クリスマスサンタグリーンヘアアクセ,ヘアアクセ,,緑,スイートハニー,ラブリー,750,MF02,モーリーファンタジー・PALOパロ限定,
mf_09,MF-09,PR,エンジェルナースグリーントップス,トップス,,緑,スイートハニー,ラブリー,850,MF03,モーリーファンタジー・PALOパロ限定,
mf_10,MF-10,PR,エンジェルナースグリーンスカート,ボトムス,,緑,スイートハニー,ラブリー,800,MF03,モーリーファンタジー・PALOパロ限定,
mf_11,MF-11,PR,エンジェルナースグリーンシューズ,シューズ,,緑,スイートハニー,ラブリー,750,MF03,モーリーファンタジー・PALOパロ限定,
mf_12,MF-12,PR,エンジェルナースグリーンヘアアクセ,ヘアアクセ,,緑,スイートハニー,ラブリー,750,MF03,モーリーファンタジー・PALOパロ限定,
mf_13,MF-13,SR,スクール☆ガールララちゃんトップス,トップス,,緑,ガールズエール,ポップ,800,MF04,モーリーファンタジー・PALOパロ限定,
mf_14,MF-14,SR,スクール☆ガールララちゃんスカート,ボトムス,,ピンク,ガールズエール,ポップ,750,MF04,モーリーファンタジー・PALOパロ限定,
mf_15,MF-15,SR,スクール☆ガールララちゃんシューズ,シューズ,,ピンク,ガールズエール,ポップ,700,MF04,モーリーファンタジー・PALOパロ限定,
mf_16,MF-16,SR,スクール☆ガールララちゃんヘアアクセ,ヘアアクセ,,ピンク,ガールズエール,ポップ,700,MF04,モーリーファンタジー・PALOパロ限定,
mf_17,MF-17,SR,ミラクルアイドルレッドトップス,トップス,,赤,ドーリーワルツ,ラブリー,750,MF05,モーリーファンタジー・PALOパロ限定,
mf_18,MF-18,SR,ミラクルアイドルレッドスカート,ボトムス,,赤,ドーリーワルツ,ラブリー,700,MF05,モーリーファンタジー・PALOパロ限定,
mf_19,MF-19,SR,ミラクルアイドルレッドシューズ,シューズ,,赤,ドーリーワルツ,ラブリー,650,MF05,モーリーファンタジー・PALOパロ限定,
mf_20,MF-20,SR,ミラクルアイドルレッドヘアアクセ,ヘアアクセ,,赤,ドーリーワルツ,ラブリー,650,MF05,モーリーファンタジー・PALOパロ限定,
