key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
p_001,P-001,R,プリ☆チャンユニフォームピンクトップス,トップス,27983,ピンク,プリズムストーン,ラブリー,550,P-05,キラッとプリ☆チャン デビューやってみた！キャンペーン！,
p_002,P-002,R,プリ☆チャンユニフォームピンクスカート,ボトムス,27984,ピンク,プリズムストーン,ラブリー,500,P-05,キラッとプリ☆チャン デビューやってみた！キャンペーン！,
p_003,P-003,R,プリ☆チャンユニフォームピンクシューズ,シューズ,27985,ピンク,プリズムストーン,ラブリー,450,P-05,キラッとプリ☆チャン デビューやってみた！キャンペーン！,
p_004,P-004,R,プリ☆チャンユニフォームピンクヘアアクセ,ヘアアクセ,27986,ピンク,プリズムストーン,ラブリー,450,P-05,キラッとプリ☆チャン デビューやってみた！キャンペーン！,
p_008,P-008,SR,フラワーショップバーベナトップス,トップス,28032,紫,スイートハニー,ラブリー,800,P-04,劇場版プリパラ＆キラッとプリ☆チャン きらきらメモリアルライブ,
p_009,P-009,SR,フラワーショップバーベナスカート,ボトムス,28033,紫,スイートハニー,ラブリー,700,P-04,劇場版プリパラ＆キラッとプリ☆チャン きらきらメモリアルライブ,
p_010,P-010,SR,フラワーショップバーベナシューズ,シューズ,28034,紫,スイートハニー,ラブリー,750,P-04,劇場版プリパラ＆キラッとプリ☆チャン きらきらメモリアルライブ,
p_011,P-011,SR,フラワーショップバーベナヘアアクセ,ヘアアクセ,28035,紫,スイートハニー,ラブリー,700,P-04,劇場版プリパラ＆キラッとプリ☆チャン きらきらメモリアルライブ,
p_012,P-012,SR,バルーングリーンデニムサロペット,ワンピース,,緑,ガールズエール,ポップ,1300,,ちゃおフェス配布,
p_013,P-013,SR,バルーングリーンデニムシューズ,シューズ,,緑,ガールズエール,ポップ,700,,ちゃおフェス配布,
p_014,P-014,SR,バルーングリーンデニム,ヘアアクセ,,緑,ガールズエール,ポップ,700,,ちゃおフェス配布,
p_015,P-015,KR,スイートハニーキラッとワンピ,ワンピース,28194,ピンク,スイートハニー,ラブリー,1000,1-01,サマーメイドスペシャル大会 参加賞品,
p_016,P-016,R,イエローローズ,パシャッとアイテム,28186,黄,ロマンスビート,クール,550,P_PI,キラッとプリ☆チャン♪ソングコレクション～1stチャンネル～DX,
p_017,P-017,R,スターダストスカーレットグラデワンピ,ワンピース,28183,紫,シークレットアリス,クール,1000,P-42,ちゃおサマーフェスティバル2018横浜会場,
p_018,P-018,R,スターダストスカーレットグラデシューズ,シューズ,28184,紫,シークレットアリス,クール,550,P-42,ちゃおサマーフェスティバル2018横浜会場,
p_019,P-019,R,スターダストスカーレットグラデヘアアクセ,ヘアアクセ,28185,紫,シークレットアリス,クール,550,P-42,ちゃおサマーフェスティバル2018横浜会場,
p_020,P-020,SR,チョコホイップクリームトップス,トップス,28272,茶,スイートハニー,ラブリー,800,P-67,キラッとプリ☆チャン♪DVD/BD-BOX-1,
p_021,P-021,SR,チョコホイップクリームスカート,ボトムス,28273,茶,スイートハニー,ラブリー,750,P-67,キラッとプリ☆チャン♪DVD/BD-BOX-1,
p_022,P-022,SR,チョコホイップクリームシューズ,シューズ,28274,白,スイートハニー,ラブリー,700,P-67,キラッとプリ☆チャン♪DVD/BD-BOX-2,
p_023,P-023,SR,チョコホイップクリームヘアアクセ,ヘアアクセ,28275,白,スイートハニー,ラブリー,700,P-67,キラッとプリ☆チャン♪DVD/BD-BOX-2,
