key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
pb_01,PB-01,SR,アイスクリームミントワンピ,ワンピース,71112,緑,スイートハニー,ラブリー,1300,j1_30,プレゼントボックス,4月4日（木）～5月22日（水）
pb_02,PB-02,SR,アイスクリームミントシューズ,シューズ,71113,緑,スイートハニー,ラブリー,650,j1_30,プレゼントボックス,4月4日（木）～5月22日（水）
pb_03,PB-03,SR,アイスクリームミントヘアアクセ,ヘアアクセ,71114,緑,スイートハニー,ラブリー,650,j1_30,プレゼントボックス,4月4日（木）～5月22日（水）
pb_04,PB-04,SR,スマイルマーチトップス,トップス,71115,ピンク,ブランドなし,ラブリー,750,j1_31,プレゼントボックス,4月25日（木）～5月22日（水）
pb_05,PB-05,SR,スマイルマーチスカート,ボトムス,71116,ピンク,ブランドなし,ラブリー,700,j1_31,プレゼントボックス,4月25日（木）～5月22日（水）
pb_06,PB-06,SR,スマイルマーチシューズ,シューズ,71117,ピンク,ブランドなし,ラブリー,650,j1_31,プレゼントボックス,4月25日（木）～5月22日（水）
pb_07,PB-07,SR,スマイルマーチヘアアクセ,ヘアアクセ,71118,ピンク,ブランドなし,ラブリー,650,j1_31,プレゼントボックス,4月25日（木）～5月22日（水）
pb_08,PB-08,R,チャイナロックワンピ,ワンピース,71298,赤,ブランドなし,クール,1000,j2_pb01,プレゼントボックス,5月23日（木）～7月10日（水）
pb_09,PB-09,R,チャイナロックブーツ,シューズ,71299,赤,ブランドなし,クール,500,j2_pb01,プレゼントボックス,5月23日（木）～7月10日（水）
pb_10,PB-10,R,チャイナロックヘアアクセ,ヘアアクセ,71300,白,ブランドなし,クール,500,j2_pb01,プレゼントボックス,5月23日（木）～7月10日（水）
