key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
p_029,P-029,KR,ポップミラクル☆キラッツグループキラッとシューズ,シューズ,28299,水色,ガールズエール,ポップ,900,P-72,第4弾11月チャンネル限定,
pch4_01,PCH4-01,KR,ユニバースクイーンキラッとワンピ,ワンピース,70350,白,ユニバースクイーン,クール,1900,4-01,第4弾10月チャンネル限定,
pch4_02,PCH4-02,KR,ユニバースクイーンキラッとシューズ,シューズ,70351,黒,ユニバースクイーン,クール,900,4-01,第4弾10月チャンネル限定,
pch4_03,PCH4-03,KR,ユニバースクイーンキラッとヘアアクセ,ヘアアクセ,70352,白,ユニバースクイーン,クール,900,4-01,第4弾10月チャンネル限定,
pch4_04,PCH4-04,PR,ファンキーファーレッドトップス,トップス,70356,緑,ユニバースクイーン,クール,850,4-02,第4弾10月チャンネル限定,
pch4_05,PCH4-05,PR,ファンキーファーレッドスカート,スカート,70357,赤,ユニバースクイーン,クール,800,4-02,第4弾10月チャンネル限定,
pch4_06,PCH4-06,PR,ファンキーファーレッドパープルシューズ,シューズ,70358,紫,ユニバースクイーン,クール,750,4-02,第4弾10月チャンネル限定,
pch4_07,PCH4-07,PR,ファンキーファーレッドヘアアクセ,ヘアアクセ,70359,赤,ユニバースクイーン,クール,750,4-02,第4弾10月チャンネル限定,
pch4_08,PCH4-08,PR,ファンキーファーシルバートップス,トップス,70371,青,ユニバースクイーン,クール,800,4-03,第4弾10月チャンネル限定,
pch4_09,PCH4-09,PR,ファンキーファーシルバーパンツ,スカート,70372,シルバー,ユニバースクイーン,クール,750,4-03,第4弾10月チャンネル限定,
pch4_10,PCH4-10,PR,ファンキーファーシルバーレッドシューズ,シューズ,70373,赤,ユニバースクイーン,クール,850,4-03,第4弾10月チャンネル限定,
pch4_11,PCH4-11,PR,ファンキーファーシルバーヘアアクセ,ヘアアクセ,70374,シルバー,ユニバースクイーン,クール,750,4-03,第4弾10月チャンネル限定,
pch4_12,PCH4-12,SR,ねこうらないしビビッドワンピ,ワンピース,70364,ピンク,ユニバースクイーン,クール,1200,4-04,第4弾10月チャンネル限定,
pch4_13,PCH4-13,SR,ねこうらないしビビッドシューズ,シューズ,70365,白,ユニバースクイーン,クール,600,4-04,第4弾10月チャンネル限定,
pch4_14,PCH4-14,SR,ねこうらないしビビッドヘアアクセ,ヘアアクセ,70366,黒,ユニバースクイーン,クール,600,4-04,第4弾10月チャンネル限定,
pch4_15,PCH4-15,SR,パープルフェザーせんす,パシャッとアイテム,70418,紫,ユニバースクイーン,クール,700,4-PI,第4弾10月チャンネル限定,
pch4_16,PCH4-16,R,プリ☆チャンユニフォームパープルトップス,トップス,70383,紫,プリズムストーン,クール,550,4-05,第4弾10月チャンネル・11月チャンネル共通,
pch4_17,PCH4-17,R,プリ☆チャンユニフォームパープルスカート,スカート,70384,紫,プリズムストーン,クール,500,4-05,第4弾10月チャンネル・11月チャンネル共通,
pch4_18,PCH4-18,R,プリ☆チャンユニフォームパープルシューズ,シューズ,70385,紫,プリズムストーン,クール,450,4-05,第4弾10月チャンネル・11月チャンネル共通,
pch4_19,PCH4-19,R,プリ☆チャンユニフォームパープルヘアアクセ,ヘアアクセ,70386,紫,プリズムストーン,クール,450,4-05,第4弾10月チャンネル・11月チャンネル共通,
pch4_20,PCH4-20,R,カジュアルマリンスカジャン,トップス,70399,白,ガールズエール,ポップ,450,4-06,第4弾10月チャンネル・11月チャンネル共通,
pch4_21,PCH4-21,R,カジュアルマリンスカート,スカート,70400,青,ガールズエール,ポップ,500,4-06,第4弾10月チャンネル・11月チャンネル共通,
pch4_22,PCH4-22,R,カジュアルマリンシューズ,シューズ,70401,赤,ガールズエール,ポップ,550,4-06,第4弾10月チャンネル・11月チャンネル共通,
pch4_23,PCH4-23,R,カジュアルマリンヘアアクセ,ヘアアクセ,70402,白,ガールズエール,ポップ,450,4-06,第4弾10月チャンネル・11月チャンネル共通,
pch4_24,PCH4-24,R,レトロストライプブルートップス,トップス,70387,水色,ドーリーワルツ,ラブリー,500,4-07,第4弾10月チャンネル・11月チャンネル共通,
pch4_25,PCH4-25,R,レトロストライプブルースカート,スカート,70388,水色,ドーリーワルツ,ラブリー,550,4-07,第4弾10月チャンネル・11月チャンネル共通,
pch4_26,PCH4-26,R,レトロストライプブルーシューズ,シューズ,70389,青,ドーリーワルツ,ラブリー,450,4-07,第4弾10月チャンネル・11月チャンネル共通,
pch4_27,PCH4-27,R,レトロストライプブルーヘアアクセ,ヘアアクセ,70390,白,ドーリーワルツ,ラブリー,450,4-07,第4弾10月チャンネル・11月チャンネル共通,
pch4_28,PCH4-28,R,ペイントパターンピンクトップス,トップス,70446,ピンク,ロマンスビート,クール,550,4-08,第4弾10月チャンネル・11月チャンネル共通,
pch4_29,PCH4-29,R,ペイントパターンピンクスカート,スカート,70447,ピンク,ロマンスビート,クール,500,4-08,第4弾10月チャンネル・11月チャンネル共通,
pch4_30,PCH4-30,R,ペイントパターンピンクシューズ,シューズ,70448,黒,ロマンスビート,クール,450,4-08,第4弾10月チャンネル・11月チャンネル共通,
pch4_31,PCH4-31,R,ペイントパターンピンクヘアアクセ,ヘアアクセ,70449,ピンク,ロマンスビート,クール,450,4-08,第4弾10月チャンネル・11月チャンネル共通,
pch4_32,PCH4-32,R,トゥインクルスターかただしトップス,トップス,70407,ピンク,ユニバースクイーン,クール,500,4-09,第4弾10月チャンネル・11月チャンネル共通,
pch4_33,PCH4-33,R,トゥインクルスタースカート,スカート,70408,白,ユニバースクイーン,クール,450,4-09,第4弾10月チャンネル・11月チャンネル共通,
pch4_34,PCH4-34,R,トゥインクルスターシューズ,シューズ,70409,ピンク,ユニバースクイーン,クール,550,4-09,第4弾10月チャンネル・11月チャンネル共通,
pch4_35,PCH4-35,R,トゥインクルスターヘアアクセ,ヘアアクセ,70410,青,ユニバースクイーン,クール,450,4-09,第4弾10月チャンネル・11月チャンネル共通,
pch4_36,PCH4-36,N,フラワーガールデニムトップス,トップス,70395,青,スイートハニー,ラブリー,400,4-10,第4弾10月チャンネル・11月チャンネル共通,
pch4_37,PCH4-37,N,フラワーガールピンクスカート,スカート,70396,ピンク,スイートハニー,ラブリー,350,4-10,第4弾10月チャンネル・11月チャンネル共通,
pch4_38,PCH4-38,N,フラワーガールピンクシューズ,シューズ,70397,ピンク,スイートハニー,ラブリー,300,4-10,第4弾10月チャンネル・11月チャンネル共通,
pch4_39,PCH4-39,N,フラワーガールピンクヘアアクセ,ヘアアクセ,70398,ピンク,スイートハニー,ラブリー,300,4-10,第4弾10月チャンネル・11月チャンネル共通,
pch4_40,PCH4-40,N,ミステリーレッドトップス,トップス,70403,赤,シークレットアリス,クール,350,4-11,第4弾10月チャンネル・11月チャンネル共通,
pch4_41,PCH4-41,N,ミステリーレッドスカート,スカート,70404,黒,シークレットアリス,クール,300,4-11,第4弾10月チャンネル・11月チャンネル共通,
pch4_42,PCH4-42,N,ミステリーレッドシューズ,シューズ,70405,黒,シークレットアリス,クール,400,4-11,第4弾10月チャンネル・11月チャンネル共通,
pch4_43,PCH4-43,N,ミステリーレッドヘアアクセ,ヘアアクセ,70406,赤,シークレットアリス,クール,300,4-11,第4弾10月チャンネル・11月チャンネル共通,
pch4_44,PCH4-44,N,ヴィンテージチェックワンピ,ワンピース,70411,白,ドーリーワルツ,ラブリー,600,4-12,第4弾10月チャンネル・11月チャンネル共通,
pch4_45,PCH4-45,N,ヴィンテージチェックシューズ,シューズ,70412,茶,ドーリーワルツ,ラブリー,300,4-12,第4弾10月チャンネル・11月チャンネル共通,
pch4_46,PCH4-46,N,ヴィンテージチェックヘアアクセ,ヘアアクセ,70413,茶,ドーリーワルツ,ラブリー,300,4-12,第4弾10月チャンネル・11月チャンネル共通,
pch4_47,PCH4-47,N,マニッシュパンクトップス,トップス,70414,紫,ロマンスビート,クール,400,4-13,第4弾10月チャンネル・11月チャンネル共通,
pch4_48,PCH4-48,N,マニッシュパンクスカート,スカート,70415,白,ロマンスビート,クール,350,4-13,第4弾10月チャンネル・11月チャンネル共通,
pch4_49,PCH4-49,N,マニッシュパンクシューズ,シューズ,70416,紫,ロマンスビート,クール,300,4-13,第4弾10月チャンネル・11月チャンネル共通,
pch4_50,PCH4-50,N,マニッシュパンクヘアアクセ,ヘアアクセ,70417,紫,ロマンスビート,クール,300,4-13,第4弾10月チャンネル・11月チャンネル共通,
pch4_51,PCH4-51,R,ヴィンテージブラウンブック,パシャッとアイテム,70421,茶,ドーリーワルツ,ラブリー,450,4-PI,第4弾10月チャンネル・11月チャンネル共通,
pch4_52,PCH4-52,R,まほうのピンクカード,パシャッとアイテム,70422,ピンク,スイートハニー,ラブリー,450,4-PI,第4弾10月チャンネル・11月チャンネル共通,
pch4_53,PCH4-53,SR,ハロウィンマジカルパンプキントップス,トップス,70367,オレンジ,スイートハニー,ラブリー,700,4-21,第4弾10月チャンネルハロウィンコーデキャンペーン,2018年10月4日～10月31日
pch4_54,PCH4-54,SR,ハロウィンマジカルパンプキンスカート,ボトムス,70368,オレンジ,スイートハニー,ラブリー,650,4-21,第4弾10月チャンネルハロウィンコーデキャンペーン,2018年10月4日～10月31日
pch4_55,PCH4-55,SR,ハロウィンマジカルパンプキンシューズ,シューズ,70369,オレンジ,スイートハニー,ラブリー,600,4-21,第4弾10月チャンネルハロウィンコーデキャンペーン,2018年10月4日～10月31日
pch4_56,PCH4-56,SR,ハロウィンマジカルパンプキンヘアアクセ,ヘアアクセ,70370,紫,スイートハニー,ラブリー,600,4-21,第4弾10月チャンネルハロウィンコーデキャンペーン,2018年10月4日～10月31日
pch4_57,PCH4-57,SR,ハロウィンマジカルあかずきんトップス,トップス,70454,赤,スイートハニー,ラブリー,600,4-22,第4弾10月チャンネルハロウィンコーデキャンペーン,2018年10月4日～10月31日
pch4_58,PCH4-58,SR,ハロウィンマジカルあかずきんスカート,ボトムス,70455,黄,スイートハニー,ラブリー,700,4-22,第4弾10月チャンネルハロウィンコーデキャンペーン,2018年10月4日～10月31日
pch4_59,PCH4-59,SR,ハロウィンマジカルあかずきんシューズ,シューズ,70456,黄,スイートハニー,ラブリー,650,4-22,第4弾10月チャンネルハロウィンコーデキャンペーン,2018年10月4日～10月31日
pch4_60,PCH4-60,SR,ハロウィンマジカルあかずきんヘアアクセ,ヘアアクセ,70457,赤,スイートハニー,ラブリー,600,4-22,第4弾10月チャンネルハロウィンコーデキャンペーン,2018年10月4日～10月31日
pch4_61,PCH4-61,SR,ハロウィンマジカルバッグ,パシャッとアイテム,70419,オレンジ,スイートハニー,ラブリー,600,4-PI,第4弾10月チャンネルハロウィンコーデキャンペーン,2018年10月4日～10月31日
pch4_62,PCH4-62,KR,ミラクル☆キラッツグループキラッとワンピ,ワンピース,70353,ピンク,スイートハニー,ラブリー,1900,4-14,第4弾11月チャンネル限定,
pch4_63,PCH4-63,KR,ミラクル☆キラッツグループキラッとシューズ,シューズ,70354,ピンク,スイートハニー,ラブリー,900,4-14,第4弾11月チャンネル限定,
pch4_64,PCH4-64,KR,ミラクル☆キラッツグループキラッとヘアアクセ,ヘアアクセ,70355,ピンク,スイートハニー,ラブリー,900,4-14,第4弾11月チャンネル限定,
pch4_65,PCH4-65,PR,ホイップいちごスイートトップス,トップス,70360,白,スイートハニー,ラブリー,850,4-15,第4弾11月チャンネル限定,
pch4_66,PCH4-66,PR,ホイップいちごスイートスカート,スカート,70361,赤,スイートハニー,ラブリー,800,4-15,第4弾11月チャンネル限定,
pch4_67,PCH4-67,PR,ホイップいちごスイートシューズ,シューズ,70362,白,スイートハニー,ラブリー,750,4-15,第4弾11月チャンネル限定,
pch4_68,PCH4-68,PR,ホイップいちごスイートヘアアクセ,ヘアアクセ,70363,白,スイートハニー,ラブリー,750,4-15,第4弾11月チャンネル限定,
pch4_69,PCH4-69,PR,ホイップいちごベリートップス,トップス,70459,白,スイートハニー,ラブリー,750,4-16,第4弾11月チャンネル限定,
pch4_70,PCH4-70,PR,ホイップいちごベリースカート,スカート,70460,紫,スイートハニー,ラブリー,850,4-16,第4弾11月チャンネル限定,
pch4_71,PCH4-71,PR,ホイップいちごベリーシューズ,シューズ,70461,白,スイートハニー,ラブリー,800,4-16,第4弾11月チャンネル限定,
pch4_72,PCH4-72,PR,ホイップいちごベリーヘアアクセ,ヘアアクセ,70462,白,スイートハニー,ラブリー,750,4-16,第4弾11月チャンネル限定,
pch4_73,PCH4-73,SR,ホイップいちごソーダトップス,トップス,70375,白,スイートハニー,ラブリー,700,4-17,第4弾11月チャンネル限定,
pch4_74,PCH4-74,SR,ホイップいちごソーダスカート,スカート,70376,水色,スイートハニー,ラブリー,650,4-17,第4弾11月チャンネル限定,
pch4_75,PCH4-75,SR,ホイップいちごソーダシューズ,シューズ,70377,白,スイートハニー,ラブリー,600,4-17,第4弾11月チャンネル限定,
pch4_76,PCH4-76,SR,ホイップいちごソーダヘアアクセ,ヘアアクセ,70378,白,スイートハニー,ラブリー,600,4-17,第4弾11月チャンネル限定,
pch4_77,PCH4-77,SR,キラキラフィーバーイエロートップス,トップス,70379,黄,ユニバースクイーン,クール,600,4-18,第4弾11月チャンネル限定,
pch4_78,PCH4-78,SR,キラキラフィーバーイエロースカート,スカート,70380,黄,ユニバースクイーン,クール,650,4-18,第4弾11月チャンネル限定,
pch4_79,PCH4-79,SR,キラキラフィーバーイエローシューズ,シューズ,70381,黒,ユニバースクイーン,クール,700,4-18,第4弾11月チャンネル限定,
pch4_80,PCH4-80,SR,キラキラフィーバーイエローヘアアクセ,ヘアアクセ,70382,黒,ユニバースクイーン,クール,600,4-18,第4弾11月チャンネル限定,
pch4_81,PCH4-81,SR,ロリータピンクパラソル,パシャッとアイテム,70420,ピンク,ドーリーワルツ,ラブリー,600,4-PI,第4弾11月チャンネル限定,
pch4_82,PCH4-82,R,とんかつ&えびふらいのしっぽ,パシャッとアイテム,70423,茶,ブランドなし,,550,4-PI,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_83,PCH4-83,R,すみっコぐらしピンクワンピ,ワンピース,70424,ピンク,ブランドなし,,900,4-19,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_84,PCH4-84,R,すみっコぐらしピンクシューズ,シューズ,70425,ピンク,ブランドなし,,450,4-19,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_85,PCH4-85,R,すみっコぐらしヘアアクセ,ヘアアクセ,70426,白,ブランドなし,,450,4-19,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_86,PCH4-86,R,すみっコぐらしブルーワンピ,ワンピース,70427,水色,ブランドなし,,900,4-24,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_87,PCH4-87,R,すみっコぐらしブルーシューズ,シューズ,70428,水色,ブランドなし,,450,4-24,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_88,PCH4-88,R,すみっコぐらしカチューシャ,ヘアアクセ,70429,オレンジ,ブランドなし,,450,4-24,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_89,PCH4-89,R,すみっコぐらしにくきゅうトップス,トップス,70430,オレンジ,ブランドなし,,550,4-20,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_90,PCH4-90,R,すみっコぐらしいっぱいスカート,ボトムス,70431,白,ブランドなし,,500,4-20,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_91,PCH4-91,R,すみっコぐらしにくきゅうシューズ,シューズ,70432,オレンジ,ブランドなし,,450,4-20,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_92,PCH4-92,R,すみっコぐらしねこヘアアクセ,ヘアアクセ,70433,白,ブランドなし,,450,4-20,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_93,PCH4-93,R,すみっコぐらしにくきゅうピンクトップス,トップス,70434,ピンク,ブランドなし,,500,4-25,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
pch4_94,PCH4-94,R,すみっコぐらしにくきゅうピンクシューズ,シューズ,70435,ピンク,ブランドなし,,450,4-25,第4弾11月チャンネルすみっコぐらしコラボ,2018年11月1日～12月5日
