item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,series_name,collection_term
P-045,SR,ねこうらないしブルーヘアアクセ,ヘアアクセ,28279,青,ユニバースクイーン,クール,700,6-31,第6弾2月チャンネル限定,
P-047,KR,アイランジュピンクキラッとシューズ,シューズ,28423,ピンク,プレシャスミューズ,プレミアム,900,6-32,第6弾3月チャンネル限定,
PCH6-01,KR,アイランジュホワイトキラッとワンピ,ワンピース,70721,白,プレシャスミューズ,プレミアム,1900,6-1,第6弾2月チャンネル限定,
PCH6-02,KR,アイランジュホワイトキラッとシューズ,シューズ,70722,白,プレシャスミューズ,プレミアム,1000,6-1,第6弾2月チャンネル限定,
PCH6-03,KR,アイランジュホワイトキラッとヘアアクセ,ヘアアクセ,70723,白,プレシャスミューズ,プレミアム,900,6-1,第6弾2月チャンネル限定,
PCH6-04,PR,エンジェルナースブルートップス,トップス,70724,水色,スイートハニー,ラブリー,850,6-2,第6弾2月チャンネル限定,
PCH6-05,PR,エンジェルナースブルースカート,ボトムス,70725,水色,スイートハニー,ラブリー,800,6-2,第6弾2月チャンネル限定,
PCH6-06,PR,エンジェルナースブルーシューズ,シューズ,70726,白,スイートハニー,ラブリー,750,6-2,第6弾2月チャンネル限定,
PCH6-07,PR,エンジェルナースブルーヘアアクセ,ヘアアクセ,70727,水色,スイートハニー,ラブリー,750,6-2,第6弾2月チャンネル限定,
PCH6-08,PR,スクール☆ガールレッドチェックトップス,トップス,70728,青,ガールズエール,ポップ,750,6-3,第6弾2月チャンネル限定,
PCH6-09,PR,スクール☆ガールレッドチェックスカート,ボトムス,70729,赤,ガールズエール,ポップ,850,6-3,第6弾2月チャンネル限定,
PCH6-10,PR,スクール☆ガールレッドチェックシューズ,シューズ,70730,ピンク,ガールズエール,ポップ,800,6-3,第6弾2月チャンネル限定,
PCH6-11,PR,スクール☆ガールレッドチェックヘアアクセ,ヘアアクセ,70731,ピンク,ガールズエール,ポップ,750,6-3,第6弾2月チャンネル限定,
PCH6-12,SR,エンジェルナースパープルトップス,トップス,70732,紫,スイートハニー,ラブリー,700,6-4,第6弾2月チャンネル限定,
PCH6-13,SR,エンジェルナースパープルスカート,ボトムス,70733,紫,スイートハニー,ラブリー,650,6-4,第6弾2月チャンネル限定,
PCH6-14,SR,エンジェルナースパープルシューズ,シューズ,70734,紫,スイートハニー,ラブリー,600,6-4,第6弾2月チャンネル限定,
PCH6-15,SR,エンジェルナースパープルヘアアクセ,ヘアアクセ,70735,紫,スイートハニー,ラブリー,600,6-4,第6弾2月チャンネル限定,
PCH6-16,SR,スクール☆ガールブルーチェックトップス,トップス,70736,白,ガールズエール,ポップ,650,6-5,第6弾2月チャンネル限定,
PCH6-17,SR,スクール☆ガールブルーチェックスカート,ボトムス,70737,水色,ガールズエール,ポップ,600,6-5,第6弾2月チャンネル限定,
PCH6-18,SR,スクール☆ガールブルーチェックシューズ,シューズ,70738,白,ガールズエール,ポップ,700,6-5,第6弾2月チャンネル限定,
PCH6-19,SR,スクール☆ガールブルーチェックヘアアクセ,ヘアアクセ,70739,白,ガールズエール,ポップ,600,6-5,第6弾2月チャンネル限定,
PCH6-20,SR,チョコホイップジャムトップス,トップス,70740,赤,スイートハニー,ラブリー,650,6-6,第6弾2月チャンネル限定,
PCH6-21,SR,チョコホイップジャムスカート,ボトムス,70741,赤,スイートハニー,ラブリー,700,6-6,第6弾2月チャンネル限定,
PCH6-22,SR,チョコホイップジャムシューズ,シューズ,70742,白,スイートハニー,ラブリー,600,6-6,第6弾2月チャンネル限定,
PCH6-23,SR,チョコホイップジャムヘアアクセ,ヘアアクセ,70743,白,スイートハニー,ラブリー,600,6-6,第6弾2月チャンネル限定,
PCH6-24,SR,バレンタインラブリーチョコ,パシャッとアイテム,70744,茶,スイートハニー,ラブリー,600,6-PI,第6弾2月チャンネル限定,
PCH6-25,R,ティーカップメルヘンリメイクブルートップス,トップス,70755,水色,スイートハニー,ラブリー,550,6-10,第6弾 2月チャンネル・3月チャンネル共通,
PCH6-26,R,ティーカップメルヘンリメイクブルースカート,ボトムス,70756,水色,スイートハニー,ラブリー,500,6-10,第6弾 2月チャンネル・3月チャンネル共通,
PCH6-27,R,ティーカップメルヘンリメイクブルーシューズ,シューズ,70757,水色,スイートハニー,ラブリー,450,6-10,第6弾 2月チャンネル・3月チャンネル共通,
PCH6-28,R,ティーカップメルヘンリメイクブルーヘアアクセ,ヘアアクセ,70758,黒,スイートハニー,ラブリー,450,6-10,第6弾 2月チャンネル・3月チャンネル共通,
PCH6-29,R,ティーカップメルヘンリメイクピンクトップス,トップス,70759,ピンク,スイートハニー,ラブリー,450,6-11,第6弾 2月チャンネル・3月チャンネル共通,
PCH6-30,R,ティーカップメルヘンリメイクピンクスカート,ボトムス,70760,ピンク,スイートハニー,ラブリー,550,6-11,第6弾 2月チャンネル・3月チャンネル共通,
PCH6-31,R,ティーカップメルヘンリメイクピンクシューズ,シューズ,70761,ピンク,スイートハニー,ラブリー,500,6-11,第6弾 2月チャンネル・3月チャンネル共通,
PCH6-32,R,ティーカップメルヘンリメイクピンクヘアアクセ,ヘアアクセ,70762,黒,スイートハニー,ラブリー,450,6-11,第6弾 2月チャンネル・3月チャンネル共通,
PCH6-33,R,ガーデンフラワーグリーントップス,トップス,70763,緑,プレシャスミューズ,プレミアム,550,6-12,第6弾 2月チャンネル・3月チャンネル共通,
