key,name,name_kana,cv,birthday,blood_type,favorite_food,brand,charm
manaka_laala,真中 らぁら,まなか らぁら,茜屋日海夏,11月20日,O型,ピザ、駄菓子,Twinkle Ribbon（トゥインクルリボン）,ラブリー
minami_mirei,南 みれぃ,みなみ みれぃ,芹澤優,10月1日,A型,スイーツ全般,Candy Alamode（キャンディアラモード）,ポップ
hojo_sophie,北条 そふぃ,ほうじょう そふぃ,久保田未夢,7月30日,AB型,梅干し,Holic Trick（ホリックトリック）,クール
todo_shion,東堂 シオン,とうどう シオン,山北早紀,1月5日,B型,大福,Baby Monster（ベイビーモンスター）,クール
dorothy_west,ドロシー・ウェスト,どろしー うぇすと,澁谷梓希,2月5日,A型,もんじゃ焼き,Fortune Party（フォーチュンパーティ）,ポップ
leona_west,レオナ・ウェスト,れおな うぇすと,若井友希,2月5日,A型,いちごパフェ,Fortune Party（フォーチュンパーティ）,ポップ
kurosu_aroma,黒須 あろま,くろす あろま,牧野由依,6月6日,A型,カレーうどん,Holic Trick classic（ホリックトリック クラシック）、LOVE DEVI（ラブデビ）,クール
shiratama_mikan,白玉 みかん,しらたま みかん,渡部優衣,10月4日,B型,プリン、中華まん,Silky Heart（シルキーハート）、LOVE DEVI（ラブデビ）,ラブリー
gaaruru,ガァルル,,真田アサミ,4月17日,,アーモンドクッキー,Marionette Mu（マリオネットミュー）、LOVE DEVI（ラブデビ）,ラブリー
shikyoin_hibiki,紫京院 ひびき,しきょういん ひびき,斎賀みつき,3月27日,B型,ガトーショコラ,Brilliant Prince（ブリリアントプリンス）,セレブ
falulu,ファルル,,赤﨑千夏,3月21日,,牛乳,Marionette Mu（マリオネットミュー）,ラブリー
midorikaze_fuwari,緑風 ふわり,みどりかぜ ふわり,佐藤あずさ,8月11日,O型,お寿司,Coco Flower（ココフラワー）,ナチュラル
manaka_non,真中 のん,まなか のん,田中美海,9月6日,A型,パスタ,Twinkle Ribbon Sweet（トゥインクルリボンスウィート）,
tsukikawa_chiri,月川 ちり,つきかわ ちり,大森日雅,11月15日,AB型,栗きんとん,Dear Crown（ディアクラウン）,
taiyo_pepper,太陽 ペッパー,たいよう ペッパー,山下七海 ,2月9日,O型,焼肉,Sunny Zoo（サニーズー）,
junon,じゅのん,じゅのん,田中美海,,,,,
pinon,ぴのん,ぴのん,田中美海,,,,,
kanon,かのん,かのん,田中美海,,,,,
hojo_cosmo,北条 コスモ,ほうじょう コスモ,山本希望,9月12日,AB型,しょうゆラーメン、ドライマンゴー、玉子,PrismStone（プリズムストーン）,クール/プレミアム
kiki_ajimi,黄木 あじみ,きき あじみ,上田麗奈,11月3日,A型,チキンライス,Candy Alamode more（キャンディアラモードモア）,ポップ
nabesima_chanko,鍋島 ちゃん子,なべしま ちゃんこ,赤﨑千夏,,,,,クール
jewlie,ジュリィ,じゅりぃ,上田麗奈,,,桃ジュース、綿菓子,,
janice,ジャニス,じゃにす,豊崎愛生,,,,,
akai_meganee,赤井 めが姉ぇ,あかい めがねぇ,伊藤かな恵,,,,,
