key,話数,サブタイトル,脚本,絵コンテ,ストーリーボード,演出,アニメーション演出,作画監修,放送日(TXN)
episode/pripara_1,1,アイドル始めちゃいました！,土屋理敬,森脇真琴,Sung Won Yong,徳本善信,Na Ki Chual、Choi Hun Cheol,斉藤里枝、本多恵美、森友宏樹,2014/7/5
episode/pripara_2,2,約束やぶっちゃダメぷりっ,土屋理敬,森脇真琴,Choi Hun Cheol,小林浩輔,Jeon Byung Cheol,鈴木理彩、戸田さやか、森友宏樹,2014/7/12
episode/pripara_3,3,チーム解散？困るクマ〜！,福田裕子,柊陽菜,An Jai Ho,関田修,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏樹,2014/7/19
episode/pripara_4,4,かしこま！元気 For You,ふでやすかずゆき,玉川真人,Sung Won Yong,小林浩輔,An Jai Ho、Na Ki Chual、Choi Hun Cheol、Jeon Byung Cheol,鈴木理彩、戸田さやか、森友宏樹,2014/7/26
episode/pripara_5,5,あたし、そふぃさんと歌いたいワニ！,中村能子,沖田宮奈,Sung Won Yong,佐々木純人,An Jai Ho、Na Ki Chual、Choi Hun Cheol、Jeon Byung Cheol,斉藤里枝、本多恵美、森友宏樹,2014/8/2
episode/pripara_6,6,異議あり？、らぁらがウチにやってきたっぷり！,土屋理敬,柊陽菜,An Jai Ho,小林浩輔,Jeon Byung Cheol,鈴木理彩、戸田さやか、森友宏樹,2014/8/9
episode/pripara_7,7,レッドフラッシュを探して…,大場小ゆり,ワタナベシンイチ,Park Chi Man,関田修,Park Chi Man、Kim Jin Gu,斉藤里枝、本多恵美、森友宏,2014/8/16
episode/pripara_8,8,ドキドキ！夏だ！水着だ！、プールでかしこまっ♪,福田裕子,沖田宮奈,An Jai Ho,小林浩輔,An Jai Ho、Na Ki Chual、Choi Hun Cheol,鈴木理彩、戸田さやか、森友宏樹,2014/8/23
episode/pripara_9,9,ときめきアイドル大集合！,中村能子,柊陽菜,Na Ki Chual,佐々木純人,Choi Hun Cheol、Na Ki Chual,斉藤里枝、本多恵美、森友宏樹,2014/8/30
episode/pripara_10,10,秋色ラブリーライブ,ふでやすかずゆき,ワタナベシンイチ,Sung Won Yong,小林浩輔,Jeon Byung Cheol,鈴木理彩、戸田さやか、森友宏樹,2014/9/6
