key,prefecture,name,address
fukuoka_0,福岡県,ペリカン遠賀,福岡県遠賀郡遠賀町松の本1－1－1ゆめタウン遠賀２Ｆ
fukuoka_1,福岡県,ヤマダ電機テックランド福岡香椎本店,福岡県遠賀郡遠賀町松の本1-1-1ゆめタウン横賀2F
fukuoka_2,福岡県,トイザらス久留米,福岡県久留米市新合川１３－３０
fukuoka_3,福岡県,楽市街道くるめ,福岡県久留米市新合川２丁目７番１０号久留米アミューズメントビル内
fukuoka_4,福岡県,ふぇすたらんど久留米,福岡県久留米市野中町１４１１－１サンリブ久留米店内
fukuoka_5,福岡県,ふぇすたらんど古賀,福岡県古賀市天神２丁目５－１サンリブ古賀店内
fukuoka_6,福岡県,ペリカン行橋,福岡県行橋市西宮市３丁目８－１ゆめタウン行橋内２Ｆ　玩具売場
fukuoka_7,福岡県,ペリカン宗像,福岡県宗像市田久２－１－１ゆめタウン宗像内２Ｆ
fukuoka_8,福岡県,西友ザ・モール春日,福岡県春日市春日５－１７　玩具売場
fukuoka_9,福岡県,ミスターマックス春日,福岡県春日市星見ヶ丘４－７
fukuoka_10,福岡県,楽市楽座２１０トリアス,福岡県糟屋郡久山町大字山田９９０
fukuoka_11,福岡県,イオン福岡東,福岡県糟屋郡志免町大字御手洗字高原６　玩具売場
fukuoka_12,福岡県,サンゲームス新宮,福岡県糟屋郡新宮町美咲３丁目１－４０
fukuoka_13,福岡県,ゆめマート新宮店,福岡県糟屋郡新宮町緑ヶ浜４丁目１８－１玩具売場
fukuoka_14,福岡県,モーリーファンタジー福岡,福岡県糟屋郡粕屋町大字酒殿字老ノ木１９２－１イオン２Ｆ
fukuoka_15,福岡県,楽市楽座イオンモール福岡,福岡県糟屋郡粕屋町大字酒殿字老ノ木１９２番地１イオンモール福岡店２階
fukuoka_16,福岡県,ペリカン大川,福岡県大川市大字上巻字野口４３０－１ゆめタウン大川内２Ｆ　玩具売場
fukuoka_17,福岡県,パスカワールド大牟田,福岡県大牟田市旭町２丁目２８－１ゆめタウン大牟田店２Ｆ
fukuoka_18,福岡県,イオン大牟田,福岡県大牟田市岬町３－４　イオン２Ｆ玩具売場
fukuoka_19,福岡県,モーリーファンタジー大牟田,福岡県大牟田市岬町３－４イオン2階
fukuoka_20,福岡県,楽市楽座イオンモール大牟田,福岡県大牟田市岬町３番４イオンモール大牟田店２階
fukuoka_21,福岡県,ゲームらんど乙金,福岡県大野城市乙金３丁目２３番１号イオン乙金ＳＣ内北街区Ｂ
fukuoka_22,福岡県,モーリーファンタジー大野城,福岡県大野城市錦町４－１－１　イオン３Ｆ
fukuoka_23,福岡県,イオン大野城,福岡県大野城市錦町４－１－１　玩具売場
