key,prefecture,name,address
gifu_0,岐阜県,ピアゴ笠松,岐阜県羽島郡笠松町米野字西起５９番地１玩具売場
gifu_1,岐阜県,ハローズ多治見,岐阜県羽島市江吉良町２９３９　（ハローズ多治見店分）
gifu_2,岐阜県,バローランド羽島,岐阜県羽島市江吉良町２９３９バロー羽島インター店１Ｆ
gifu_3,岐阜県,ハローズ萩原,岐阜県下呂市萩原町大字花池字川原164-1バロー萩原店
gifu_4,岐阜県,アピタ御嵩,岐阜県可児郡御嵩町上恵土字西畑1052-1
gifu_5,岐阜県,レイク・リビン可児,岐阜県可児市下恵土５７５０玩具売り場
gifu_6,岐阜県,プレビドン・キホーテＵＮＹ可児,岐阜県可児市中恵土字溝向２１２０番１ＭＥＧＡドン・キホーテＵＮＹ可児店内プレビプレイランドコーナー
gifu_7,岐阜県,アピタ各務原,岐阜県各務原市鵜沼各務原町８丁目７番地　玩具売場
gifu_8,岐阜県,モーリーファンタジー各務原,岐阜県各務原市那加萱場町３－８イオンモール３Ｆ
gifu_9,岐阜県,イオン各務原,岐阜県各務原市那加萱場町３－８玩具売場
gifu_10,岐阜県,イオン関,岐阜県関市倉知５１６　サンサンシティ・マーゴ　イオン１Ｆ玩具売場
gifu_11,岐阜県,モーリーファンタジー関,岐阜県関市倉知５１６　サンサンシティ・マーゴイオン１Ｆ
gifu_12,岐阜県,セガマーゴ関,岐阜県関市倉知５１６番地
gifu_13,岐阜県,アピタ岐阜,岐阜県岐阜市加納神明町６丁目１番地　玩具売場
gifu_14,岐阜県,プレビ　Ｖタウン芥見,岐阜県岐阜市芥見南山２－１－８　Ｖタウン芥見店内　プレビプレイランドコーナー
gifu_15,岐阜県,モーリーファンタジー岐阜,岐阜県岐阜市正木中１－２－１　　マーサ２１　北館　３Ｆイオン岐阜３Ｆ
gifu_16,岐阜県,ピアゴ長良,岐阜県岐阜市福光東1丁目26番7号
gifu_17,岐阜県,イトーヨーカドー柳津,岐阜県岐阜市柳津町丸野３－３－６玩具売場
gifu_18,岐阜県,バロー領下,岐阜県岐阜市領下４丁目５５
gifu_19,岐阜県,ピアゴ恵那,岐阜県恵那市長島町正家二丁目２番地１７　玩具売場
gifu_20,岐阜県,ルビットランド高山,岐阜県高山市岡本町３丁目１８－２ルビットタウン２Ｆ
gifu_21,岐阜県,平和堂高富,岐阜県山県市高木１４７３　玩具売場
gifu_22,岐阜県,ピアゴ瑞浪,岐阜県瑞浪市薬師町二丁目７２番地　玩具売場
gifu_23,岐阜県,ピアゴ多治見,岐阜県多治見市住吉町三丁目１９番地の１　玩具売場
gifu_24,岐阜県,モーリーファンタジー多治見,岐阜県多治見市西坂町５－３１－１多治見インター店２Ｆ
gifu_25,岐阜県,モーリーファンタジー大垣,岐阜県大垣市外野２丁目１００番イオン２Ｆ
gifu_26,岐阜県,カラフルパーク大垣店,岐阜県大垣市三塚町丹瀬４６３－１イオンタウン大垣１Ｆ
gifu_27,岐阜県,アル・プラザ鶴見,岐阜県大垣市鶴見町字上渡瀬６４１－２　玩具売場
gifu_28,岐阜県,にこぱアクアウォーク大垣店,岐阜県大垣市林町６丁目８０番２１
gifu_29,岐阜県,セガワールドアクアウォーク大垣,岐阜県大垣市林町六丁目８０番２１　アクアウォーク大垣２Ｆ
gifu_30,岐阜県,アピタ大垣,岐阜県大垣市林町六丁目８０番２１号　玩具売場
gifu_31,岐阜県,バローランド中津川,岐阜県中津川市淀川町３－８ルビットタウン２Ｆ
gifu_32,岐阜県,アピタ北方,岐阜県本巣郡北方町平成２丁目３番地　玩具売場
gifu_33,岐阜県,平和堂大野,岐阜県揖斐郡大野町大字黒野字上柿木１２－１　玩具売場
