key,prefecture,name,address
ishikawa_0,石川県,イオンかほく,石川県かほく市内日角タ２５玩具売場
ishikawa_1,石川県,モーリーファンタジーかほく,石川県かほく市内日角地内タ２５番イオン２Ｆ
ishikawa_2,石川県,アル・プラザ加賀,石川県加賀市作見町ル２５－１
ishikawa_3,石川県,レジャーランド加賀,石川県加賀市箱宮町ヲ１番－１
ishikawa_4,石川県,アミュージアム津幡,石川県河北郡津幡町北中条１－１アル・プラザ津幡店２Ｆ
ishikawa_5,石川県,モーリーファンタジー杜の里,石川県金沢市もりの里１丁目７０番地イオン２Ｆ
ishikawa_6,石川県,セガイオンタウン金沢示野,石川県金沢市示野中町８７街区２号
ishikawa_7,石川県,セガワールド金沢,石川県金沢市諸江町３０－１
ishikawa_8,石川県,アル・プラザ金沢,石川県金沢市諸江町３０－１　玩具売場
ishikawa_9,石川県,ハローズガーデン金沢,石川県金沢市中村町10-20　アピタ金沢店内2F
ishikawa_10,石川県,アピタ金沢,石川県金沢市中村町１０番２０号　玩具売場
ishikawa_11,石川県,レジャーランド藤江新館,石川県金沢市藤江南２－１０５
ishikawa_12,石川県,イオン金沢,石川県金沢市福久２－５８玩具売場
ishikawa_13,石川県,プリハピ,石川県金沢市堅町２４番地１Ｆ
ishikawa_14,石川県,金沢メトロポリス,石川県金沢市無量寺４丁目１２１番地１
ishikawa_15,石川県,アル・プラザ鹿島,石川県鹿島郡中能登町井田と部１－１　玩具売場
ishikawa_16,石川県,ピアゴ七尾,石川県七尾市御祓町１番地　玩具売場
ishikawa_17,石川県,アミュージアム小松,石川県小松市園町ハ２３－１アル・プラザ小松２Ｆ
ishikawa_18,石川県,アルプラザ小松,石川県小松市園町八２３番地１
ishikawa_19,石川県,楽市楽座イオンモール新小松,石川県小松市沖周辺土地区画整理事業区域内２０街区　イオンモール新小松店２階
ishikawa_20,石川県,モーリーファンタジー新小松,石川県小松市沖周辺土地区画整理事業地内仮換地20街区イオンモール3階
ishikawa_21,石川県,イオン御経塚,石川県石川郡野々市町御経塚２－９１玩具売場
ishikawa_22,石川県,イオン松任,石川県白山市平松町１０２－１玩具売場
ishikawa_23,石川県,モーリーファンタジー・ｆ御経塚,石川県野々市市御経塚２丁目９１番地　イオン１Ｆ
ishikawa_24,石川県,アピナ野々市,石川県野々市市白山町４－１イオンタウン野々市店内
