key,prefecture,name,address
nagano_0,長野県,アピナ穂高,長野県安曇野市穂高２４５０
nagano_1,長野県,アピタ伊那,長野県伊那市伊那下川原５１９８番地玩具売場
nagano_2,長野県,アピナ伊那,長野県伊那市西町５０９３
nagano_3,長野県,アピナ塩尻店,長野県塩尻市広丘野村１７９４－１
nagano_4,長野県,アピタ岡谷,長野県岡谷市銀座一丁目１番５号　玩具売場
nagano_5,長野県,AGスクエア岡谷,長野県岡谷市塚間町2-1-21
nagano_6,長野県,アピタ高森,長野県下伊那郡高森町山吹４５１５番地　玩具売場
nagano_7,長野県,タカラ島駒ヶ根,長野県駒ヶ根市赤穂１５６８ベルシャイン駒ヶ根１Ｆ
nagano_8,長野県,キラキラＡｓｏｂｏｘ佐久,長野県佐久市岩村田６－２ 佐久ステーションパーク内
nagano_9,長野県,ＰＡＬＯ佐久,長野県佐久市岩村田６－２ステーションパーク佐久
nagano_10,長野県,アピナ佐久インター,長野県佐久市岩村田北１－１３－１
nagano_11,長野県,イオン佐久平,長野県佐久市佐久平駅南１１－１０玩具売場
nagano_12,長野県,イトーヨーカドー南松本,長野県松本市高宮中１－２０玩具売場
nagano_13,長野県,セガ松本,長野県松本市渚１－７－１
nagano_14,長野県,プリズムストーン  松本店,長野県松本市深志1-3-11 コングロM 3F
nagano_15,長野県,アピナ松本,長野県松本市双葉１９－１０
nagano_16,長野県,モーリーファンタジー南松本,長野県松本市双葉５－２０イオン２Ｆ
nagano_17,長野県,楽市楽座イオンモール松本,長野県松本市中央４－９－５１　イオンモール松本店　風庭２F
nagano_18,長野県,モーリーファンタジー松本,長野県松本市中央４－９－５１イオンスタイル松本店内３Ｆ
nagano_19,長野県,アピナ上田,長野県上田市秋和３５９－１
nagano_20,長野県,モーリーファンタジー上田,長野県上田市常田２－１２－１８イオン２Ｆ
nagano_21,長野県,イオン上田,長野県上田市常田２－１２－１８玩具売場
nagano_22,長野県,セガワールド上田,長野県上田市大字上田１８４７－１
nagano_23,長野県,イトーヨーカドーアリオ上田,長野県上田市天神３－５１玩具売場
nagano_24,長野県,ＰＡＬＯ諏訪,長野県諏訪市沖田町５－１８ステーションパーク・諏訪１Ｆ・２Ｆ
nagano_25,長野県,こどもや諏訪,長野県諏訪市沖田町５－１９　諏訪ステーションパーク内
nagano_26,長野県,モーリーファンタジー中野,長野県中野市大字一本木２５２－１イオン２Ｆ
nagano_27,長野県,イトーヨーカドー長野,長野県長野市権堂町２２０１玩具売場
nagano_28,長野県,ファンタジープラザ長野,長野県長野市高田１７５８番地　ＭＥＧＡドン・キホーテ長野店内
nagano_29,長野県,ＳＯＹＵＧａｍｅＦｉｅｌｄ長野三輪,長野県長野市三輪九丁目４３番２４号イオンタウン長野三輪２Ｆ
nagano_30,長野県,アピナ長野大橋,長野県長野市若里７－９－１２
nagano_31,長野県,アピナ長野川中島,長野県長野市川中島町御厨９６７－１
nagano_32,長野県,アピナ長野村山店,長野県長野市村山５０２－１
nagano_33,長野県,ＭＥＧＡドン・キホーテ長野,長野県長野市大字高田１７５８
nagano_34,長野県,ＴＨＥ３ＲＤＰＬＡＮＥＴ長野大通り店,長野県長野市大字鶴賀権堂町１５０６番地３　長電権堂弟２ビル１階
nagano_35,長野県,タイトーステーション　アイシティ２１松本店,長野県東筑摩郡山形村７９７７
nagano_36,長野県,アピナ飯田,長野県飯田市座光寺３７２８－１
nagano_37,長野県,イオン飯田,長野県飯田市上郷飯沼１５７５玩具売場
nagano_38,長野県,モーリーファンタジー飯田アップルロード,長野県飯田市鼎一色４５６　　イオン２Ｆ
nagano_39,長野県,アピタ飯田,長野県飯田市鼎名古熊２４６１番地　玩具売場
