series,prefecture,name,address
prichan,青森県,ＰＡＬＯむつ,青森県むつ市中央２丁目７番８号
prichan,青森県,ＰＡＬＯ五所川原,青森県五所川原市大字唐笠柳字藤巻６４１番１アクロスプラザ五所川原
prichan,青森県,ＰＡＬＯ黒石,青森県黒石市富士見１０３番地３アクロスプラザ黒石
prichan,青森県,ＳＯＹＵＧａｍｅＦｉｅｌｄ弘前樋の口,青森県弘前市樋の口２－９－６イオンタウン弘前樋の口内
prichan,青森県,イオン下田,青森県上北郡おいらせ町中野平４０－１玩具売場
prichan,青森県,イオン青森,青森県青森市緑３－９－２玩具売場
prichan,青森県,イトーヨーカドー弘前,青森県弘前市大字駅前３－２－１玩具売場
prichan,青森県,イトーヨーカドー青森,青森県青森市浜田１－１４－１玩具売場
prichan,青森県,イトーヨーカドー八戸沼館,青森県八戸市沼館４－７－１１１玩具売場
prichan,青森県,キラキラＡｓｏｂｏｘ八戸,青森県八戸市大字十三日町１６チーノはちのへ６Ｆ
prichan,青森県,ゲームランドつがる柏,青森県つるが市柏稲盛幾世４１イオンモールつがる柏シネマ棟１Ｆ
prichan,青森県,スカロップ弘前,青森県弘前市城東北３－１０－１　さくら野弘前店３Ｆ
prichan,青森県,スペースファンタジーインフィニ,青森県弘前市城東北３－１０－１さくら野弘前店４Ｆ
prichan,青森県,セガ弘前,青森県弘前市末広１－３－３
prichan,青森県,ソユーゲームフィールド青森,青森県青森市浜田１－１４－１イトーヨーカドー青森店２Ｆ
prichan,青森県,ソユーゲームフィールド八戸,青森県八戸市沼館４－７－１１２
prichan,青森県,タイトーステーション青森アムゼ,青森県青森市緑３丁目９番地の２サンロード青森アムゼ内
prichan,青森県,タイトーステーション青森ガーラモール,青森県青森市三好２－３－１９
prichan,青森県,トイザらス青森,青森県青森市三好２－３－１１　ガーラタウン
prichan,青森県,ハロータイトーイオン七戸十和田駅前,青森県上北郡七戸町字荒熊内67番地９９０イオン七戸十和田駅前店内
prichan,青森県,ハロータイトーむつ,青森県むつ市小川町2-4-8前田百貨店内４F
prichan,青森県,ファンタジードーム八戸,青森県八戸市江陽２－１４－１ラピア八戸店別棟
prichan,青森県,マエダ本店,青森県むつ市小川町２丁目４－８
prichan,青森県,モーリーファンタジーつがる柏,青森県つがる市柏稲盛幾世４１－１イオン１Ｆ
prichan,青森県,モーリーファンタジー下田,青森県上北郡おいらせ町中野平４０－１イオン２Ｆ
prichan,青森県,モーリーファンタジー三春屋,青森県八戸市十三日町十三番地三春屋５Ｆ
prichan,青森県,モーリーファンタジー三沢,青森県三沢市松園町３－１０－１ビードルプラザ三沢店１Ｆ
prichan,青森県,モーリーファンタジー十和田,青森県十和田市大字相坂字六日町山１６６番１ＳｕＣ１Ｆ
prichan,青森県,モーリーファンタジー鶴田,青森県北津軽郡鶴田町大字鶴田字中泉２４５番地１鶴田フットリバーモール店１Ｆ
prichan,青森県,モーリーファンタジー藤崎,青森県南津軽郡藤崎町大字西豊田１－７－１イオン２Ｆ
prichan,青森県,モーリーファンタジー八戸田向,青森県八戸市大字田向字毘沙門平２７－１イオン１Ｆ
prichan,青森県,モーリーファンタジー平賀,青森県平川市小和森上松岡１９３－１　イオンタウン平賀店1階
prichan,青森県,ユーズランド下田,青森県上北郡おいらせ町中野平４０－１イオンモール下田１Ｆ
prichan,青森県,ラセラキッズ,青森県青森市八重田4-2-1　ラ・セラショッピングセンター東バイパス店内
prichan,青森県,青森メトロポリス,青森県青森市三好１－１５－８
