series,prefecture,name,address
prichan,愛媛県,アミパラ松山,愛媛県松山市生石町６５５－１
prichan,愛媛県,イオン松山,愛媛県松山市天山１丁目１３番５号
prichan,愛媛県,エミフルＭＡＳＡＫＩ,愛媛県伊予郡松前町筒井８５０番　玩具売場
prichan,愛媛県,ソユーフォレストハンター松前,愛媛県伊予郡松前町筒井８５０番地エミフルＭＡＳＡＫＩＡＭ棟１Ｆ
prichan,愛媛県,タイトーステーション衣山,愛媛県松山市衣山１丁目１８８　パルティフジ内
prichan,愛媛県,ハローズ今治,愛媛県今治市土橋町１－４－２６
prichan,愛媛県,ふぇすたらんど今治,愛媛県今治市馬越町４－８－１イオン今冶店３Ｆ
prichan,愛媛県,ふぇすたらんど新居浜本店,愛媛県新居浜市上泉町１２－１マルナカ新居浜本店２Ｆ
prichan,愛媛県,フジグラン今治,愛媛県今治市東門町５丁目１３番地１号
prichan,愛媛県,フジグラン重信,愛媛県東温市野田３丁目１－１３
prichan,愛媛県,フジグラン松山,愛媛県松山市宮西１－２－１　玩具売場
prichan,愛媛県,フジグラン新居浜,愛媛県新居浜市新須賀町２丁目１０番７号
prichan,愛媛県,フジグラン西条,愛媛県西条市新田字北新田２３５番地
prichan,愛媛県,フジグラン川之江,愛媛県四国中央市妻鳥町１１３６－１　玩具売場
prichan,愛媛県,フジグラン大洲,愛媛県大洲市中村２４６－１　玩具売場
prichan,愛媛県,フジグラン北宇和島,愛媛県宇和島市伊吹町甲９１２番地２
prichan,愛媛県,フジグラン北浜,愛媛県八幡浜市北浜一丁目４番３３号
prichan,愛媛県,プラサカプコン新居浜,愛媛県新居浜市前田町８－８イオンモール新居浜２Ｆ
prichan,愛媛県,プレビクールス・モール,愛媛県東温市奈良１１２５クールスモール２Ｆゲームコーナー
prichan,愛媛県,ポップンパーク三島,愛媛県四国中央市寒川町字神ノ木３５－５
prichan,愛媛県,ポップンパーク東石井,愛媛県松山市東石井６丁目１６番３９号
prichan,愛媛県,モーリーファンタジー今治新都市,愛媛県今治市にぎわい広場１番地１イオンモール2階
prichan,愛媛県,モーリーファンタジー松山,愛媛県松山市天山１丁目１３番５号
prichan,愛媛県,モーリーファンタジー新居浜,愛媛県新居浜市前田町８番８号
prichan,愛媛県,モーリーファンタジー南松山,愛媛県松山市朝生田町５丁目１番２５号
prichan,愛媛県,楽市楽座イオンモール今治,愛媛県今治市にぎわい広場１－１イオンモール今治新都市店２階２０２３
