series,prefecture,name,address
prichan,茨城県,ＦＥＳＴＡ古河,茨城県古河市松並２－１８－１０マーケットシティ古河内
prichan,茨城県,ＪＯＹＦＵＬ－２ニューポートひたちなか,茨城県ひたちなか市新光町３４－１　玩具売場
prichan,茨城県,ＭＥＧＡドン・キホーテ勝田,茨城県ひたちなか市石川町１－１
prichan,茨城県,MEGAドン・キホーテ勝田,茨城県ひたちなか市石川町１－１
prichan,茨城県,ＳＥＡＭＡＲＫＳＱＵＡＲＥ,茨城県日立市東滑川町5丁目1994番外24筆
prichan,茨城県,ＳＯＹＵＴＯＹ’ｓＮＹ守谷,茨城県守谷市百合ヶ丘三丁目２４９番１　イオンタウン守谷２Ｆ
prichan,茨城県,ゲームコーナードラキッズ,茨城県守谷市久保ヶ丘２－１－１カスミフードスクエアー守谷テラス店内１Ｆ
prichan,茨城県,アピナ下館,茨城県筑西市玉戸１０１２－３
prichan,茨城県,イオンつくば,茨城県つくば市稲岡６６－１玩具売場
prichan,茨城県,イオン下妻,茨城県下妻市堀篭９７２－１玩具売場
prichan,茨城県,イオン古河,茨城県古河市旭町１－２－１７玩具売場
prichan,茨城県,イオン高萩,茨城県高萩市安良川２３１－１玩具売場
prichan,茨城県,イオン水戸内原,茨城県水戸市中原町字西１３５玩具売場
prichan,茨城県,イオン土浦,茨城県土浦市上高津３６７番　イオン３Ｆ玩具売場
prichan,茨城県,イオン東海,茨城県那珂郡東海村舟石川駅東４－１－１玩具売場
prichan,茨城県,イトーヨーカドー日立,茨城県日立市幸町１－１６－１玩具売場
prichan,茨城県,イトーヨーカドー竜ヶ崎,茨城県龍ケ崎市小柴５－１－２玩具売場
prichan,茨城県,カインズホーム日立,茨城県日立市留町字前川１２７０－２
prichan,茨城県,ゲームパニックつくば,茨城県土浦市中村東１－１－１サンタスワールド内
prichan,茨城県,こころっこ日立,茨城県日立市幸町１－１６－１イトーヨーカドー日立店５階プレビプレイランドコーナーこころっこ
prichan,茨城県,ジャムジャムつくば,茨城県つくば市竹園1-9-2ディズタウンつくばB1F
prichan,茨城県,ジャムジャムひたちなか本店新館,茨城県ひたちなか市田中後４０－２
prichan,茨城県,ジャングルパーク笠間,茨城県笠間市赤坂８番地笠間ＳＣポレポレシティ１階
prichan,茨城県,スコナランド行方,茨城県行方市麻生３２８８番－５０セイミヤモール麻生店１Ｆ
prichan,茨城県,スコナランド石下,茨城県常総市本石下４４２１番地１メガセンタートライアル石下店２F
prichan,茨城県,スタジオプリモマイム水戸,茨城県水戸市宮町１－２－４マイム１Ｆ
prichan,茨城県,セガワールド日立,茨城県日立市田尻町３－２６－１
prichan,茨城県,セガ石岡,茨城県石岡市東大橋中峯１９７６－１
prichan,茨城県,セガ龍ヶ崎,茨城県龍ヶ崎市藤ヶ丘４－２－８
prichan,茨城県,タイトーステーションイオンタウン水戸南,茨城県東茨城郡茨城町長岡３４８０－１０１イオンタウン水戸南ショッピングセンター
prichan,茨城県,タイトーステーション佐原東,茨城県稲敷市西代１４９５ショッピングセンターパルナ２Ｆ
prichan,茨城県,テックランド水戸本店,茨城県水戸市笠原町２０９
prichan,茨城県,ハローズガーデン江戸崎,茨城県稲敷市江戸崎甲４８３６番地パンプ江戸崎ショッピングセンター１階
prichan,茨城県,ハローズガーデン竜ヶ崎,茨城県龍ケ崎市小柴５－１－２ショッピングセンターサプラ２階
prichan,茨城県,ビックカメラ水戸駅前,茨城県水戸市宮町１－７－３１エクセルみなみ
prichan,茨城県,ピンクパンサーつくばみらい,茨城県つくばみらい市TXみらい平駅前ピアシティー内
prichan,茨城県,ピンクパンサー水戸けやき台,茨城県水戸市酒門町３２７６－１
prichan,茨城県,ピンクパンサー土浦,茨城県土浦市木田余４５８５－３
prichan,茨城県,ピンクパンサー日立,茨城県日立市東多賀町５－１０－１０
prichan,茨城県,プレビ常陸大宮ＳＣピサーロ,茨城県常陸大宮市下村田２３８７常陸大宮ショッピングセンター　ピサーロ１階
prichan,茨城県,モーリーファンタジーつくば,茨城県つくば市稲岡６６－１イオン３Ｆ
prichan,茨城県,モーリーファンタジー下妻,茨城県下妻市堀籠９７２－１イオン２Ｆ
prichan,茨城県,モーリーファンタジー古河,茨城県古河市旭町１－２－１７　イオン２Ｆ
prichan,茨城県,モーリーファンタジー高萩,茨城県高萩市安良川231 イオン２F
prichan,茨城県,モーリーファンタジー佐原東,茨城県稲敷市西代１４９５パルナ２Ｆ
prichan,茨城県,モーリーファンタジー水戸内原,茨城県水戸市内原２丁目１番地　イオン３Ｆ
prichan,茨城県,モーリーファンタジー土浦,茨城県土浦市上高津３６７番イオン３Ｆ
prichan,茨城県,モーリーファンタジー東海,茨城県那珂郡東海村舟石川駅東四丁目１番１号　イオン２Ｆ
prichan,茨城県,ユーズランド水戸内原,茨城県水戸市中原町字西１３５番地イオンモール水戸内原２Ｆ
prichan,茨城県,楽市楽座イオンモール土浦,茨城県土浦市上高津３６７番地イオンモール土浦店３階
prichan,茨城県,新利根SC,茨城県稲敷市角崎１６７８番地
prichan,茨城県,水戸京成百貨店７階玩具売場,茨城県水戸市泉町１－６－１水戸京成百貨店７Ｆ玩具売場
prichan,茨城県,西友ひたち野うしく,茨城県牛久市ひたち野東２２－１玩具売場
prichan,茨城県,宝島鹿嶋,茨城県鹿嶋市宮中２９０－１ショッピングセンターチェリオ１階
prichan,茨城県,宝島勝田,茨城県ひたちなか市石川町１－１　ＭＥＧＡドン・キホーテ勝田店２階
