series,prefecture,name,address
prichan,香川県,ふぇすたらんど白鳥,香川県東かがわ市白鳥１４４－１マルナカ白鳥店１F
prichan,香川県,ふぇすたらんど三木,香川県木田郡三木町氷上４８２－２マルナカ三木店内
prichan,香川県,アミュージアム高松店,香川県高松市伏石町２１４４－９ 　１Ｆ
prichan,香川県,イオン綾川,香川県綾歌郡綾川町萱原８２２－１玩具売場
prichan,香川県,イオン高松,香川県高松市香西本町１－１玩具売場
prichan,香川県,タイトーステーション丸亀,香川県丸亀市川西町南１２８０番地１　フジグラン丸亀　バッハ棟２Ｆ
prichan,香川県,トイザらス丸亀,香川県丸亀市蓬莱町５６－１　パブリックプラザ丸亀内
prichan,香川県,ハローズ円座,香川県高松市円座町８４５－３
prichan,香川県,ハローズ高松春日,香川県高松市春日町１０７２－１
prichan,香川県,フジグラン丸亀,香川県丸亀市川西町南１２８０－１　玩具売場
prichan,香川県,フジグラン十川,香川県高松市十川東町５５番地１　玩具売場
prichan,香川県,プリズムストーン  高松,香川県高松市常磐町1-3-1瓦町FLAG3F　アニメガ高松店内
prichan,香川県,ペリカン丸亀,香川県丸亀市新田町１５０ゆめタウン丸亀内３Ｆ　玩具売場
prichan,香川県,ペリカン高松,香川県高松市三条町字中所６０８－１ゆめタウン高松内２Ｆ　玩具売場
prichan,香川県,ペリカン三豊,香川県三豊市豊中町本山甲２２番地ゆめタウン２Ｆ　玩具売場
prichan,香川県,ポップンパーク丸亀,香川県丸亀市新浜町1丁目803-2パワーシティ丸亀店2階
prichan,香川県,ポップンパーク坂出,香川県坂出市江尻町新開1166-1
prichan,香川県,ポップンパーク豊中,香川県三豊市豊中町本山甲国繋９４４
prichan,香川県,モーリーファンタジー・ｆ綾川,香川県綾歌郡綾川町萱原８２２－１イオンＳＣ３Ｆ
prichan,香川県,モーリーファンタジー綾川,香川県綾歌郡綾川町萱原８２２－１イオン３Ｆ
prichan,香川県,モーリーファンタジー高松,香川県高松市香西本町１－１イオン３Ｆ
prichan,香川県,モーリーファンタジー高松東,香川県高松市福岡町３-８-５イオン３F
prichan,香川県,ヤマダ電機テックランドＮｅｗ高松レインボー通り,香川県高松市伏石町２０８４
