series,prefecture,name,address
prichan,鹿児島県,ふぇすたらんど西加治木,鹿児島県姶良市梶木町木田159番地2タイヨー西加治木店２F
prichan,鹿児島県,ＴＨＥ３ＲＤＰＬＡＮＥＴジャングルパーク鹿児島,鹿児島県鹿児島市与次郎１丁目１１番１号フレスポジャングルパーク２Ｆ
prichan,鹿児島県,ＴＨＥ３ＲＤＰＬＡＮＥＴフレスポ国分,鹿児島県霧島市国分広瀬2丁目４番１号フレスポ国分内
prichan,鹿児島県,ダイエープラザ大島,鹿児島県奄美市名瀬小浜町２３－１玩具売場
prichan,鹿児島県,タイトーＦステーション出水,鹿児島県出水市六月田町３４７
prichan,鹿児島県,タイトーステーションアミュプラザ鹿児島,鹿児島県鹿児島市中央町１－１アミュプラザ鹿児島本館６階
prichan,鹿児島県,タイヨー浦上,鹿児島県奄美市名瀬大字浦上字緑1133-4
prichan,鹿児島県,ビックカメラ鹿児島中央駅,鹿児島県鹿児島市中央町１－１　１階トイズコーナー
prichan,鹿児島県,モーリーファンタジー姶良,鹿児島県姶良市西餅田264-1イオン3階
prichan,鹿児島県,モーリーファンタジー鹿児島,鹿児島県鹿児島市東開町７イオンモール３Ｆ
prichan,鹿児島県,モーリーファンタジー鹿児島鴨池,鹿児島県鹿児島市鴨池２－２６－３０
prichan,鹿児島県,モーリーファンタジー隼人国分,鹿児島県霧島市隼人町見次１２２９イオン２Ｆ
prichan,鹿児島県,楽市楽座イオンタウン姶良,鹿児島県姶良市東餅田３３６　イオンタウン姶良店２階
