series,prefecture,name,address
prichan,高知県,アミュージアム高知,高知県高知市介良乙３１７－１
prichan,高知県,イオン高知,高知県高知市秦南町１－４－８玩具売場
prichan,高知県,セガワールドフジグラン,高知県高知市朝倉東町５２－１５フジグラン高知３階
prichan,高知県,タイトーＦステーション野市,高知県香南市野市町西野２００７－１　フジグラン野市店内
prichan,高知県,フジグラン葛島,高知県高知市小倉町３番３０号　玩具売場
prichan,高知県,フジグラン高知,高知県高知市朝倉東町５２－１５　玩具売場
prichan,高知県,フジグラン四万十,高知県四万十市具同２２２２番地
prichan,高知県,フジグラン野市,高知県香南市野市町西野２００７－１　玩具売場
prichan,高知県,フジ須崎,高知県須崎市西町二丁目７番１５号
prichan,高知県,プラサカプコン高知,高知県高知市秦南町１－４－８　イオンモール高知２Ｆ
prichan,高知県,ポップンパーク佐川,高知県高岡郡佐川町甲385-1マルナカ佐川店内
prichan,高知県,モーリーファンタジー高知,高知県高知市秦南町１丁目４－８イオン２Ｆ
