series,prefecture,name,address
prichan,京都府,ＴＨＥ３ＲＤＰＬＡＮＥＴＢｉＶｉ京都二条,京都府京都市中京区西ノ京栂尾町１－６
prichan,京都府,ＴＨＥ３ＲＤＰＬＡＮＥＴＢｉｖi京都二条,京都府京都市中京区西ノ京栂尾町1-6
prichan,京都府,アピタ精華台,京都府相楽郡精華町精華台９丁目２番地４玩具売場
prichan,京都府,アミパラ久御山,京都府久世郡久御山町森大内３３７イオンタウン久御山内
prichan,京都府,アミュージアム木津川店,京都府木津川市州見台１丁目１番地１－１　ガーデンモール木津川２
prichan,京都府,アル・プラザ亀岡,京都府亀岡市篠町野条上又１１－１　玩具売場
prichan,京都府,アル・プラザ京田辺,京都府京田辺市田辺中央５－２－１　玩具売場
prichan,京都府,アル・プラザ城陽,京都府城陽市富野荒見田１１２　玩具売場
prichan,京都府,アル・プラザ醍醐,京都府京都市伏見区醍醐高畑町１－３７
prichan,京都府,アルプラザ木津,京都府木津川市相楽城西１５番地
prichan,京都府,イオン京都五条,京都府京都市右京区西院追分町２５－１　イオン２Ｆ玩具売場
prichan,京都府,イオン高の原,京都府木津川市相楽台１－１－１
prichan,京都府,イオン伏見,京都府京都市伏見区御堂前町６１６玩具売場
prichan,京都府,イオン洛南,京都府京都市南区吉祥院御池町３１玩具売場
prichan,京都府,イズミヤ高野,京都府京都市左京区高野東開町１６番地
prichan,京都府,イズミヤ長岡,京都府長岡京市開田４丁目７番１号
prichan,京都府,イズミヤ八幡,京都府八幡市八幡一ノ坪２３－１　玩具売場
prichan,京都府,エール東舞鶴,京都府舞鶴市南浜町２７番地５
prichan,京都府,エール峰山,京都府京丹後市峰山町新町１６０６－１
prichan,京都府,ゲームパニック京都,京都府京都市中京区桜之町４１５番京都松竹座ビル
prichan,京都府,ジョーシン宇治,京都府宇治市宇治樋ノ尻７９－１ホームセンターコーナン２階
prichan,京都府,ジョーシン亀岡,京都府亀岡市余部町樋又８０
prichan,京都府,セガワールド六地蔵,京都府京都市伏見区桃山町山ノ下３２　京都ショッピングセンタービルＡＭ棟２Ｆ
prichan,京都府,ビックカメラＪＲ京都駅,京都府京都市下京区東塩小路町９２７
prichan,京都府,プラサカプコン京都,京都府京都市右京区西院追分町２５－１イオンモール京都五条３Ｆ
prichan,京都府,プレイランド京都,京都府京都市右京区山ノ内池尻町１－１京都ファミリー３Ｆ
prichan,京都府,モーリーファンタジー綾部,京都府綾部市綾中町花ノ木３０バザールタウン綾部店２Ｆ
prichan,京都府,モーリーファンタジー久御山,京都府久世郡久御山町森南大内１５６－１イオン２Ｆ
prichan,京都府,モーリーファンタジー京都桂川,京都府京都市南区久世高田町３７６番　イオン３階
prichan,京都府,モーリーファンタジー京都五条,京都府京都市右京区西院追分町２５－１イオン２Ｆ
prichan,京都府,モーリーファンタジー桂南,京都府京都市南区久世上久世町４８５
prichan,京都府,モーリーファンタジー高の原,京都府木津川市相楽台１－１－１
prichan,京都府,モーリーファンタジー福知山,京都府福知山市岩井７９－８イオン２Ｆ
prichan,京都府,モーリーファンタジー洛南,京都府京都市南区吉祥院御池町３１イオン２Ｆ
prichan,京都府,ヨドバシカメラマルチメディア京都,京都府京都市下京区烏丸通り七条下ル東塩小路町５９０－２
prichan,京都府,ライフ太秦,京都府京都市右京区太秦安井池田町６
prichan,京都府,ライフ二条駅前,京都府京都市中京区西ノ京星池町２４８
prichan,京都府,楽市楽座イオンモール京都桂川,京都府京都市南区久世高田町３７６番１イオンモール京都桂川店３階
prichan,京都府,大丸京都,京都府京都市下京区四条通高倉西入立売西町７９番地玩具売り場
prichan,京都府,北大路ビブレ４Ｆゲームコーナー,京都府京都市北区小山北上総町４９－１　北大路ビブレ４Ｆビブレコーゼ レジ
