series,prefecture,name,address
prichan,長野県,ＭＥＧＡドン・キホーテＵＮＹ気噴,長野県岡谷市銀座一丁目１番５号玩具売場
prichan,長野県,ＭＥＧＡドン・キホーテ長野,長野県長野市大字高田１７５８
prichan,長野県,ＰＡＬＯ佐久,長野県佐久市岩村田６－２ステーションパーク佐久
prichan,長野県,ＰＡＬＯ諏訪,長野県諏訪市沖田町５－１８ステーションパーク・諏訪１Ｆ・２Ｆ
prichan,長野県,ＳＯＹＵＧａｍｅＦｉｅｌｄ長野三輪,長野県長野市三輪九丁目４３番２４号イオンタウン長野三輪２Ｆ
prichan,長野県,ＴＨＥ３ＲＤＰＬＡＮＥＴ長野大通り,長野県長野市大字鶴賀権堂町１５０６番地３長電権堂弟２ビル１階
prichan,長野県,アピタ伊那,長野県伊那市伊那下川原５１９８番地玩具売場
prichan,長野県,アピタ岡谷,長野県岡谷市銀座一丁目１番５号玩具売場
prichan,長野県,アピタ高森,長野県下伊那郡高森町山吹４５１５番地　玩具売場
prichan,長野県,アピタ飯田,長野県飯田市鼎名古熊2461番地
prichan,長野県,アピナ伊那,長野県伊那市西町５０９３
prichan,長野県,アピナ塩尻,長野県塩尻市広丘野村１７９４－１
prichan,長野県,アピナ佐久インター,長野県佐久市岩村田北１－１３－１
prichan,長野県,アピナ松本,長野県松本市双葉１９－１０
prichan,長野県,アピナ上田,長野県上田市秋和３５９－１
prichan,長野県,アピナ長野川中島,長野県長野市川中島町御厨９６７－１
prichan,長野県,アピナ長野村山,長野県長野市村山５０２－１
prichan,長野県,アピナ長野大橋,長野県長野市若里７－９－１２
prichan,長野県,アピナ飯田,長野県飯田市座光寺３７２８－１
prichan,長野県,アピナ穂高,長野県安曇野市穂高２４５０
prichan,長野県,イオン佐久平,長野県佐久市佐久平駅南１１－１０玩具売場
prichan,長野県,イオン上田,長野県上田市常田２－１２－１８玩具売場
prichan,長野県,イオン飯田,長野県飯田市上郷飯沼１５７５玩具売場
prichan,長野県,イオン豊科,長野県安曇野市豊科４２７２－１０玩具売場
prichan,長野県,イトーヨーカドーアリオ上田,長野県上田市天神３－５１玩具売場
prichan,長野県,イトーヨーカドー南松本,長野県松本市高宮中１－２０玩具売場
prichan,長野県,キラキラＡｓｏｂｏｘ佐久,長野県佐久市岩村田６－２ 佐久ステーションパーク内
prichan,長野県,こどもや諏訪,長野県諏訪市沖田町５－１９　諏訪ステーションパーク内
prichan,長野県,セガ松本,長野県松本市渚１－７－１
prichan,長野県,セガ上田,長野県上田市大字上田１８４７－１
prichan,長野県,タイトーステーションアイシティ２１松本,長野県東筑摩郡山形村７９７７
prichan,長野県,タイトーステーションイトーヨーカドー南松本,長野県松本市高宮中1-20イトーヨーカドー南松本店３F
prichan,長野県,タカラ島駒ヶ根,長野県駒ヶ根市赤穂１５６８ベルシャイン駒ヶ根１Ｆ
prichan,長野県,ファンタジープラザ長野,長野県長野市高田１７５８番地　ＭＥＧＡドン・キホーテ長野店内
prichan,長野県,プリズムストーン  松本,長野県松本市深志1-3-11 コングロM 3Fアニメガ松本店
prichan,長野県,モーリーファンタジー松本,長野県松本市中央４－９－５１イオンスタイル松本店内３Ｆ
prichan,長野県,モーリーファンタジー上田,長野県上田市常田２－１２－１８イオン２Ｆ
prichan,長野県,モーリーファンタジー中野,長野県中野市大字一本木２５２－１イオン２Ｆ
prichan,長野県,モーリーファンタジー南松本,長野県松本市双葉５－２０イオン２Ｆ
prichan,長野県,モーリーファンタジー飯田アップルロード,長野県飯田市鼎一色４５６　　イオン２Ｆ
prichan,長野県,モーリーファンタジー豊科,長野県安曇野市豊科４２７２－１０　　イオン２Ｆ
prichan,長野県,楽市楽座イオンモール松本,長野県松本市中央４－９－５１　イオンモール松本店　風庭２F
