series,prefecture,name,address
prichan,大分県,ＦＥＳＴＡコスモタウン佐伯,大分県佐伯市鶴岡西町２丁目１６３番地コスモタウン佐伯内
prichan,大分県,ＦＥＳＴＡフリーモールわさだ,大分県大分市大字木上字鉾手２１０２番地フリーモールわさだ内
prichan,大分県,イオンパークプレイス大分,大分県大分市公園通り西２－１　玩具売場
prichan,大分県,イオン高城,大分県大分市高城西町２８－１　玩具売場
prichan,大分県,セガワールド高城,大分県大分市牧１－１６１－８
prichan,大分県,セガワールド中津,大分県中津市沖代町１－２－１６
prichan,大分県,タイトーＦステーションセントポルタ大分,大分県大分市中央町２－１－１
prichan,大分県,タイトーステーションアミュプラザおおいた,大分県大分市要町１－１４　アミュプラザおおいた４F
prichan,大分県,プラサカプコン大分,大分県大分市公園通り西２丁目１番　パークプレイス大分２Ｆ
prichan,大分県,ペリカン中津,大分県中津市大字島田１３４－１ゆめタウン中津内３Ｆ　玩具売場
prichan,大分県,ペリカン別府,大分県別府市楠町３８２－７ゆめタウン別府内３Ｆ　玩具売場
prichan,大分県,ミスターマックス宇佐,大分県宇佐市大字法鏡寺５００
prichan,大分県,モーリーファンタジーパークプレイス大分,大分県大分市公園通り西２丁目－１イオン２Ｆ
prichan,大分県,モーリーファンタジー狭間,大分県由布市挾間町北方７７番地　玩具売場
prichan,大分県,モーリーファンタジー三光,大分県中津市三光佐知１０３２イオン三光店２F
prichan,大分県,モーリーファンタジー日田,大分県日田市南元町１４－２２イオン2階
prichan,大分県,ユーズランド三光,大分県中津市三光佐知１０３２イオンモール三光２Ｆ
