series,prefecture,name,address
prichan,埼玉県,ＡＭＰＩＡ川口,埼玉県川口市栄町３－１－１イート川口ビル４階
prichan,埼玉県,ＦＥＳＴＡ上尾,埼玉県上尾市愛宕３丁目１－４０　バリュープラザ上尾愛宕店内
prichan,埼玉県,MEGAドン･キホーテ浦和原山,埼玉県さいたま市緑区原山４－３－３
prichan,埼玉県,ＭＥＧＡドン・キホーテ蓮田,埼玉県蓮田市東４－５－１３
prichan,埼玉県,MEGAドン・キホーテ蓮田,埼玉県蓮田市東４－５－１３
prichan,埼玉県,ＮＩＣＯＰＡ＆ｎｉｃｏｇｒｏｕｎｄ所沢,埼玉県所沢市青葉台１３２７島忠ホームズ所沢２Ｆ
prichan,埼玉県,ＮＩＣＯＰＡ草加舎人,埼玉県草加市遊馬町２－１島忠ホームズ草加舎人店１Ｆ
prichan,埼玉県,ＰＡＬＯ熊谷,埼玉県熊谷市本石２－１３５イオン３Ｆ
prichan,埼玉県,ＰＡＬＯ埼玉大井,埼玉県ふじみ野市西鶴ケ岡１丁目３番１５号ビバモール埼玉大井ショッピングセンター２Ｆ
prichan,埼玉県,ＳＯＹＵＧａｍｅＦｉｅｌｄ熊谷店,埼玉県熊谷市埼玉県熊谷市銀座二丁目２４５番地ショッピングセンターニットーモール４Ｆ
prichan,埼玉県,ＴＨＥ３ＲＤＰＬＡＮＥＴフレスポ八潮,埼玉県八潮市大瀬８２２番地１フレスポ八潮３Ｆ
prichan,埼玉県,あそびライブラリー,埼玉県川口市宮町18-9ラらガーデン川口店2F
prichan,埼玉県,アピタ桶川,埼玉県桶川市大字下日出谷東 特定土地区画整理事業地内42街区1画地 都市計画事業
prichan,埼玉県,アピタ東松山,埼玉県東松山市あずま町４－３玩具売場
prichan,埼玉県,アピナ幸手,埼玉県幸手市上高野２１４２－１
prichan,埼玉県,アピナ上尾,埼玉県上尾市緑丘３－３－１１－２ＰＡＰＡ上尾ショッピングアベニュープリンセス棟別棟
prichan,埼玉県,アミュージアム鴻巣,埼玉県鴻巣市本町１－１－２　エルミこうのす３F
prichan,埼玉県,アミュージアム所沢,埼玉県所沢市小手指台２３－１マミーマート所沢山口店２Ｆ
prichan,埼玉県,アミュージアム新座,埼玉県新座市東北２－３２－１２
prichan,埼玉県,アミュージアム川口,埼玉県川口市本町２－７－２５ミエルかわぐち３Ｆ
prichan,埼玉県,イオンレイクタウン,埼玉県越谷市東町２－８玩具売場
prichan,埼玉県,イオン羽生,埼玉県羽生市川崎２－２８１－３玩具売場
prichan,埼玉県,イオン浦和美園,埼玉県さいたま市緑区大門３７１０玩具売場
prichan,埼玉県,イオン熊谷,埼玉県熊谷市本石２－１３５　　イオン３Ｆ玩具売場
prichan,埼玉県,イオン春日部,埼玉県春日部市下柳４２０－１玩具売場
prichan,埼玉県,イオン新座,埼玉県新座市東北２－３２－１２玩具売場
prichan,埼玉県,イオン川口,埼玉県川口市安行領根岸字外谷田３１８０－１玩具売場
prichan,埼玉県,イオン大井,埼玉県ふじみ野市ふじみ野１－２－１玩具売場
prichan,埼玉県,宝島ふじみ野,埼玉県ふじみ野市うれし野2-10-87 C202区画ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰｿﾖｶふじみ野2F
prichan,埼玉県,イオン入間,埼玉県入間市上藤沢４６２－１玩具売場
prichan,埼玉県,イオン北浦和,埼玉県さいたま市浦和区常盤１０－２０－２９玩具売場
prichan,埼玉県,イオン北戸田,埼玉県戸田市美女木東１－３－１玩具売場
prichan,埼玉県,イオン与野,埼玉県さいたま市中央区本町西５－２－９玩具売場
prichan,埼玉県,イトーヨーカドーアリオ上尾,埼玉県上尾市大字壱丁目３６７玩具売場
prichan,埼玉県,イトーヨーカドーアリオ深谷,埼玉県深谷市上柴町西４－２－１４玩具売場
prichan,埼玉県,イトーヨーカドーアリオ川口,埼玉県川口市並木元町１－７９玩具売場
prichan,埼玉県,イトーヨーカドーアリオ鷲宮,埼玉県久喜市久本寺谷田７番地１玩具売場
prichan,埼玉県,イトーヨーカドー浦和,埼玉県さいたま市浦和区仲町１－７－１玩具売場
prichan,埼玉県,イトーヨーカドー久喜,埼玉県久喜市中央４－９－１１玩具売場
prichan,埼玉県,イトーヨーカドー埼玉大井,埼玉県ふじみ野市西鶴ヶ丘１－３－１５
prichan,埼玉県,イトーヨーカドー三郷,埼玉県三郷市天神２－２２玩具売場
prichan,埼玉県,イトーヨーカドー春日部,埼玉県春日部市中央１－１３－１玩具売場
prichan,埼玉県,イトーヨーカドー上尾駅前,埼玉県上尾市谷津２－１－１玩具売場
prichan,埼玉県,イトーヨーカドー草加,埼玉県草加市高砂２－７－１玩具売場
prichan,埼玉県,イトーヨーカドー大宮宮原,埼玉県さいたま市北区宮原町１－８５４－１玩具売場
prichan,埼玉県,イトーヨーカドー和光,埼玉県和光市丸山台１－９－３玩具売場
prichan,埼玉県,ウェアハウス三橋,埼玉県さいたま市西区三橋６－９５５－１
prichan,埼玉県,キャッツアイ狭山,埼玉県狭山市入間川３１４１
prichan,埼玉県,ゲームシティプラス川越,埼玉県川越市埼玉県川越市泉町１－１ウニクス南古谷シネマ棟１Ｆ
prichan,埼玉県,ゲームシティ川口,埼玉県川口市埼玉県川口市栄町１－１０－５
prichan,埼玉県,ゲームスクエア三芳,埼玉県入間郡三芳町大字藤久保字北新埜８５５-４０３アクロスプラザ三芳内
prichan,埼玉県,ゲームパニック三郷,埼玉県三郷市彦野２－２５
prichan,埼玉県,ゲオ東越谷,埼玉県越谷市東越谷４－８－１７
prichan,埼玉県,ゲオ東松山,埼玉県東松山市松本町２丁目１番５１号
prichan,埼玉県,こころっこ東鷲宮,埼玉県久喜市桜田3-2-1イオン東鷲宮店内3F
prichan,埼玉県,こころっこ北本,埼玉県北本市深井６－８７ＨｅｙＷｏｒｌｄ店内プレビプレイランドコーナーこころっこ
prichan,埼玉県,コジマ×ビックカメラ新座,埼玉県新座市野火止６－１－１０
prichan,埼玉県,スコナランド新座,埼玉県新座市中野２－１－３８０ＳＣデオシティ新座３Ｆ
prichan,埼玉県,セガ花園,埼玉県深谷市荒川３５９
prichan,埼玉県,セガ入間,埼玉県入間市東藤沢２－１８
prichan,埼玉県,セガ与野,埼玉県さいたま市中央区本町西５－２－９　イオン与野ショッピングセンター３Ｆ
prichan,埼玉県,そごう大宮,埼玉県さいたま市大宮区桜木町1-6-2そごう大宮店5F玩具売場
prichan,埼玉県,ソユーゲームフィールド川口,埼玉県川口市並木元町１番７９号アリオ川口３Ｆ
prichan,埼玉県,ダイエー南浦和東口,埼玉県さいたま市南区南浦和３－２－１　玩具売場
prichan,埼玉県,タイトーＦステーションダイエー大宮,埼玉県さいたま市大宮区桜木町２－３ＤＯＭショッピングセンター６Ｆ
prichan,埼玉県,タイトーステーション 所沢,埼玉県所沢市日吉町3-7 スカイビュウビル
prichan,埼玉県,タイトーステーション　大宮,埼玉県さいたま市大宮区大門町１－１
prichan,埼玉県,タイトーステーション所沢,埼玉県所沢市日吉町３－７スカイビュウビル
prichan,埼玉県,タイトーステーション大宮,埼玉県さいたま市大宮区大門町１－１
prichan,埼玉県,タイトーステーション和光,埼玉県和光市丸山台１－４－５
prichan,埼玉県,テクモピア南越谷,埼玉県越谷市南越谷１－１５－１ラクーン南越谷２Ｆ
prichan,埼玉県,テックランド坂戸,埼玉県坂戸市八幡１－３－４５
prichan,埼玉県,トイザらス桶川,埼玉県桶川市西２－９－３６
prichan,埼玉県,トイザらス熊谷,埼玉県熊谷市代１０６７
prichan,埼玉県,トイザらス所沢,埼玉県所沢市北原町１４０４
prichan,埼玉県,トイザらス新座,埼玉県新座市野火止５－２－６０　ラ・ウ゛ィニュ２Ｆ
prichan,埼玉県,にこぱエムズタウン幸手店,埼玉県幸手市上高野７６４エムズタウン幸手
prichan,埼玉県,ハローズガーデンワカバウォーク,埼玉県鶴ケ島市富士見１－２－１ワカバウォーク北棟２階
prichan,埼玉県,ハローズガーデン深谷,埼玉県深谷市上紫町西４－２－１４アリオ深谷店２階
prichan,埼玉県,ハローズガーデン吹上,埼玉県鴻巣市袋字道上９０－１ＦＵＪＩＭＡＬＬ吹上店２Ｆ
prichan,埼玉県,ハローズガーデン本庄,埼玉県本庄市南１－２－１０　アピタ本庄店　１Ｆ
prichan,埼玉県,ハローズパシオス秩父,埼玉県秩父市永田町１０－２７
prichan,埼玉県,ビックカメラ大宮西口そごう,埼玉県さいたま市さいたま市大宮区桜木町１－８－４そごうパーキング館
prichan,埼玉県,プラサカプコン羽生,埼玉県羽生市川崎２－３８１－３イオンモール羽生２Ｆ
prichan,埼玉県,プレイランドイオン北浦和,埼玉県さいたま市浦和区常盤１０－２０－２９　イオン北浦和３Ｆ
prichan,埼玉県,プレイランド菖蒲,埼玉県久喜市菖蒲町菖蒲６００５番地１モラ―ジュ菖蒲３Ｆ
prichan,埼玉県,プレビALCo越谷ショッピングスクエア,埼玉県越谷市越谷１－１６－６ALCo越谷ショッピングスクエア内Ｂ１Ｆ
prichan,埼玉県,プレビイオンタウン蕨,埼玉県蕨市塚越５丁目６－３５イオンタウン蕨店内プレビゲームコーナー
prichan,埼玉県,ポップンパーク宮代キッズ,埼玉県南埼玉郡宮代町道佛５９５　フードスクエア宮代店１Ｆ
prichan,埼玉県,マルエツ朝霞,埼玉県朝霞市本町１－１２－１０
prichan,埼玉県,モーリーファンタジーイオン川口,埼玉県川口市安行領根岸字外谷田３１８０－１イオン３Ｆ
prichan,埼玉県,モーリーファンタジーせんげん台,埼玉県越谷市千間台西３－２－１２イオン３Ｆ
prichan,埼玉県,モーリーファンタジーレイクタウン,埼玉県越谷市東町２丁目８イオン３Ｆ
prichan,埼玉県,モーリーファンタジー羽生,埼玉県羽生市川崎２丁目２８１番地３イオン３Ｆ
prichan,埼玉県,モーリーファンタジー浦和美園,埼玉県さいたま市緑区美園５－５０－１イオンモール３Ｆ
prichan,埼玉県,モーリーファンタジー狭山,埼玉県狭山市上奥富１１２６－１イオン２Ｆ
prichan,埼玉県,モーリーファンタジー春日部,埼玉県春日部市下柳４２０－１イオン３Ｆ
prichan,埼玉県,モーリーファンタジー上里,埼玉県児玉郡上里町大字金久保字蓮山３５９番１イオンタウン２Ｆ
prichan,埼玉県,モーリーファンタジー川口前川,埼玉県川口市前川１丁目１番１１号イオン3階
prichan,埼玉県,モーリーファンタジー大井,埼玉県ふじみ野市ふじみ野１－２－１　イオン３Ｆ
prichan,埼玉県,モーリーファンタジー大宮,埼玉県さいたま市北区櫛引町２－５７４－１イオン３Ｆ
prichan,埼玉県,モーリーファンタジー東大宮,埼玉県さいたま市見沼区春野２丁目８番地パトリア東大宮店３Ｆ
prichan,埼玉県,モーリーファンタジー入間,埼玉県入間市上藤沢４６２－１イオン２Ｆ
prichan,埼玉県,モーリーファンタジー北戸田,埼玉県戸田市美女木東１－３－１イオン２Ｆ
prichan,埼玉県,モーリーファンタジー与野,埼玉県さいたま市中央区本町西５丁目２－９イオン３Ｆ
prichan,埼玉県,ユーズランド越谷,埼玉県越谷市東町４－２１－１イオンレイクタウンＫＡＺＥ３Ｆ Ａ３４２
prichan,埼玉県,ユーズランド春日部,埼玉県春日部市下柳４２０－１イオンモール春日部２Ｆ区画番号２０３７
prichan,埼玉県,ヨドバシカメラマルチメディアさいたま新都心駅前,埼玉県さいたま市大宮区吉敷町４－２６３－６
prichan,埼玉県,ライフ吉川駅前,埼玉県吉川市保１－１３－３
prichan,埼玉県,ライフ新座,埼玉県新座市栗原４－１２－２５
prichan,埼玉県,ライフ毛呂山,埼玉県入間郡毛呂山町岩井西３丁目１２番地３４
prichan,埼玉県,ラウンドワンららぽーと新三郷,埼玉県三郷市新三郷ららシティ３丁目１－１ららぽーと新三郷２階２００００番
