series,prefecture,name,address
prichan,滋賀県,ＭＥＧＡドン・キホーテＵＮＹ近江八幡,滋賀県近江八幡市鷹飼町字一本木２２３番地３
prichan,滋賀県,ＴＨＥ３ＲＤＰＬＡＮＥＴ大津,滋賀県大津市打出浜１４－３０（仮）打出浜商業施設６Ｆ
prichan,滋賀県,アピナキッズパーク大津京,滋賀県大津市二本松１－１　ＢＲＡＮＣＨ大津京Ａ棟
prichan,滋賀県,アミパライオンタウン湖南ゲームコーナー,滋賀県湖南市岩根４５８０　イオンタウン湖南
prichan,滋賀県,アミパラ草津,滋賀県草津市木川町７２
prichan,滋賀県,アル・プラザ栗東,滋賀県栗東市綣２－３－２２
prichan,滋賀県,アル・プラザ水口,滋賀県甲賀市水口町本綾野５６６－１　玩具売場
prichan,滋賀県,アル・プラザ瀬田,滋賀県大津市月輪１－３－８
prichan,滋賀県,アル・プラザ草津,滋賀県草津市西渋川１－２３－３０　玩具売場
prichan,滋賀県,アル・プラザ長浜,滋賀県長浜市小堀町４５０
prichan,滋賀県,アル・プラザ八日市,滋賀県東近江市八日市浜野町３－１
prichan,滋賀県,アルプラザ近江八幡,滋賀県近江八幡市桜宮町２０２－１
prichan,滋賀県,アルプラザ守山,滋賀県守山市播磨田町１８５の１
prichan,滋賀県,アルプラザ野洲,滋賀県野洲市小篠原１０００番地
prichan,滋賀県,イオン草津,滋賀県草津市新浜町３００玩具売場
prichan,滋賀県,イズミヤ堅田,滋賀県大津市今堅田３－１１－１
prichan,滋賀県,ゲームフィールド守山,滋賀県守山市今浜町２６２０－５　ピエリ守山店１Ｆ
prichan,滋賀県,ゲームランド草津,滋賀県草津市新浜町３００　イオンモール草津３Ｆ
prichan,滋賀県,スキップパーク,滋賀県大津市本堅田５－２０－１０アルプラザ堅田３階
prichan,滋賀県,セガエイスクエア草津,滋賀県草津市西渋川一丁目２３番２３号ＳＡＲＡ新棟２Ｆ
prichan,滋賀県,タイトーＦステーションイオン近江八幡,滋賀県近江八幡市鷹飼町南３丁目７番地イオン近江八幡２番街１階
prichan,滋賀県,ドン・キホーテ甲賀水口,滋賀県甲賀市水口町北泉１－３０
prichan,滋賀県,ビバシティ平和堂,滋賀県彦根市竹ケ鼻町４３－１玩具売場
prichan,滋賀県,モーリーファンタジーイオン近江八幡,滋賀県近江八幡市鷹飼町南３丁目７番
prichan,滋賀県,モーリーファンタジーベイシア彦根,滋賀県彦根市馬場２－１－１　１Ｆ
prichan,滋賀県,モーリーファンタジー草津,滋賀県草津市新浜町３００イオン３Ｆ
prichan,滋賀県,モーリーファンタジー大津一里山,滋賀県大津市一里山７－１－１　フォレオ大津一里山２Ｆ
prichan,滋賀県,モーリーファンタジー長浜,滋賀県長浜市山階町２７１－１イオン２Ｆ
prichan,滋賀県,滋賀レジャーランド大津,滋賀県大津市におの浜３－１－４３
prichan,滋賀県,平和堂甲西中央,滋賀県湖南市中央１－３８
