series,prefecture,name,address
prichan,静岡県,ＡＷららぽーと沼津,静岡県沼津市東椎路字東荒３０１－３　ららぽーと沼津３Ｆ　３３０２０
prichan,静岡県,ＬＡＮＤ藤枝,静岡県藤枝市前島１丁目７番１０号ＢｉＶｉ藤枝４Ｆ
prichan,静岡県,ＭＥＧＡドン・キホーテ浜松可美,静岡県浜松市南区東若林町１１－１
prichan,静岡県,ＴＨＥ３ＲＤＰＬＡＮＥＴＢｉＶｉ沼津,静岡県沼津市大手町1丁目1番5号
prichan,静岡県,ＴＨＥ３ＲＤＰＬＡＮＥＴＯＺ浜松,静岡県浜松市東区宮竹町322番地の1
prichan,静岡県,ＴＨＥ３ＲＤＰＬＡＮＥＴフレスポ静岡,静岡県静岡市清水区鳥坂８６０番地
prichan,静岡県,ＴＨＥ３ＲＤＰＬＡＮＥＴ富士,静岡県富士市永田町２－９９
prichan,静岡県,ＹＡＺワールド浜松葵,静岡県浜松市葵西２－２７－１０イオンタウン内
prichan,静岡県,ＹＡＺ磐田,静岡県磐田市西貝塚横須賀道北３６９０　イオンタウン内
prichan,静岡県,アピタ伊東,静岡県伊東市玖須美元和田７２０番地の１４３　玩具売場
prichan,静岡県,アピタ静岡,静岡県静岡市駿河区石田１丁目５番１号　玩具売場
prichan,静岡県,アピタ大仁,静岡県伊豆の国市吉田字九十分１５３番の１　玩具売場
prichan,静岡県,アピタ島田,静岡県島田市宝来町８番２号　玩具売場
prichan,静岡県,アピタ磐田,静岡県磐田市今之浦３丁目１－１１
prichan,静岡県,アピタ浜北,静岡県浜松市貴布称１２００番地　玩具売場
prichan,静岡県,アミュージアム清水,静岡県静岡市清水区入船町１３－１５エスパルスドリームプラザ３Ｆ
prichan,静岡県,アミューズメントパーク静岡,静岡県静岡市葵区柚木１９１ＭＡＲＫＩＳ静岡３階
prichan,静岡県,イオン焼津,静岡県焼津市祢宜島５５５玩具売場
prichan,静岡県,イオン清水,静岡県静岡市清水区上原１－６－１６玩具売場
prichan,静岡県,イオン浜松市野,静岡県浜松市東区天王町字諏訪１９８１－３玩具売場
prichan,静岡県,イオン浜松志戸呂,静岡県浜松市西区志都呂町５６０５
prichan,静岡県,イオン富士宮,静岡県富士宮市浅間町１－８玩具売場
prichan,静岡県,イトーヨーカドー三島,静岡県三島市中田町９－３０玩具売場
prichan,静岡県,イトーヨーカドー沼津,静岡県沼津市高島本町１－５玩具売場
prichan,静岡県,イトーヨーカドー静岡,静岡県静岡市駿河区曲金３－１－５玩具売場
prichan,静岡県,エディオン柿田川,静岡県駿東郡清水町伏見字泉頭５８－１
prichan,静岡県,キッズトレイン三島,静岡県駿東郡清水町伏見５８－１サントムーンアネックス３Ｆ
prichan,静岡県,シートピアＹＡＺ大須賀,静岡県掛川市西大渕３３５９イオンタウン大須賀Ｈ棟
prichan,静岡県,ＭＥＧＡドン・キホーテＵＮＹ掛川,静岡県掛川市大池２８２６番地
prichan,静岡県,ジョイランドアミューズ諏訪,静岡県沼津市大諏訪叶２０－２
prichan,静岡県,ジョイランド三島,静岡県三島市梅名３０８－６
prichan,静岡県,スタジオプリモ沼津,静岡県沼津市大手町３―４―１沼津ラクーン５Ｆ
prichan,静岡県,セガサントムーン柿田川,静岡県駿東郡清水町玉川６１－２
prichan,静岡県,セガベイドリーム清水,静岡県静岡市清水区駒越北町８－１ベイドリーム清水
prichan,静岡県,セガ掛川,静岡県掛川市細田248
prichan,静岡県,セガ袋井,静岡県袋井市川井1142-1
prichan,静岡県,ソユー竜宮タウン静岡,静岡県静岡市駿河区石田一丁目５番１号アピタ静岡ＳＣ２Ｆ
prichan,静岡県,タイトーＦステーションイオンモール浜松市野,静岡県浜松市東区天王町字諏訪１９８１－３イオンモール浜松市野店１Ｆ
prichan,静岡県,タイトーＦステーションイオン富士宮,静岡県富士宮市浅間町１番８号
prichan,静岡県,タイトーステーション浜松,静岡県浜松市中区肴町３２２－２０浜松松竹ビル１F
prichan,静岡県,タイトーＦステーションプレ葉ウォーク浜北,静岡県浜松市浜北区貴布祢１２００番地
prichan,静岡県,タイトーＦステーション静岡,静岡県静岡市葵区呉服町二丁目５番地４ふしみや第２ビル
prichan,静岡県,タイトーステーション新浜松ザザシティ店,静岡県浜松市　中区鍛冶町１５番地
prichan,静岡県,トイザらス静岡,静岡県静岡市清水区鳥坂８６０　クレッセ静岡２Ｆ
prichan,静岡県,ハローズガーデン島田,静岡県島田市宝来町8-2アピタ2F
prichan,静岡県,ピアゴ於呂,静岡県浜松市浜北区於呂字荒巻982番地　玩具売場
prichan,静岡県,ピアゴ香貫,静岡県沼津市下香貫字汐入２２１６番地　玩具売場
prichan,静岡県,ピアゴ上岡田,静岡県磐田市上岡田字村東８１７番地１　玩具売場
prichan,静岡県,ピアゴ森,静岡県周智郡森町睦実字鳥喰２３２７番地１
prichan,静岡県,ピアゴ榛原,静岡県牧之原市細江字濱田１３７１番地１　玩具売場
prichan,静岡県,ピアゴ袋井,静岡県袋井市新池字原川田１１５８番地１　玩具売場
prichan,静岡県,ピアゴ大覚寺,静岡県焼津市大覚寺2-27-15
prichan,静岡県,ピアゴ富士宮,静岡県富士宮市東阿幸地５４１番地　玩具売場
prichan,静岡県,ビックカメラ浜松,静岡県浜松市中区砂山町３２２－１
prichan,静岡県,ファミリーアミューズメント榛原,静岡県牧之原市細江字濱田１３７１番地１玩具売場１３７１－１ピアゴ榛原店１Ｆ
prichan,静岡県,プラサカプコンパルパル,静岡県浜松市西区館山寺町１８９１浜名湖パルパル内ゲームコーナー
prichan,静岡県,プラサカプコン志都呂,静岡県浜松市西区志都呂町５６０５イオンモール浜松志都呂３Ｆ
prichan,静岡県,プリズムストーン  静岡,静岡県静岡市葵区伝馬町6-1　静岡東急スクエア B1F　アニメガ静岡109店内
prichan,静岡県,プレビバロー清水高橋,静岡県静岡市清水区高橋5-1-1バロー清水高橋店B1階
prichan,静岡県,ミシマトイス,静岡県三島市本町３番３５号
prichan,静岡県,メルヘンランドウェルディ長泉,静岡県駿東郡長泉町下長窪字城山１０７６－１ウェルディ長泉２Ｆ
prichan,静岡県,モーリーファンタジー・ｆ富士南,静岡県富士市鮫島１１８－１０イオンタウン２Ｆ
prichan,静岡県,モーリーファンタジー御殿場,静岡県御殿場市萩原６３６番地
prichan,静岡県,モーリーファンタジー焼津,静岡県焼津市祢宜島５５５イオン２Ｆ
prichan,静岡県,モーリーファンタジー裾野,静岡県裾野市佐野１０３９マックスバリューベルシティー裾野店
prichan,静岡県,モーリーファンタジー清水,静岡県静岡市清水区上原１－６－１６イオン２Ｆ
prichan,静岡県,モーリーファンタジー袋井,静岡県袋井市上山梨４丁目１番地の１イオン２Ｆ
prichan,静岡県,モーリーファンタジー浜松市野,静岡県浜松市東区天王町字諏訪１９８１－３イオン２Ｆ
prichan,静岡県,モーリーファンタジー浜松志都呂,静岡県浜松市西区志都呂町２丁目３７番１号イオン３Ｆ
prichan,静岡県,モーリーファンタジー浜松西,静岡県浜松市西区入野町６２４４－１イオン３Ｆ
prichan,静岡県,モーリーファンタジー富士宮,静岡県富士宮市浅間町１－８イオンモール２Ｆ
prichan,静岡県,松坂屋静岡,静岡県静岡市葵区御幸町10-2　松坂屋静岡店本館５Ｆ玩具売場
prichan,静岡県,宝島浜松,静岡県浜松市南区東若林町１１－１ＭＥＧＡドン・キホーテ浜松可美店内
