series,prefecture,name,address
prichan,徳島県,ＰＡＬＯ小松島,徳島県小松島市小松島町字領田２０番地小松島ショッピングプラザ　ルピア１Ｆ
prichan,徳島県,おもちゃのイルカ,徳島県板野郡藍住町奥野字東中須８８－１ゆめタウン徳島２Ｆ
prichan,徳島県,セガ徳島スエヒロボウル,徳島県徳島市南末広４
prichan,徳島県,タイトーステーションフジグラン北島,徳島県板野郡北島町鯛浜字西ノ須１７４番地
prichan,徳島県,パレパレ田宮,徳島県徳島市南田宮２丁目２－４６
prichan,徳島県,ふぇすたらんど脇町,徳島県美馬郡脇町字拝原１７１１番地１山陽マルナカ脇町店２Ｆ
prichan,徳島県,フジグラン阿南,徳島県阿南市領家町土倉１０　玩具売場
prichan,徳島県,フジグラン石井,徳島県名西郡石井町坂川原５４４番地１　玩具売場
prichan,徳島県,フジグラン北島,徳島県板野郡北島町鯛浜字西ノ須１７４番地　玩具売場
prichan,徳島県,ポップンパーク貞光,徳島県美馬郡るつぎ町貞光中須賀33番1マルナカ貞光店１階
prichan,徳島県,モーリーファンタジー徳島,徳島県徳島市南末広町４－１イオンスタイル徳島　４Ｆ
