series,prefecture,name,address
prichan,富山県,アピタ砺波,富山県砺波市太郎丸３丁目６９番地　玩具売場
prichan,富山県,アピタ富山,富山県富山市上袋１００番６８　玩具売場
prichan,富山県,アピタ富山東,富山県富山市上冨居３－８－３８　玩具売場
prichan,富山県,アピナ富山新庄,富山県富山市荒川３－２－１２
prichan,富山県,アピナ富山南,富山県富山市堀川町３５５－３マイプラザ内
prichan,富山県,アピナ富山豊田,富山県富山市豊田町２－１２－６６
prichan,富山県,イオンとなみ,富山県砺波市中神土地区画整理事業地内３１街区１-２Ｆ
prichan,富山県,おもちゃのバンビ本郷,富山県富山市本郷１６－８玩具売場
prichan,富山県,タイトーステーションファボーレ婦中,富山県富山市婦中町下轡田165-1フューチャーシティファボーレ２F
prichan,富山県,トイザらス富山,富山県富山市五福１１４３－１　五福ショッピングセンターアリス２Ｆ
prichan,富山県,モーリーファンタジーとなみ,富山県砺波市中神土地区画整理事業地内３１街区１　２Ｆ
prichan,富山県,モーリーファンタジー高岡,富山県高岡市江尻３３１－１イオン１Ｆ
prichan,富山県,モーリーファンタジー高岡南,富山県高岡市下伏間江３８３イオン２Ｆ
prichan,富山県,モーリーファンタジー小杉,富山県射水市三ヶ２６０２アル・プラザ小杉２Ｆ
prichan,富山県,ユーズランドとなみ,富山県砺波市中神地区画事業31街区1　イオンモールとなみ2F　区画番号２０５
prichan,富山県,ユーズランド高岡,富山県高岡市下伏間江３８３イオンモール高岡２Ｆ
