series,prefecture,name,address
prichan,山口県,ＰＡＬＯ防府,山口県防府市中央町１－３　イオン３Ｆ
prichan,山口県,ＳＯＹＵＦａｍｉｌｙＧａｍｅＦｉｅｌｄ防府店,山口県防府市山口県防府市鐘紡町７番１号イオンタウン防府１Ｆ
prichan,山口県,ＴＨＥ３ＲＤＰＬＡＮＥＴ山口,山口県山口市湯田温泉６－８－３
prichan,山口県,アミパラ下関,山口県下関市長府才川１丁目４２－４８
prichan,山口県,アミパラ新南陽,山口県周南市古市1-4-1　イオンタウン周南内
prichan,山口県,アミュージアム周南,山口県下松市中央町２１－３ＴＨＥ　ＭＡＬＬ周南３Ｆ
prichan,山口県,イオン防府,山口県防府市中央町１－３玩具売場
prichan,山口県,サンゲームス下関,山口県下関市ゆめタウン２－７
prichan,山口県,セガ小郡,山口県山口市小郡前田町３－６
prichan,山口県,てくもぴあ阿知須,山口県山口市阿知須４８２５－１サンパークあじす２階
prichan,山口県,テクモピア柳井,山口県柳井市駅南１－１４ミスターマックス柳井ショッピングセンターD棟
prichan,山口県,トイザらス下関,山口県下関市ゆめタウン１－１　ゆめタウン長府内
prichan,山口県,ふぇすたらんど下松,山口県下松市南花岡六丁目８番１号　サンリブ下松店内
prichan,山口県,ふぇすたらんど萩,山口県萩市大字唐桶町２－４サンリブ萩店内
prichan,山口県,フジグラン宇部,山口県宇部市明神町３－１－１　玩具売場
prichan,山口県,フジグラン岩国,山口県岩国市麻里布町二丁目９番８号
prichan,山口県,フジグラン山口,山口県山口市黒川３７３６番地
prichan,山口県,フジグラン長門,山口県長門市仙崎字網田３２２番地２
prichan,山口県,ペリカン宇部,山口県宇部市大字妻崎開作４１１ゆめタウン宇部内１Ｆ
prichan,山口県,ペリカン山口,山口県山口市大内御堀１３０２－１ゆめタウン山口内２Ｆ
prichan,山口県,ペリカン新南陽,山口県周南市清水２－２－１ゆめタウン新南陽内
prichan,山口県,ペリカン南岩国,山口県岩国市南岩国町１－２０－３０ゆめタウン南岩国内２Ｆ
prichan,山口県,ペリカン防府,山口県防府市八王子２－８－８ゆめタウン防府内３Ｆ
prichan,山口県,モーリーファンタジー下関,山口県下関市竹崎町４－４－７シーモールエスト４Ｆ
prichan,山口県,モーリーファンタジー光,山口県光市浅江字木園１７５６－１イオン２Ｆ
prichan,山口県,ゆめパーク徳山,山口県周南市青山町１丁目１８番ゆめタウン徳山２Ｆ
prichan,山口県,娯楽座メリーゴーランド周東,山口県岩国市周東町下久原４３６ザ・ビッグ周東店内
