series,prefecture,name,address,latitude,longitude,group
primagi,三重県,GIGOアドバンスモール松阪,三重県松阪市田村町235-1,34.555762,136.511889,1
primagi,三重県,GiGO久居,三重県津市久居明神町字風早2534-1,34.691120,136.470555,1
primagi,三重県,GiGO名張,三重県名張市希央台3番町15,34.623478,136.103602,1
primagi,三重県,namcoイオンモール鈴鹿店,三重県鈴鹿市庄野羽山4-1-2ｲｵﾝﾓｰﾙ鈴鹿2F,34.871766,136.531600,1
primagi,三重県,NICOPAイオン伊勢,三重県伊勢市楠部町乙160 ｲｵﾝ伊勢店,34.478178,136.731077,1
primagi,三重県,NICOPAイオン津,三重県津市桜橋3-446 ｲｵﾝ津店2F,34.736742,136.518331,1
primagi,三重県,NICOPA四日市北,三重県四日市市富州原町2-40 ｲｵﾝ四日市北店,35.007976,136.656221,1
primagi,三重県,PALO桑名,三重県桑名市新西方1-22 ｲｵﾝ2F,35.072291,136.662491,1
primagi,三重県,アピタ桑名,三重県桑名市中央町3-21,35.064124,136.687909,1
primagi,三重県,アピタ四日市,三重県四日市市安島1-3-31,34.968315,136.616695,1
primagi,三重県,アピタ松阪三雲,三重県松阪市市場庄町1266-1,34.604009,136.520564,1
primagi,三重県,アピナ四日市,三重県四日市市泊小柳町4-34,34.939392,136.606975,1
primagi,三重県,アピナ鈴鹿,三重県鈴鹿市庄野羽山4-20-1 ｲｵﾝﾀｳﾝ鈴鹿2F,34.872020,136.527011,1
primagi,三重県,カヨーアミューズパーク,三重県四日市市日永4-2-41,34.948318,136.603904,1
primagi,三重県,ジョーシン四日市泊イオンタウン,三重県四日市市泊小柳町4-5-1ｲｵﾝﾀｳﾝ四日市泊1F,34.938995,136.601307,1
primagi,三重県,セガ伊勢,三重県伊勢市中須町666,34.492032,136.678306,1
primagi,三重県,タイトーステーション イオンモール明和,三重県多気郡明和町中村1223 ｲｵﾝﾓｰﾙ明和2F,34.581139,136.614211,1
primagi,三重県,ハローズガーデン鈴鹿,三重県鈴鹿市南玉垣町3628 MEGAﾄﾞﾝ･ｷﾎｰﾃUNY鈴鹿店2F,34.853192,136.582219,1
primagi,三重県,モーリーファンタジーイオン鈴鹿,三重県鈴鹿市庄野羽山4-1-2 ｲｵﾝ鈴鹿店2階,34.870362,136.532035,1
primagi,三重県,モーリーファンタジー阿児,三重県志摩市阿児町鵜方3215 ｲｵﾝ阿児店2階,34.323760,136.828377,1
primagi,三重県,モーリーファンタジー伊賀上野,三重県伊賀市上野茅町2519 ｲｵﾝ伊賀上野店2階,34.760036,136.136641,1
primagi,三重県,モーリーファンタジー伊勢ララパーク,三重県伊勢市小木町曽弥538 ｲｵﾝﾗﾗﾊﾟｰｸSC2階,34.506494,136.722530,1
primagi,三重県,モーリーファンタジー桑名,三重県桑名市新西方1-22 ｲｵﾝ桑名SC1-街3階,35.072291,136.662491,1
primagi,三重県,モーリーファンタジー四日市泊,三重県四日市市泊小柳町4-5 ｲｵﾝﾀｳﾝ四日市泊店2F,34.939619,136.602709,1
primagi,三重県,モーリーファンタジー四日市尾平,三重県四日市市尾平町字天王川原1805 ｲｵﾝ四日市尾平店3階,34.977404,136.591078,1
primagi,三重県,モーリーファンタジー四日市北,三重県四日市市富州原町2-40 ｲｵﾝ四日市北店2階,35.007976,136.656221,1
primagi,三重県,モーリーファンタジー松阪,三重県松阪市船江町1392-27 ｲｵﾝ松阪店3階,34.594255,136.523535,1
primagi,三重県,モーリーファンタジー津城山,三重県津市久居小野辺町1130-7 ﾏｯｸｽﾊﾞﾘｭ津城山店2階,34.679385,136.501568,1
primagi,三重県,モーリーファンタジー津南,三重県津市高茶屋小森町145 ｲｵﾝﾓｰﾙ津南3F,34.671004,136.517917,1
primagi,三重県,モーリーファンタジー東員,三重県員弁郡東員町長深字築田510-1 ｲｵﾝﾓｰﾙ3階,35.061724,136.579401,1
primagi,三重県,モーリーファンタジー明和,三重県多気郡明和町中村長波賀1223 ｲｵﾝ明和店2階,34.581245,136.615412,1
