series,prefecture,name,address,latitude,longitude,group
primagi,京都府,GiGO MOMOテラス京都伏見,京都府京都市伏見区桃山町山ﾉ下32 MOMOﾃﾗｽ別館2F,34.937092,135.794933,1
primagi,京都府,namcoアルプラザ宇治東店,京都府宇治市莵道平町28番地の1ｱﾙﾌﾟﾗｻﾞ宇治東3F,34.902432,135.802042,1
primagi,京都府,namcoアルプラザ城陽店,京都府城陽市富野荒見田112番地ｱﾙ･ﾌﾟﾗｻﾞ城陽4階,34.842453,135.786081,1
primagi,京都府,namcoイオンモールKYOTO店,京都府京都市南区西九条鳥居口町1番地ｲｵﾝﾓｰﾙKYOTO14060,34.982747,135.754598,2
primagi,京都府,THE 3RD PLANET BiVi京都二条,京都府京都市中京区西ﾉ京栂尾町107番地 BiVi二条2F,35.010255,135.741216,2
primagi,京都府,イオン伏見,京都府京都市伏見区御堂前町616,34.932494,135.762555,1
primagi,京都府,エール東舞鶴,京都府舞鶴市南浜町27-5,35.466172,135.395550,1
primagi,京都府,ビックカメラJR京都駅,京都府京都市下京区東塩小路町927,34.985859,135.755654,1
primagi,京都府,プレイランド 京都,京都府京都市右京区山ﾉ内池尻町1-1京都ﾌｧﾐﾘｰ3F,35.004763,135.720491,1
primagi,京都府,モーリーファンタジー綾部,京都府綾部市綾中町花ﾉ木30 ﾊﾞｻﾞｰﾙﾀｳﾝ綾部店2F,35.302373,135.257607,1
primagi,京都府,モーリーファンタジー久御山,京都府久世郡久御山町森南大内156-1 ｲｵﾝ久御山店2階,34.893096,135.746472,1
primagi,京都府,モーリーファンタジー京都桂川,京都府京都市南区久世高田町376-1 ｲｵﾝ3階,34.963494,135.707054,1
primagi,京都府,モーリーファンタジー京都五条,京都府京都市右京区西院追分町25-1 ｲｵﾝ京都五条店2階,34.997534,135.726932,1
primagi,京都府,モーリーファンタジー桂南,京都府京都市南区久世上久世町485 ﾀﾞｲｴｰ桂南店2F,34.967146,135.717186,1
primagi,京都府,モーリーファンタジー高の原,京都府木津川市相楽台1-1-1 ｲｵﾝ高の原SC4階,34.725347,135.790538,1
primagi,京都府,モーリーファンタジー福知山,京都府福知山市岩井79-8 ｲｵﾝ福知山店2階,35.316997,135.100955,1
primagi,京都府,モーリーファンタジー洛南,京都府京都市南区吉祥院御池町31 ｲｵﾝ洛南店2階,34.975208,135.736405,1
primagi,京都府,モーリーファンタジー洛北阪急スクエア,京都府京都市左京区左京35 阪急ｶﾅｰﾄ洛北店2F,35.040908,135.778971,1
primagi,京都府,ヨドバシカメラマルチメディア京都,京都府京都市下京区東塩小路町590-2,34.988352,135.758986,1
primagi,京都府,北大路ビブレ(キッズカード),京都府京都市北区小山北上総町49-1 北大路ﾋﾞﾌﾞﾚ4階ﾋﾞﾌﾞﾚｺｰｾﾞ,35.044975,135.758233,1
