series,prefecture,name,address
primagi,兵庫県,MEGAドン・キホーテ姫路広畑,兵庫県姫路市広畑区夢前町1-1-1
primagi,兵庫県,namcoイオンモール神戸南店,兵庫県神戸市兵庫区中之島2-1-1ｲｵﾝﾓｰﾙ神戸南3F
primagi,兵庫県,namcoイオンモール姫路リバーシティー,兵庫県姫路市飾磨区細江2560番地ｲｵﾝﾓｰﾙ姫路ﾘﾊﾞｰｼﾃｨ2F
primagi,兵庫県,namcoイオン赤穂店,兵庫県赤穂市中広字別所55-3ｲｵﾝ赤穂店2F
primagi,兵庫県,namco豊岡店,兵庫県豊岡市兵庫県豊岡市中陰町字大工6173F
primagi,兵庫県,SD LABI 三宮,兵庫県神戸市中央区三宮町1-5-8
primagi,兵庫県,アニメガ×ソフマップ 神戸ハーバーランド店,兵庫県神戸市中央区東川崎町1-7-2 umieNORTHMALL内6F
primagi,兵庫県,アピナ姫路,兵庫県姫路市東郷町1454番地3 姫路ﾘｵｽ2階
primagi,兵庫県,アル・クリオ ゲームコーナー,兵庫県淡路市志筑新島10番地の3
primagi,兵庫県,アル・プラザつかしん,兵庫県尼崎市塚口本町4-8-1
primagi,兵庫県,イオン赤穂,兵庫県赤穂市中広字別所55-3
primagi,兵庫県,イトーヨーカドー加古川,兵庫県加古川市別府町緑町2
primagi,兵庫県,イトーヨーカドー甲子園,兵庫県西宮市甲子園八番町1-100
primagi,兵庫県,イトーヨーカドー明石,兵庫県明石市二見町西二見駅前1-18
primagi,兵庫県,エディオンJR尼崎駅,兵庫県尼崎市潮江1-1-50
primagi,兵庫県,エディオン神戸北町,兵庫県神戸市北区日の峰2-3-3
primagi,兵庫県,エディオン垂水,兵庫県神戸市垂水区舞多聞東2-1-45
primagi,兵庫県,カリヨンパークイオン伊丹昆陽,兵庫県伊丹市池尻4丁目1-1 ｲｵﾝ伊丹昆陽SC内4F
primagi,兵庫県,キッズパーク 西宮,兵庫県西宮市浜松原町21-1 ﾏﾙﾅｶ西宮店2F
primagi,兵庫県,セガあまがさきキューズモール,兵庫県尼崎市潮江1-3-1 ｺｺｴあまがさき内4F
primagi,兵庫県,セガつかしん,兵庫県尼崎市塚口本町4-8-1 つかしん内
primagi,兵庫県,セガフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町6-1
primagi,兵庫県,セガ神戸umieサウスモール,兵庫県神戸市中央区東川崎町1-7-2
primagi,兵庫県,セガ明石,兵庫県明石市魚住町清水2464-1 ﾄﾞﾗｲﾌﾞｲﾝながさわ
primagi,兵庫県,タイトーFステーション HAT神戸,兵庫県神戸市中央区脇浜海岸通2-2-2 ﾌﾞﾙﾒｰﾙHAT神戸2F
primagi,兵庫県,タイトーFステーション イオン加古川,兵庫県加古川市平岡町新在家615-1 ｲｵﾝ加古川店3F
