series,prefecture,name,address,latitude,longitude,group
primagi,北海道,BIG BANG室蘭,北海道室蘭市中島本町2丁目8-1 BIGBANG室蘭,42.353633,141.014518,1
primagi,北海道,GiGO札幌駅西口,北海道札幌市北区北6条西6-1-1 WEST6,43.067586,141.346071,1
primagi,北海道,MAXIMHERO,北海道札幌市北区北6条西6丁目鉄道高架下,43.067951,141.346007,1
primagi,北海道,namcoアリオ札幌店,北海道札幌市東区北七条東9丁目2番20ｱﾘｵ札幌ｽﾊﾟ･ﾚｼﾞｬｰ館2F,43.069846,141.368544,1
primagi,北海道,namcoウイングベイ小樽店,北海道小樽市北海道小樽市築港11番5号ｳｲﾝｸﾞﾍﾞｲ小樽5番街3階,43.183854,141.023126,1
primagi,北海道,namcoサッポロファクトリー店,北海道札幌市中央区北1条東4丁目1番地1ｻｯﾎﾟﾛﾌｧｸﾄﾘｰ1条館2F,43.064201,141.363354,1
primagi,北海道,namcoラソラ札幌店,北海道札幌市白石区東札幌3条1丁目1-1ﾗｿﾗ札幌店Aﾀｳﾝ2F,43.055341,141.384662,1
primagi,北海道,PALO釧路,北海道釧路郡釧路町桂木1-1-7 ｲｵﾝ釧路店2階,43.009038,144.404606,1
primagi,北海道,PALO江別,北海道江別市幸町35 ｲｵﾝ江別店3階,43.097224,141.533330,1
primagi,北海道,PALO滝川,北海道滝川市東町2-29-1 ｲｵﾝ滝川店1F,43.554168,141.930987,1
primagi,北海道,PALO苫小牧,北海道苫小牧市糸井135-1 ﾄﾗｲｱﾙG棟ﾄﾗｲｱﾙ苫小牧店,42.612890,141.524736,1
primagi,北海道,PALO網走,北海道網走市駒場北5-83- 駒場ｼｮｯﾋﾟﾝｸﾞﾀｳﾝ,44.002114,144.284322,1
primagi,北海道,SOYU Game Field苗穂,北海道札幌市東区東苗穂2条三丁目1番1号ｲｵﾝﾓｰﾙ札幌苗穂2F,43.079664,141.404000,1
primagi,北海道,イオン小樽,北海道小樽市築港11-6,43.184392,141.021713,1
primagi,北海道,イオン北見,北海道北見市北進町1-1-1,43.808473,143.875571,1
primagi,北海道,イトーヨーカドーアリオ札幌,北海道札幌市東区北7条東9-2-20,43.069846,141.368544,1
primagi,北海道,イトーヨーカドー琴似,北海道札幌市西区琴似二条1-4-1,43.080723,141.306157,1
primagi,北海道,イトーヨーカドー帯広,北海道帯広市稲田町南8線西10-1,42.890214,143.198267,1
primagi,北海道,イトーヨーカドー屯田,北海道札幌市北区屯田八条3-5-1,43.140249,141.340839,1
primagi,北海道,イトーヨーカドー福住,北海道札幌市豊平区福住二条1-2-5,43.019872,141.403494,1
primagi,北海道,イトーヨーカドー北見,北海道北見市光西町185,43.798189,143.870171,1
primagi,北海道,おもちゃのヨシダ本店,北海道旭川市本町3-437-238吉田ﾋﾞﾙ1F,43.781027,142.355981,1
primagi,北海道,キッズパーク イオン帯広,北海道帯広市西4条南20丁目 ｲｵﾝ帯広,42.908698,143.200317,1
primagi,北海道,キャッツアイ宮の沢,北海道札幌市手稲区西宮の沢5条2丁目11-15,43.096417,141.257313,1
primagi,北海道,キャッツアイ篠路,北海道札幌市北区篠路1条4丁目6-30,43.140638,141.357187,1
primagi,北海道,キャッツアイ新札幌,北海道札幌市厚別区厚別東五条1-1-10,43.045646,141.474921,1
primagi,北海道,キャッツアイ新川,北海道札幌市北区新川二条7丁目1-7,43.100749,141.310247,1
primagi,北海道,キャッツアイ東苗穂,北海道札幌市東区東苗穂6条2丁目1-25,43.092361,141.406969,1
primagi,北海道,キャッツアイ苫小牧駅前,北海道苫小牧市木場町１丁目３,42.642221,141.598086,1
primagi,北海道,ゲームコーナー新さっぽろ,北海道札幌市厚別区厚別中央2条5-6-2 duo2 2Fｹﾞｰﾑｺｰﾅｰ,43.038972,141.472490,1
primagi,北海道,ソユーゲームフィールド 旭川駅前,北海道旭川市宮下通7丁目2番5号ｲｵﾝﾓｰﾙ旭川駅前4F,43.764312,142.357948,2
primagi,北海道,ソユーゲームフィールド 発寒,北海道札幌市西区発寒8条12丁目1番1号ｲｵﾝﾓｰﾙ札幌発寒3F,43.096141,141.277211,2
primagi,北海道,ソユーゲームフィールド旭川西,北海道旭川市緑町二十三丁目2161番地3ｲｵﾝﾓｰﾙ旭川西3F,43.793996,142.325864,1
primagi,北海道,タイトーステーション イオンモール釧路昭和,北海道釧路市昭和中央4-18-1 ｲｵﾝﾓｰﾙ釧路昭和2F,43.026634,144.359875,1
primagi,北海道,タイトーステーション イオンモール札幌平岡,北海道札幌市清田区平岡3条5-3-1 ｲｵﾝﾓｰﾙ札幌平岡店2F,42.997065,141.458557,1
primagi,北海道,タイトーステーション 札幌狸小路2丁目,北海道札幌市中央区南三条西2-14,43.057331,141.355471,1
primagi,北海道,タイトーステーション 千歳,北海道千歳市北栄2-12-5,42.833406,141.645094,1
primagi,北海道,ディノスパーク帯広,北海道帯広市白樺十六条西2丁目ﾄﾞﾘｰﾑﾀｳﾝ白樺内,42.918700,143.173275,1
primagi,北海道,トイザらス帯広音更,北海道河東郡音更町木野大通西17-1ｽｰﾊﾟｰｵｰｹｰｾﾝﾀｰ音更店内,42.976585,143.207482,1
primagi,北海道,ハロータイトー 釧路貝塚,北海道釧路市貝塚3丁目2-28,42.996244,144.410466,1
primagi,北海道,モーリーファンタジー旭川パルプ,北海道旭川市ﾊﾟﾙﾌﾟ町1条2-505-2 ｼｮｯﾋﾟﾝｸﾞCﾊﾟﾙﾌﾟﾀｳﾝ内1F,43.775217,142.384722,1
primagi,北海道,モーリーファンタジー旭川西,北海道旭川市緑町23-2161-3 ｲｵﾝ旭川西店2階,43.793730,142.327005,1
primagi,北海道,モーリーファンタジー釧路昭和,北海道釧路市昭和中央4-18-1 ｲｵﾝ釧路昭和店2階,43.026634,144.359875,1
primagi,北海道,モーリーファンタジー札幌琴似,北海道札幌市西区琴似2条4-2-2 ｲｵﾝ琴似店3F,43.076716,141.302831,1
primagi,北海道,モーリーファンタジー札幌桑園,北海道札幌市中央区北8条西14-28 ｲｵﾝ札幌桑園店2階,43.069468,141.332927,1
primagi,北海道,モーリーファンタジー札幌元町,北海道札幌市東区北31条東15-1-1 ｲｵﾝ札幌元町店3階,43.101834,141.368545,1
primagi,北海道,モーリーファンタジー札幌発寒,北海道札幌市西区発寒8条12-1-1 ｲｵﾝ札幌発寒店3階,43.096446,141.276422,1
primagi,北海道,モーリーファンタジー札幌苗穂,北海道札幌市東区東苗穂2条3-1-1 ｲｵﾝ札幌苗穂店2階,43.079664,141.404000,1
primagi,北海道,モーリーファンタジー札幌平岡,北海道札幌市清田区平岡3条5-3-1 ｲｵﾝ札幌平岡店2階,42.997065,141.458557,1
primagi,北海道,モーリーファンタジー札幌麻生,北海道札幌市北区北39 条西4-1-5ｲｵﾝ麻生店4F,43.107290,141.339721,1
primagi,北海道,モーリーファンタジー三笠,北海道三笠市岡山1059-1 ｲｵﾝSC三笠店1階,43.243933,141.805424,1
primagi,北海道,モーリーファンタジー手稲山口,北海道札幌市手稲区明日風6-1-1 ｲｵﾝSC手稲山口店1階,43.142097,141.233657,1
primagi,北海道,モーリーファンタジー上磯,北海道北斗市七重浜4-44-1 ｲｵﾝ上磯店1F,41.821810,140.712267,1
primagi,北海道,モーリーファンタジー石狩緑苑台,北海道石狩市緑苑台中央1-2 ｲｵﾝSC石狩緑苑台店1階,43.159047,141.334938,1
primagi,北海道,モーリーファンタジー中標津,北海道標津郡中標津町南町3-10 東武ｻｳｽﾋﾙｽﾞ1F,43.535427,144.977231,1
primagi,北海道,モーリーファンタジー登別,北海道登別市若山町4-33-1 ｲｵﾝ登別店2階,42.381349,141.068467,1
primagi,北海道,モーリーファンタジー東札幌,北海道札幌市白石区東札幌3条2-1 ｲｵﾝ東札幌店2F,43.052227,141.385402,1
primagi,北海道,モーリーファンタジー湯川,北海道函館市湯川町3-14-5 ｲｵﾝ湯川店1･2F,41.777669,140.794059,1
primagi,北海道,モーリーファンタジー苫小牧,北海道苫小牧市柳町3-1-20 ｲｵﾝ苫小牧店2階,42.656405,141.642478,1
primagi,北海道,モーリーファンタジー名寄,北海道名寄市字徳田80-1 ｲｵﾝ名寄店2階,44.338431,142.452592,1
primagi,北海道,ヨドバシカメラマルチメディア札幌,北海道札幌市北区北6条西5-1-22,43.068294,141.347586,1
primagi,北海道,西條百貨店稚内,北海道稚内市大黒4-7-1,45.397532,141.692138,1
primagi,北海道,東急百貨店さっぽろアミューズパーク,北海道札幌市中央区北4条西2-1 札幌東急内9階,43.066404,141.352543,1
