series,prefecture,name,address,latitude,longitude
primagi,埼玉県,GiGO イオンモール与野,埼玉県さいたま市中央区本町西5-2-9 ｲｵﾝ与野ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ3F,35.890676,139.614978
primagi,埼玉県,GiGO 花園,埼玉県深谷市荒川３５９,36.120392,139.233112
primagi,埼玉県,GiGO 川口,埼玉県川口市東領家2-2-10,35.794596,139.747660
primagi,埼玉県,GiGO 入間,埼玉県入間市東藤沢2-18,35.818984,139.418328
primagi,埼玉県,GiGO南越谷ラクーン,埼玉県越谷市南越谷1-15-1　南越谷ラクーン2Ｆ,35.875196,139.793104
primagi,埼玉県,namcoイオンタウンふじみ野店,埼玉県ふじみ野市福岡2-1-6ｲｵﾝﾀｳﾝふじみ野3F,35.880606,139.521839
primagi,埼玉県,namcoイオンモール北戸田店,埼玉県戸田市美女木東1-3-1ｲｵﾝﾓｰﾙ北戸田,35.826337,139.652851
primagi,埼玉県,namcoイオンレイクタウン店,埼玉県越谷市ﾚｲｸﾀｳﾝ3丁目1番地1ｲｵﾝﾚｲｸﾀｳﾝmori3F3133区画,35.879884,139.827341
primagi,埼玉県,namcoステラタウン店,埼玉県さいたま市北区宮原町一丁目854-1ｽﾃﾗﾓｰﾙ3F,35.932925,139.621940
primagi,埼玉県,namco熊谷店,埼玉県熊谷市銀座2丁目97番地,36.139103,139.395005
primagi,埼玉県,NICOPA幸手,埼玉県幸手市上高野764ｴﾑｽﾞﾀｳﾝ幸手,36.068292,139.714913
primagi,埼玉県,PALO熊谷,埼玉県熊谷市本石2-135 ｲｵﾝ熊谷店3階,36.145491,139.378825
primagi,埼玉県,PALO埼玉大井,埼玉県ふじみ野市西鶴ｹ岡1-3-15 ﾋﾞﾊﾞﾓｰﾙ埼玉大井2F,35.863900,139.502232
primagi,埼玉県,THE 3RD PLANET フレスポ八潮,埼玉県八潮市大瀬1-1-3 ﾌﾚｽﾎﾟ八潮3F,35.808564,139.844145
primagi,埼玉県,あそびライブラリー川口,埼玉県川口市宮町18-9 ﾗﾗｶﾞｰﾃﾞﾝ川口店2F,35.804868,139.698217
primagi,埼玉県,アピタ東松山,埼玉県東松山市あずま町4-3,36.005440,139.410560
primagi,埼玉県,アピナ吉川美南,埼玉県吉川市美南3-25-1ｲｵﾝﾀｳﾝ吉川美南,35.865925,139.859105
primagi,埼玉県,アピナ上尾,埼玉県上尾市緑丘3-3-11-2 PAPA上尾ｼｮｯﾋﾟﾝｸﾞｱﾍﾞﾆｭｰﾌﾟﾘﾝｾｽ棟別棟,35.987412,139.579697
primagi,埼玉県,アピナ川越,埼玉県川越市泉町1-1 ｳﾆｸｽ南古谷ｼﾈﾏ棟1F,35.903088,139.513158
primagi,埼玉県,アミュージアム所沢,埼玉県所沢市小手指台23-1ﾏﾐｰﾏｰﾄ所沢山口店2F,35.791707,139.442947
primagi,埼玉県,アミュージアム新座,埼玉県新座市東北2-32-12ｲｵﾝ新座店3F,35.820190,139.574802
primagi,埼玉県,アミュージアム新所沢パルコ,埼玉県所沢市緑町1-2-1新所沢ﾊﾟﾙｺLet's館3F,35.804933,139.454942
primagi,埼玉県,アミュージアム川口,埼玉県川口市本町2-7-25ﾐｴﾙかわぐち3F,35.800963,139.727607
primagi,埼玉県,イトーヨーカドーアリオ上尾,埼玉県上尾市壱丁目367,35.961737,139.566036
primagi,埼玉県,イトーヨーカドーアリオ深谷,埼玉県深谷市上柴町西4-2-14,36.181350,139.298879
primagi,埼玉県,イトーヨーカドーアリオ川口,埼玉県川口市並木元町1-79,35.806943,139.714274
primagi,埼玉県,イトーヨーカドーアリオ鷲宮,埼玉県久喜市久本寺谷田7-1,36.082599,139.656688
primagi,埼玉県,イトーヨーカドー浦和,埼玉県さいたま市浦和区仲町1-7-1,35.860340,139.655492
primagi,埼玉県,イトーヨーカドー久喜,埼玉県久喜市久喜中央4-9-11,36.070943,139.674921
primagi,埼玉県,イトーヨーカドー春日部,埼玉県春日部市中央1-13-1,35.979635,139.749636
primagi,埼玉県,イトーヨーカドー大宮宮原,埼玉県さいたま市北区宮原町1-854-1,35.932099,139.622458
primagi,埼玉県,ウェアハウス越谷,埼玉県越谷市南荻島841番地1,35.911989,139.763734
primagi,埼玉県,ウェアハウス岩槻,埼玉県さいたま市岩槻区加倉3丁目3番63号,35.941118,139.686082
primagi,埼玉県,ウェアハウス三橋,埼玉県さいたま市西区三橋6丁目955番地1,35.915881,139.595834
