series,prefecture,name,address,latitude,longitude,group
primagi,大阪府,ENTERTAINMENT FIELD ららぽーとEXPOCITY店,大阪府吹田市千里万博公園2-13F30060 ららぽｰとEXPOCITY,34.805489,135.534467,1
primagi,大阪府,GiGOあべのアポロ 3F/4F,大阪府大阪市阿倍野区阿倍野筋1-5-31 ｱﾎﾟﾛﾋﾞﾙ3F,34.646541,135.511716,2
primagi,大阪府,GiGOあべのキューズモール,大阪府大阪市阿倍野筋１－６－１あべのマーケットパーク キューズモール３Ｆ,34.645353,135.512156,1
primagi,大阪府,GiGOビバモール寝屋川,大阪府寝屋川市寝屋南2-22-2 ﾋﾞﾊﾞﾓｰﾙ寝屋川ﾓｰﾙ棟2F,34.766111,135.650833,1
primagi,大阪府,GiGOフレスポ東大阪,大阪府東大阪市稲田新町３－９－６４,34.692095,135.591320,1
primagi,大阪府,GiGO今福,大阪府大阪市城東区今福東1-9-34,34.700979,135.557444,1
primagi,大阪府,GiGO新三国アルゴ7,大阪府豊中市神州町1-15,34.738561,135.479468,1
primagi,大阪府,GiGO大阪第4ビル,大阪府大阪市梅田1-11-4 駅前第4ビルB1F,34.699879,135.498857,1
primagi,大阪府,GiGO布施,大阪府東大阪市長堂1-1-1 ﾛﾝﾓｰﾙ布施内,34.664112,135.563515,1
primagi,大阪府,GiGO枚方,大阪府枚方市須山町83-1 ｻﾝｼｬｲﾝﾌﾟﾗｻﾞ枚方内,34.819643,135.675494,1
primagi,大阪府,LABI LIFE SELECT千里,大阪府豊中市新千里東町1-2-20,34.812003,135.494998,1
primagi,大阪府,LABI1なんば,大阪府大阪市浪速区難波中2-11-35,34.660122,135.501183,1
primagi,大阪府,LINKS UMEDA,大阪府大阪市北区大深町4-8 LINKSUMEDA5F,34.703145,135.494731,2
primagi,大阪府,NAMCOLAND鳳店,大阪府堺市西区鳳南町3-199-12ｱﾘｵ鳳ｱﾘｵﾓｰﾙ3F3280,34.524361,135.458945,1
primagi,大阪府,namcoイオンモール大日店,大阪府守口市大日東町1-18ｲｵﾝﾓｰﾙ大日4F,34.748607,135.580346,2
primagi,大阪府,namcoイオンモール鶴見緑地店,大阪府大阪市鶴見区鶴見4-17-1-421 ｲｵﾝﾓｰﾙ鶴見緑地4F,34.704047,135.567337,2
primagi,大阪府,namcoくずはモール店,大阪府枚方市楠葉花園町10ｰ85KUZUHAMALL南館2F,34.859986,135.675389,1
primagi,大阪府,namcoセブンパーク松原天美店,大阪府松原市松原市天美東３丁目５００番地 セブンパーク天美３Ｆ,34.592506,135.543076,1
primagi,大阪府,namcoなんばパークス店,大阪府大阪市浪速区難波中2丁目10番70号なんばﾊﾟｰｸｽ6F,34.661608,135.501935,1
primagi,大阪府,namcoニッケパークタウン加古川店,大阪府加古川市加古川町寺家町173-1,34.769658,134.835802,1
primagi,大阪府,namco大阪日本橋店,大阪府大阪市浪速区難波中2-1-17ｺｽﾓﾋﾞﾙ1~3F,34.662941,135.504332,2
primagi,大阪府,namco梅田店,大阪府大阪市北区小松原町3番3号OSﾋﾞﾙ2F,34.702762,135.500373,2
primagi,大阪府,NICOPAベルファ都島,大阪府大阪市都島区友渕町2-13-34 ﾍﾞﾙﾌｧ都島3F,34.715979,135.530163,1
primagi,大阪府,NICOPA金岡,大阪府堺市北区蔵前町1丁目7番15号 ﾚｲﾝﾎﾞｰ金岡2階,34.575317,135.509727,1
primagi,大阪府,NICOPA和泉府中,大阪府泉大津市東豊中町1-5-10 ｶﾅｰﾄﾓｰﾙ和泉府中2F,34.491593,135.423608,1
primagi,大阪府,YAZ寝屋川,大阪府寝屋川市石津中町25-26,34.780290,135.619385,1
primagi,大阪府,あそびのひろば鴻池,大阪府東大阪市鴻池町1-1-72ｲｵﾝ鴻池店2F,34.698574,135.603396,1
primagi,大阪府,アニメガ×ソフマップなんば店,大阪府大阪市浪速区日本橋3丁目6-18 6F,34.662709,135.505602,2
primagi,大阪府,アミパラ加古川,大阪府加古川市尾上町今福71-2,34.751371,134.828638,1
primagi,大阪府,アミュージアム枚方,大阪府枚方市岡本長7-1 枚方ﾋﾞｵﾙﾈ3F,34.815796,135.646841,1
primagi,大阪府,アル・プラザ香里園,大阪府寝屋川市日新町5-5,34.783184,135.623300,1
primagi,大阪府,アル・プラザ高槻,大阪府高槻市芥川町1-2C-201,34.852255,135.616655,1
primagi,大阪府,アル・プラザ枚方,大阪府枚方市津田元町1-4-1,34.808063,135.701927,1
primagi,大阪府,イトーヨーカドーあべの,大阪府大阪市阿倍野区阿倍野筋1-6-1,34.645046,135.511727,1
primagi,大阪府,イトーヨーカドーアリオ八尾,大阪府八尾市光町2-3,34.632604,135.606763,1
primagi,大阪府,イトーヨーカドーアリオ鳳,大阪府堺市西区鳳南町3-199-12,34.524641,135.459371,1
primagi,大阪府,イトーヨーカドー津久野,大阪府堺市西区下田町20-1,34.541410,135.464375,1
primagi,大阪府,エディオンなんば本店,大阪府大阪市中央区難波3-2,34.665675,135.501773,1
primagi,大阪府,エディオン豊中,大阪府豊中市日出町2-2-18,34.741491,135.479250,1
primagi,大阪府,かみしんプラザアミューズパーク,大阪府大阪市東淀川区大隅1-6-12かみしんﾌﾟﾗｻﾞ2F,34.748722,135.541559,1
primagi,大阪府,コーナン中もず,大阪府堺市北区中百舌鳥町3-428-2 ｺｰﾅﾝ中もず店,34.553776,135.511167,1
primagi,大阪府,ジョーシン新大阪,大阪府大阪市淀川区西宮原2-2-17新大阪ｾﾝｲｼﾃｨｰ3号館2F,34.735623,135.494009,1
primagi,大阪府,ソユーゲームフィールド 堺鉄砲町,大阪府堺市堺区鉄砲町1番地ｲｵﾝﾓｰﾙ堺鉄砲町3F,34.594607,135.481695,2
primagi,大阪府,ソユーゲームフィールド 泉南,大阪府泉南市りんくう南浜3番地の12ｲｵﾝﾓｰﾙりんくう泉南2F,34.380802,135.267941,1
primagi,大阪府,ソユーゲームフィールド箕面,大阪府箕面市西宿一丁目15番30号みのおｷｭｰｽﾞﾓｰﾙCENTER棟2F,34.833013,135.489402,2
primagi,大阪府,ダイエー曽根,大阪府豊中市曽根東町3-3-1,34.770769,135.468392,1
primagi,大阪府,タイトーFステーション りんくうシークル,大阪府泉佐野市りんくう往来南3番地 りんくうﾌﾟﾚｼﾞｬｰﾀｳﾝｼｰｸﾙ内,34.408847,135.297415,1
primagi,大阪府,タイトーFステーション 住道,大阪府大東市赤井1丁目4番3号,34.708501,135.619552,1
primagi,大阪府,タイトーステーション アリオ八尾,大阪府八尾市光町2-3 ｲﾄｰﾖｰｶﾄﾞｰｱﾘｵ八尾3F,34.631480,135.605587,1
primagi,大阪府,タイトーステーション 摂津富田,大阪府高槻市大畑町13-1 ｲｵﾝﾌｰﾄﾞｽﾀｲﾙ摂津富田店2階,34.837488,135.589406,1
primagi,大阪府,タイトーステーション 大阪日本橋,大阪府大阪市浪速区日本橋4-9-14,34.660400,135.506170,2
primagi,大阪府,タイトーステーション 難波,大阪府大阪市中央区難波千日前15-12,34.663354,135.503188,2
primagi,大阪府,トイザらス阪急山田,大阪府吹田市山田西4-1-2,34.804708,135.515326,1
primagi,大阪府,トイザらス泉北ニュータウン,大阪府堺市南区三原台1-1-3JOYPARK泉ヶ丘3F,34.498047,135.514560,1
primagi,大阪府,トイザらス藤井寺,大阪府藤井寺市岡2-8-41ｿﾘﾔ2F,34.571945,135.593033,1
primagi,大阪府,ハローズガーデン泉佐野,大阪府泉佐野市下瓦屋2-2-77 いこらも~る泉佐野1F,34.422207,135.328057,1
primagi,大阪府,ハローズガーデン津久野,大阪府堺市西区下田町20-1 ｲﾄｰﾖｰｶﾄﾞｰ津久野店2F,34.541403,135.464555,1
primagi,大阪府,プラサカプコン藤井寺,大阪府藤井寺市岡2丁目10番11号ｲｵﾝ藤井寺ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ,34.574100,135.592650,1
primagi,大阪府,モーリーファンタジーf茨木,大阪府茨木市松ヶ本町8-30-5 ｲｵﾝ茨木SC4階,34.819273,135.573264,1
primagi,大阪府,モーリーファンタジーエコール・いずみ,大阪府和泉市いぶき野５丁目１－１１ エコール・いずみ３階,34.459761,135.455908,2
primagi,大阪府,モーリーファンタジーニトリモール枚方,大阪府枚方市北山１丁目２－１ニトリモール枚方,34.838881,135.698015,2
primagi,大阪府,モーリーファンタジーりんくう泉南,大阪府泉南市りんくう南浜3-1 ｲｵﾝりんくう泉南店2階,34.381803,135.269002,1
primagi,大阪府,モーリーファンタジー茨木,大阪府茨木市松ヶ本町8-30 ｲｵﾝSC3F,34.819273,135.573264,1
primagi,大阪府,モーリーファンタジー貝塚,大阪府貝塚市地蔵堂74-2 ｲｵﾝ2階,34.426736,135.355747,1
primagi,大阪府,モーリーファンタジー喜連瓜破駅前,大阪府大阪市平野区瓜破2-1-13 ｲｵﾝ喜連瓜破駅前店3階,34.608292,135.551879,1
primagi,大阪府,モーリーファンタジー金剛,大阪府大阪狭山市半田1-35-1 ｲｵﾝ金剛店3F,34.498211,135.557778,1
primagi,大阪府,モーリーファンタジー金剛東,大阪府富田林市向陽台3-1-1 ｲｵﾝ金剛東店4階,34.501370,135.579903,1
primagi,大阪府,モーリーファンタジー高槻,大阪府高槻市萩之庄3-47-2 ｲｵﾝ高槻店3階,34.858955,135.644317,1
primagi,大阪府,モーリーファンタジー堺鉄砲町,大阪府堺市堺区鉄砲町1 ｲｵﾝｽﾀｲﾙ堺鉄砲町3F,34.594115,135.479865,1
primagi,大阪府,モーリーファンタジー堺北花田,大阪府堺市北区東浅香山町4-1-12 ｲｵﾝ堺北花田店2階,34.584482,135.514728,1
primagi,大阪府,モーリーファンタジー四條畷,大阪府四條畷市砂4-3-2 ｲｵﾝｽﾀｲﾙ3F,34.747028,135.630597,1
primagi,大阪府,モーリーファンタジー吹田,大阪府吹田市朝日町2-101 ｲｵﾝ吹田店4F,34.763042,135.525419,1
primagi,大阪府,モーリーファンタジー大阪ドームシティ,大阪府大阪市西区千代崎3-13-1 ｲｵﾝﾓｰﾙ3階,34.667604,135.476712,1
primagi,大阪府,モーリーファンタジー大日,大阪府守口市大日東町1-18 ｲｵﾝ大日店2階,34.749561,135.580207,1
primagi,大阪府,モーリーファンタジー長吉,大阪府大阪市平野区長吉長原西1-1-10 ｲｵﾝ長吉店4F,34.608246,135.566140,1
primagi,大阪府,モーリーファンタジー鶴見緑地,大阪府大阪市鶴見区鶴見4-17-1 ｲｵﾝ鶴見店3階,34.704823,135.567067,1
primagi,大阪府,モーリーファンタジー野田阪神,大阪府大阪市福島区海老江1-1-23 ｲｵﾝ野田阪神店4階,34.695380,135.475991,1
primagi,大阪府,モーリーファンタジー和泉府中,大阪府和泉市肥子町2-2-1 ｲｵﾝ和泉府中店4階,34.485880,135.420688,1
primagi,大阪府,ヨドバシカメラマルチメディア梅田,大阪府大阪市北区大深町1-1,34.703956,135.495979,1
primagi,大阪府,ライフ関目,大阪府大阪市城東区関目1-5-3,34.708864,135.546832,1
primagi,大阪府,ライフ南津守,大阪府大阪市西成区南津守6-1-75,34.627952,135.483217,1
primagi,大阪府,ラウンドワンスタジアム高槻,大阪府高槻市辻子3丁目6番4号,34.832640,135.630207,1
primagi,大阪府,ラウンドワンスタジアム堺中央環状,大阪府堺市東区石原町2-241,34.556862,135.536539,1
primagi,大阪府,ラウンドワンスタジアム千日前,大阪府中央区難波1丁目3番1号,34.667458,135.502828,1
primagi,大阪府,ラウンドワンららぽーと和泉,大阪府和泉市あゆみ野4-4-7 ららぽｰと和泉4階,34.437710,135.448299,1
primagi,大阪府,わくわくアミーゴ河内長野,大阪府河内長野市本町24-1 ﾉﾊﾞﾃｨながの北館4F,34.451521,135.572275,1
primagi,大阪府,わくわくアミーゴ尾崎店,大阪府阪南市下出167-1オークワわくわくCITY尾崎店2F,34.362068,135.244586,1
primagi,大阪府,天王寺パスカ,大阪府大阪市阿倍野区阿倍野筋2-4-51,34.643866,135.512788,1
primagi,大阪府,宝島日根野,大阪府泉佐野市日根野2496-1 ｲｵﾝﾓｰﾙ日根野2F,34.343579,135.351039,1
