series,prefecture,name,address,latitude,longitude,group
primagi,宮城県,GiGO仙台コロナワールド,宮城県仙台市宮城野区福室字田中前一番53-1,38.260169,140.969126,1
primagi,宮城県,GiGO名取,宮城県名取市飯野坂字土城堀57-1,38.156903,140.887893,1
primagi,宮城県,LABI仙台,宮城県仙台市青葉区中央3-6-1,38.259889,140.878675,1
primagi,宮城県,LIFE SELECT仙台アスト長町,宮城県仙台市太白区あすと長町3丁目1-2,38.221356,140.885100,1
primagi,宮城県,namcoアリオ仙台泉店,宮城県仙台市泉区泉中央一丁目五番地一ｱﾘｵ仙台泉店内,38.324585,140.882188,2
primagi,宮城県,namcoイオンモール新利府 南館店,宮城県宮城郡利府町新中道3-1-1ｲｵﾝﾓｰﾙ新利府南館3階3028区画,38.322623,140.972317,1
primagi,宮城県,namcoイオンモール富谷店,宮城県富谷市大清水1-33-1ｲｵﾝﾓｰﾙ富谷店2階,38.363762,140.873513,1
primagi,宮城県,namcoイオンモール名取店,宮城県名取市杜せきのした5-3-1ｲｵﾝﾓｰﾙ名取2F,38.163759,140.895599,1
primagi,宮城県,PRIZE SPOT PALO泉パークタウンタピオ,宮城県仙台市泉区寺岡６丁目５−１,38.342860,140.836197,1
primagi,宮城県,SOYU Game Field 矢本店,宮城県東松島市小松字上浮足43 番地 イオンタウン矢本,38.425402,141.202934,1
primagi,宮城県,アニメガ×ソフマップ仙台駅前店,宮城県仙台市青葉区中央4-1-1 EBeanS1F,38.258636,140.879848,2
primagi,宮城県,アピナ新利府 北館,宮城県宮城郡利府町利府字新屋田前22 ｲｵﾝﾓｰﾙ新利府北館2F,38.326746,140.971300,1
primagi,宮城県,アピナ富谷,宮城県富谷市大清水1ｰ33-1 ｲｵﾝﾓｰﾙ富谷別棟109ｼﾈﾏｽﾞ富谷1F,38.365390,140.876248,1
primagi,宮城県,イオンスーパーセンター佐沼,宮城県登米市南方町新島前46-1,38.683447,141.183878,1
primagi,宮城県,イオン仙台幸町,宮城県仙台市宮城野区幸町5-10-1,38.273436,140.902383,1
primagi,宮城県,イトーヨーカドーアリオ仙台泉,宮城県仙台市泉区泉中央1-5-1,38.324466,140.882206,1
primagi,宮城県,イトーヨーカドー石巻あけぼの,宮城県石巻市あけぼの1-1-2,38.448382,141.273382,1
primagi,宮城県,ゲームフィールド 仙台長町,宮城県仙台市太白区長町7丁目20番3号ｻﾞ･ﾓｰﾙ仙台長町店3F,38.225644,140.876877,2
primagi,宮城県,サニーランド フォルテ,宮城県柴田郡大河原町字小島2-1 ﾌｫﾙﾃ1F,38.065159,140.737634,1
primagi,宮城県,スイーツハート仙台泉大沢,宮城県仙台市泉区大沢1-5-1ｲｵﾝ泉大沢店2F,38.350076,140.880937,1
primagi,宮城県,ソユーゲームフィールド 釜石,宮城県釜石市港町二丁目1番1号ｲｵﾝﾀｳﾝ釜石店3F,39.271400,141.881872,1
primagi,宮城県,ソユーゲームフィールド古川,宮城県大崎市古川沢田字筒場浦15番地ｲｵﾝﾀｳﾝ古川内,38.599023,140.974156,1
primagi,宮城県,タイトーステーション 仙台クリスロード,宮城県仙台市青葉区中央2-3-25,38.260987,140.875646,2
primagi,宮城県,タイトーステーション 仙台ベガロポリス,宮城県仙台市太白区西多賀5-24-1,38.219414,140.848952,1
primagi,宮城県,タイトーステーション 仙台名掛丁,宮城県仙台市青葉区中央1-7-13,38.262038,140.879125,2
primagi,宮城県,トイザらス石巻矢本,宮城県東松島市小松字上浮足43,38.425195,141.202975,1
primagi,宮城県,トイザらス仙台泉大沢,宮城県仙台市泉区大沢1-5-1ｲｵﾝﾀｳﾝ仙台泉大沢2F,38.350076,140.880937,1
primagi,宮城県,プラサカプコン石巻,宮城県石巻市茜平4丁目104番地 ｲｵﾝﾓｰﾙ石巻ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2F,38.447840,141.266116,1
