series,prefecture,name,address
primagi,富山県,MEGAドン・キホーテUNY魚津店ゲームコーナー,富山県魚津市住吉600番地MEGAﾄﾞﾝ･ｷﾎｰﾃUNY魚津店2F
primagi,富山県,namcoアピタ富山店,富山県富山市上袋100番地ｱﾋﾟﾀ富山店内2F
primagi,富山県,アピタ富山東,富山県富山市上冨居3-8-38
primagi,富山県,アピタ富山東店ゲームコーナー,富山県富山市上冨居3-8-38ｱﾋﾟﾀ富山東店2F
primagi,富山県,アピナ富山新庄,富山県富山市荒川3-2-12
primagi,富山県,アピナ富山南,富山県富山市堀川町355-3 ﾏｲﾌﾟﾗｻﾞ内
primagi,富山県,アピナ富山豊田,富山県富山市豊田町2-12-66
primagi,富山県,ジョーシン高岡蓮花寺,富山県高岡市蓮花寺210-1
primagi,富山県,セガイオンモール高岡,富山県高岡市下伏間江383 ｲｵﾝﾓｰﾙ高岡西館2F
primagi,富山県,タイトーステーション ファボーレ婦中,富山県富山市婦中町下轡田165-1 ﾌｭｰﾁｬｰｼﾃｨﾌｧﾎﾞｰﾚ2F
primagi,富山県,トイザらス富山,富山県富山市五福1143-1五福ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰｱﾘｽ2F
primagi,富山県,モーリーファンタジーとなみ,富山県砺波市東区中神土地区画整理事業地内31 街区12F
primagi,富山県,モーリーファンタジー高岡,富山県高岡市江尻331-1 ｲｵﾝ高岡店1階
primagi,富山県,モーリーファンタジー高岡南,富山県高岡市下伏間江383 ｲｵﾝ高岡南店2階
primagi,富山県,モーリーファンタジー小杉,富山県射水市三ヶ2602 ｱﾙ･ﾌﾟﾗｻﾞ小杉店2階
