series,prefecture,name,address,latitude,longitude
primagi,山形県,namcoイオンモール山形南店,山形県山形市若宮3-7-8 イオンモール山形南２Ｆ,38.226902,140.305284
primagi,山形県,アピナ鶴岡,山形県鶴岡市文下字広野1-1,38.758448,139.843986
primagi,山形県,スタジオプリモ山形,山形県山形市城南町1-1-1 霞城ｾﾝﾄﾗﾙ2F,38.249830,140.326406
primagi,山形県,ソユーゲームフィールド 三川,山形県東田川郡三川町大字猪子字和田庫128番地1ｲｵﾝﾓｰﾙ三川1F,38.815857,139.835748
primagi,山形県,ソユーゲームフィールド 天童,山形県天童市芳賀ﾀｳﾝ北四丁目1番1号ｲｵﾝﾓｰﾙ天童2F,38.343932,140.363498
primagi,山形県,ナムコランドS-MALL店,山形県鶴岡市錦町2-21S-MALL2階,38.739144,139.829833
primagi,山形県,ビーカム成沢,山形県山形市成沢西5-3-27,38.208559,140.317750
primagi,山形県,モーリーファンタジー三川,山形県東田川郡三川町大字猪子字和田庫128-1 ｲｵﾝ三川店2階,38.816116,139.834320
primagi,山形県,モーリーファンタジー山形南,山形県山形市若宮3-7-8 ｲｵﾝ山形南店2階,38.226456,140.306248
primagi,山形県,モーリーファンタジー山形北,山形県山形市馬見ｹ崎2-12-19 ｲｵﾝ山形北店2階,38.282860,140.330834
primagi,山形県,モーリーファンタジー酒田南,山形県酒田市あきほ町120-1 ｲｵﾝ酒田南店1階,38.891923,139.852658
primagi,山形県,モーリーファンタジー天童,山形県天童市芳賀ﾀｳﾝ北4-1-1 ｲｵﾝ2F,38.343932,140.363498
primagi,山形県,モーリーファンタジー東根,山形県東根市さくらんぼ駅前3-7-15 ｲｵﾝ東根店2階,38.426729,140.387446
primagi,山形県,モーリーファンタジー米沢,山形県米沢市春日2-13-4 ｲｵﾝ米沢店2階,37.923389,140.108829
