series,prefecture,name,address,latitude,longitude
primagi,岩手県,PALO久慈,岩手県久慈市長内町第30 地割32-2久慈ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ1F,40.190583,141.784651
primagi,岩手県,アミューズメントゾーン 北上,岩手県北上市本通り二丁目2-1さくら野百貨店北上店4F,39.288607,141.115966
primagi,岩手県,イオン江釣子,岩手県北上市北鬼柳19-68,39.296045,141.095426
primagi,岩手県,イトーヨーカドー花巻,岩手県花巻市下小舟渡118-1,39.393513,141.117825
primagi,岩手県,ゲームランド盛岡,岩手県盛岡市前潟4丁目7番1号 ｲｵﾝﾓｰﾙ盛岡2F,39.711273,141.099320
primagi,岩手県,セガ水沢,岩手県奥州市水沢区佐倉河字鐙田4-1,39.152620,141.149429
primagi,岩手県,ソユーゲームフィールド 盛岡南,岩手県盛岡市本宮七丁目1番1号ｲｵﾝﾓｰﾙ盛岡南1F,39.683472,141.128516
primagi,岩手県,ソユーファミリーゲームフィールド 花巻,岩手県花巻市高木第16地割68番地6銀河ﾓｰﾙ花巻内,39.386142,141.136994
primagi,岩手県,タイトーFステーション 盛岡南,岩手県盛岡市津志田町2-1-77,39.666643,141.157173
primagi,岩手県,タイトーステーション 盛岡マッハランド,岩手県盛岡市上堂1-2-38 ﾏｯﾊﾗﾝﾄﾞ内,39.723894,141.127091
primagi,岩手県,トイザらス北上,岩手県北上市有田町10-3,39.293729,141.104667
primagi,岩手県,モーリーファンタジーイオン盛岡南,岩手県盛岡市本宮7-1-1 ｲｵﾝ盛岡南店3階,39.683176,141.127384
primagi,岩手県,モーリーファンタジーサンサ盛岡南,岩手県盛岡市津志田西2-17-50 盛岡南ｼｮｯﾋﾟﾝｸﾞCｻﾝｻ店1F,39.661906,141.148934
primagi,岩手県,モーリーファンタジースーパーセンター一関,岩手県一関市狐禅寺字石ﾉ瀬11-1 ｲｵﾝSC一関店1階,38.939526,141.153807
primagi,岩手県,モーリーファンタジー一関,岩手県一関市山目字泥田89-1 ｲｵﾝ一関店2階,38.936962,141.112946
primagi,岩手県,モーリーファンタジー遠野,岩手県遠野市新穀町1-11 遠野SCとぴあ2階,39.331111,141.531925
primagi,岩手県,モーリーファンタジー盛岡,岩手県盛岡市前潟4-7-1 ｲｵﾝ盛岡店2階,39.711665,141.100021
primagi,岩手県,モーリーファンタジー盛岡渋民,岩手県盛岡市玉山区渋民字鶴飼20-1 ｲｵﾝSC盛岡渋民店1階,39.849607,141.171216
primagi,岩手県,モーリーファンタジー前沢,岩手県奥州市前沢区向田2-85 ｲｵﾝ前沢店2階,39.052365,141.129548
