series,prefecture,name,address,latitude,longitude
primagi,広島県,LABI広島,広島県広島市中区胡町5-22,34.393120,132.464350
primagi,広島県,namcoイオンモール広島府中店,広島県安芸郡府中町大須2-1-1ｲｵﾝﾓｰﾙ広島府中3F,34.394588,132.499150
primagi,広島県,namcoフジグラン広島店,広島県広島市中区宝町2-1ﾌｼﾞｸﾞﾗﾝ広島3F,34.385963,132.464325
primagi,広島県,namcoフジグラン三原店,広島県三原市円一町1-1-7ﾌｼﾞｸﾞﾗﾝ三原店内,34.392597,133.079079
primagi,広島県,namcoフジグラン東広島店,広島県東広島市西条町御薗宇4405ﾌｼﾞｸﾞﾗﾝ東広島店内,34.408193,132.749458
primagi,広島県,namcoフジグラン尾道店,広島県尾道市東尾道19-7,34.425536,133.239001
primagi,広島県,namcoゆめタウン広島店,広島県広島市南区皆実町2丁目8番17号ゆめﾀｳﾝ広島店342,34.376230,132.463930
primagi,広島県,namcoゆめタウン廿日市店,広島県廿日市市下平良二丁目2番1号3F,34.346200,132.335718
primagi,広島県,アピナ東広島,広島県東広島市西条町助実1229ゆめﾓｰﾙ西条1階,34.423980,132.756434
primagi,広島県,あみぱらんど福山,広島県福山市三吉町南2-8-24,34.488367,133.378505
primagi,広島県,アミパラ広島,広島県広島市西区西観音町3-17,34.393453,132.436009
primagi,広島県,セガLECT広島,広島県広島市西区扇2丁目1-45 LECT2F,34.372878,132.406725
primagi,広島県,セガワールド福山,広島県福山市瀬戸町大字山北300,34.475588,133.316474
primagi,広島県,セガ海田,広島県安芸郡海田町南大正町３－３５,34.367638,132.533702
primagi,広島県,タイトーFステーション ゆめタウンみゆき,広島県広島市南区宇品西6丁目7番14号 ゆめﾀｳﾝみゆき2F,34.358610,132.456434
primagi,広島県,タイトーFステーション ゆめタウン東広島,広島県東広島市西条町土与丸1丁目5-7,34.426950,132.750133
primagi,広島県,タイトーステーション フジグラン神辺,広島県福山市神辺町大字新道上字2-10-26 ﾌｼﾞｸﾞﾗﾝ神辺店3F,34.545319,133.357083
primagi,広島県,タイトーステーション 広島紙屋町,広島県広島市中区紙屋町2-2-21,34.394077,132.456076
primagi,広島県,タイトーステーション 広島本通,広島県広島市中区本通3-5 せらかぐ本通ﾋﾞﾙ,34.392856,132.460575
primagi,広島県,トイザらス・ベビーザらス広島府中,広島県安芸郡府中町大須2-1-1ｲｵﾝﾓｰﾙ広島府中3F,34.394588,132.499150
primagi,広島県,トイザらス福山,広島県福山市東深津町3-21-4,34.494561,133.398526
primagi,広島県,ビックカメラ広島駅前,広島県広島市南区松原町5-1,34.395734,132.474977
primagi,広島県,ふぇすたらんど五日市,広島県広島市佐伯区八幡1-24-17 ｻﾝﾘﾌﾞ五日市店2F,34.386851,132.359032
primagi,広島県,フジグラン三原,広島県三原市円一町1-1-7,34.394130,133.078988
primagi,広島県,フジグラン東広島,広島県東広島市西条町御薗宇4405,34.407056,132.749943
primagi,広島県,フジグラン尾道,広島県尾道市東尾道19-7,34.425536,133.239001
primagi,広島県,ペリカン呉,広島県呉市宝町5-10ゆめﾀｳﾝ呉内3F,34.242221,132.556305
primagi,広島県,ペリカン東広島,広島県東広島市西条町土与丸1-5-7ゆめﾀｳﾝ東広島内4F,34.427061,132.750244
primagi,広島県,モーリーファンタジーf広島祗園,広島県広島市安佐南区祇園3-2-1 ｲｵﾝ広島祇園SC3階,34.443865,132.461454
primagi,広島県,モーリーファンタジーアルパーク,広島県広島市西区草津新町2-26-1ｱﾙﾊﾟｰｸ内,34.373503,132.394572
primagi,広島県,モーリーファンタジー宇品,広島県広島市南区宇品東6-1-15 ｲｵﾝ宇品店2階,34.362694,132.468468
primagi,広島県,モーリーファンタジー広島府中,広島県安芸郡府中町大須2-1-1 ｲｵﾝ広島府中店2階,34.395084,132.498758
primagi,広島県,モーリーファンタジー広島祗園,広島県広島市安佐南区祇園3-2-1 ｲｵﾝ広島祇園店3階,34.443765,132.461478
primagi,広島県,モーリーファンタジー三原,広島県三原市城町2-13-1 ｲｵﾝ三原店2階,34.398867,133.087308
primagi,広島県,ゆめタウン学園,広島県東広島市西条下見6-2-32,34.408997,132.713873
primagi,広島県,ゆめタウン福山,広島県福山市入船町3-1-60,34.487023,133.378681
primagi,広島県,わいわい王国メリーゴーランド楽々園,広島県広島市佐伯区楽々園4丁目14-1 ﾅｲｽﾃﾞｲ2階,34.362023,132.353190
primagi,広島県,福山メトロポリス,広島県福山市一文字町24-1,34.468242,133.410277
